StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-28,93.9,94.05,92.2,92.55,92.4,92.95,3378126,315375079.9,15344
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-27,93.45,94.45,92.25,92.95,92.5,93.25,4273691,398134542.4,33824
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-26,92.8,95.05,92.7,93.25,93.3,92.8,3902297,366789900.85,17437
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-22,93.5,94.0,91.8,92.8,92.75,93.5,3996075,369941874.9,14994
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-21,92.4,94.25,91.85,93.5,93.8,91.55,3331560,310111021.45,15278
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-20,92.95,93.25,89.9,91.55,91.0,92.4,2167062,198540214.65,11541
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-19,93.0,94.0,91.8,92.4,92.5,92.95,1481107,137235762.55,10134
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-18,94.75,95.0,92.5,92.95,92.95,94.3,2099458,196033966.7,10091
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-15,93.3,95.0,92.4,94.3,93.8,93.3,1920909,179844161.75,8924
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-14,91.5,95.35,89.25,93.3,93.6,91.6,2735944,253996355.75,20442
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-13,93.3,94.0,88.25,91.6,92.05,92.95,7423648,677898750.3,36105
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-12,98.0,99.3,92.3,92.95,93.1,96.95,6813521,643746488.75,49081
Equitas Small Finance Bank Limited,INE063P01018,2020-11-02,EQ,EQUITASBNK,2024-03-11,97.15,97.5,95.4,96.95,97.15,96.9,4217584,406912641.85,19744
