StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-28,848.0,862.15,832.0,843.35,836.1,841.0,59652,50345013.4,6702
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-27,843.65,849.5,836.1,841.0,841.4,843.65,55713,46943735.0,5846
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-26,845.0,850.0,834.0,843.65,841.0,842.95,146410,123686537.75,7133
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-22,843.0,845.8,837.15,842.95,843.0,843.0,26036,21927722.75,2512
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-21,843.55,852.0,837.0,843.0,837.1,840.2,99725,84462983.2,4032
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-20,851.5,851.5,835.0,840.2,840.05,847.25,33613,28286332.05,4104
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-19,837.45,854.0,836.55,847.25,847.0,845.9,42191,35686044.25,4004
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-18,845.0,855.5,832.1,845.9,848.9,844.95,88374,74677933.2,6967
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-15,862.05,862.4,837.05,844.95,847.0,862.7,498196,421804451.15,14639
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-14,833.95,871.8,824.25,862.7,857.15,831.3,387589,333105385.25,23154
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-13,878.1,878.1,809.15,831.3,834.5,878.1,208861,174712189.6,16011
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-12,905.55,925.0,856.3,878.1,879.0,900.45,368619,329164730.3,25108
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-11,912.1,934.55,895.5,900.45,899.45,907.3,544316,497989968.4,28567
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-07,886.05,917.75,884.55,907.3,905.0,894.9,277359,250527448.15,15445
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-06,899.0,907.75,871.0,894.9,892.15,888.7,188862,168813146.3,16641
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-05,892.0,894.95,880.0,888.7,885.0,889.25,39869,35377327.25,4924
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-04,886.85,898.0,880.0,889.25,888.0,878.05,217621,193466922.6,30594
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-02,889.95,892.4,875.0,878.05,875.0,886.05,8853,7805818.75,658
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-03-01,886.6,892.0,873.0,886.05,885.55,883.05,61528,54245903.95,6137
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-29,878.0,889.95,860.3,883.05,883.7,872.35,399136,348448900.5,8592
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-28,875.15,880.05,862.15,872.35,870.0,872.55,71370,62152909.2,6647
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-27,885.0,886.55,866.0,872.55,868.0,879.95,103414,90188925.25,11176
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-26,879.65,899.45,873.0,879.95,877.75,875.5,92073,81311300.15,10727
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-23,871.75,877.35,862.0,875.5,876.45,868.25,61675,53696546.3,5932
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-22,860.05,874.75,850.95,868.25,870.9,855.75,141781,122662083.75,9636
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-21,848.05,859.85,848.05,855.75,857.0,853.15,114109,97607597.65,7360
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-20,869.0,869.05,851.5,853.15,854.1,862.75,125854,107707569.4,9897
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-19,890.0,890.05,859.1,862.75,869.95,888.6,179296,155771647.2,14057
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-16,866.65,922.0,859.55,888.6,889.0,856.45,464471,417264646.7,32712
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-15,866.0,877.0,846.35,856.45,858.75,865.55,382370,328390212.55,27786
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-14,934.0,939.8,851.1,865.55,865.95,923.8,690965,620040503.75,47811
Eris Lifesciences Limited,INE406M01024,2017-06-29,EQ,ERIS,2024-02-13,917.0,934.5,903.1,923.8,926.45,913.4,95782,88318228.7,11449
