StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-28,647.95,648.9,625.0,627.95,626.2,642.35,290205,184836304.75,13539
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-27,648.9,652.9,635.7,642.35,640.0,639.5,444341,286215595.3,26029
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-26,660.5,667.0,635.0,639.5,637.25,657.0,397899,257388732.4,24229
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-22,644.55,669.7,640.85,657.0,657.35,643.85,559705,368090371.35,23328
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-21,642.0,654.45,633.85,643.85,643.3,632.3,275221,177115903.35,16296
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-20,644.95,647.9,621.9,632.3,632.0,639.95,364669,230952584.55,23735
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-19,643.0,660.8,635.0,639.95,637.95,641.3,357373,231300837.2,21670
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-18,658.0,662.95,620.35,641.3,642.5,652.1,523628,333632330.95,29329
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-15,675.95,708.0,643.0,652.1,653.0,674.6,971443,650831565.65,55964
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-14,591.85,686.0,572.6,674.6,678.9,593.4,1031883,667977407.0,61326
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-13,654.15,658.5,582.25,593.4,594.0,653.4,540990,334554130.8,33385
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-12,684.05,686.8,648.0,653.4,654.0,684.05,247179,164142468.55,17177
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-11,711.0,711.0,680.05,684.05,684.6,711.1,235063,163165406.65,14959
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-07,692.8,728.9,692.8,711.1,708.0,692.8,672284,481989825.15,30981
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-06,714.95,718.1,690.8,692.8,692.15,716.95,202823,142259221.7,14088
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-05,720.3,729.15,715.0,716.95,715.55,720.15,216173,155855273.35,14293
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-04,735.0,735.0,712.05,720.15,718.0,737.7,360418,258975116.6,22546
Fertilizers and Chemicals Travancore Limited,INE188A01015,1995-04-12,EQ,FACT,2024-03-02,726.65,747.3,721.0,737.7,738.0,723.3,82244,60832340.65,3932
