StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-28,426.0,432.5,423.35,424.9,426.2,423.9,114410,48941461.15,14555
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-27,421.0,427.65,420.0,423.9,424.5,420.7,80175,34044912.95,6577
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-26,431.0,433.25,419.9,420.7,422.65,429.75,154395,65373490.5,8218
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-22,434.9,435.05,425.25,429.75,429.8,436.2,66310,28559404.1,6374
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-21,439.25,439.25,425.1,436.2,433.15,437.05,97815,42534587.4,10473
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-20,427.0,439.1,419.95,437.05,435.5,427.0,100570,43205441.75,8821
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-19,430.0,437.0,424.0,427.0,426.0,431.2,119514,51487717.85,12153
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-18,428.0,439.35,428.0,431.2,433.95,428.05,125236,54361213.1,8040
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-15,436.0,436.1,426.95,428.05,430.8,437.45,81429,35057058.45,5765
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-14,420.4,440.3,419.65,437.45,438.0,423.75,192359,82354105.7,9182
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-13,431.0,432.85,420.8,423.75,423.0,430.4,189785,80740159.35,16278
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-12,433.75,438.1,429.25,430.4,430.0,434.25,123078,53050365.75,7795
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-11,451.9,452.8,427.1,434.25,435.65,449.4,103467,45430114.95,8297
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-07,451.1,457.0,446.45,449.4,450.0,450.45,115918,52193578.4,8784
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-06,459.0,459.0,442.3,450.45,451.8,459.55,164360,74032142.6,16278
FDC Limited,INE258B01022,1997-08-07,EQ,FDC,2024-03-05,460.0,463.35,454.5,459.55,459.0,459.6,197233,90369826.1,12196
