StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-28,969.0,1005.0,961.8,1001.0,999.0,974.5,344769,339212871.8,18092
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-27,975.95,1008.9,952.65,974.5,971.45,967.35,727965,710976349.15,39553
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-26,889.8,978.75,889.8,967.35,974.0,889.8,2155118,2041769218.25,79859
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-22,889.9,892.85,875.5,889.8,892.85,886.55,219678,193926433.95,25235
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-21,891.75,905.0,882.35,886.55,887.5,885.1,413216,368896726.1,26835
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-20,884.5,889.5,864.45,885.1,888.0,884.0,192333,168793615.95,14831
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-19,879.95,910.65,871.0,884.0,880.0,877.1,505706,447898478.5,31584
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-18,877.95,886.3,854.0,877.1,876.4,877.95,192802,167715886.15,19377
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-15,841.0,897.85,832.8,877.95,874.55,838.8,1342404,1165936875.85,68932
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-14,844.1,859.5,831.25,838.8,839.95,844.1,388983,329053347.3,32982
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-13,884.25,885.0,833.3,844.1,839.0,883.55,469662,399158165.4,35714
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-12,894.5,901.8,877.05,883.55,880.25,892.4,201692,178725525.6,28100
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-11,905.2,916.0,888.85,892.4,890.0,906.4,171023,153779253.25,15724
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-07,925.5,933.4,901.05,906.4,910.9,923.6,359953,330888791.2,18076
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-06,940.95,942.2,917.1,923.6,928.0,936.7,167148,154804690.75,20539
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-05,950.0,954.65,924.25,936.7,940.0,955.75,178214,166408650.4,17380
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-04,961.0,969.6,942.0,955.75,954.0,958.45,163116,155304197.95,16230
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-02,915.05,960.0,915.05,958.45,959.0,914.85,65935,62836343.2,4135
Finolex Cables Limited,INE235A01022,1995-02-15,EQ,FINCABLES,2024-03-01,927.85,928.0,907.5,914.85,919.85,920.8,292596,267244220.05,25937
