StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-28,4096.0,4127.25,4021.0,4034.85,4024.0,4089.25,42934,174324514.55,10958
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-27,4054.05,4110.0,4054.05,4089.25,4060.95,4053.05,46369,189374657.25,11192
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-26,4100.0,4111.25,4050.0,4053.05,4054.0,4111.25,35690,145138945.35,9312
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-22,4088.95,4185.0,4071.1,4111.25,4106.0,4068.6,26149,107995933.35,7125
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-21,4046.6,4105.0,4046.6,4068.6,4070.25,4044.2,14758,60151579.6,4081
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-20,4060.0,4111.95,4026.8,4044.2,4035.0,4080.75,23686,96102812.2,7726
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-19,4119.95,4125.95,4050.0,4080.75,4081.95,4093.5,16778,68471361.0,5011
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-18,4069.85,4130.0,4060.0,4093.5,4088.5,4058.3,20494,84041753.8,7198
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-15,4075.0,4144.55,4050.0,4058.3,4083.95,4077.0,25747,104888664.75,6449
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-14,4100.05,4152.95,4070.0,4077.0,4071.0,4100.15,30695,126018002.8,8184
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-13,4145.0,4155.95,4090.0,4100.15,4100.1,4145.75,26984,110751493.6,8186
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-12,4213.4,4219.95,4133.0,4145.75,4153.0,4194.5,23667,98345122.85,8532
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-11,4254.95,4254.95,4177.35,4194.5,4191.95,4233.95,21656,90953214.25,6648
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-07,4289.9,4291.8,4213.0,4233.95,4215.0,4251.55,23389,99510516.1,5794
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-06,4339.7,4340.0,4245.0,4251.55,4250.0,4313.35,23963,102123881.15,7461
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-05,4319.0,4360.0,4299.15,4313.35,4314.0,4316.25,20549,88852607.35,5705
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-04,4310.0,4368.0,4310.0,4316.25,4316.0,4324.8,34068,147273002.25,2963
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-02,4314.95,4356.6,4304.8,4324.8,4320.0,4312.35,2574,11140457.15,979
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-03-01,4365.0,4371.0,4300.0,4312.35,4317.2,4331.75,17423,75200329.6,4197
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-29,4272.0,4347.0,4270.55,4331.75,4331.3,4272.1,46855,202668080.0,9739
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-28,4299.0,4304.8,4254.0,4272.1,4276.0,4293.3,16796,71715972.8,6334
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-27,4329.95,4329.95,4281.0,4293.3,4296.0,4298.45,13762,59193946.65,5165
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-26,4320.9,4347.0,4290.0,4298.45,4304.0,4309.6,12847,55417453.6,4602
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-23,4340.85,4370.0,4302.5,4309.6,4310.0,4319.25,17304,74713106.15,5683
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-22,4405.0,4405.2,4310.55,4319.25,4325.0,4374.25,20729,90012953.8,7027
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-21,4395.0,4398.95,4332.05,4374.25,4382.1,4357.95,13729,60021596.35,4935
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-20,4341.7,4385.0,4297.6,4357.95,4360.65,4338.65,29407,127800186.6,9107
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-19,4351.5,4367.2,4307.0,4338.65,4340.0,4307.5,18692,80973316.75,6463
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-16,4317.85,4350.0,4300.05,4307.5,4315.7,4274.9,15075,65123430.2,4595
Fine Organic Industries Limited,INE686Y01026,2018-07-02,EQ,FINEORG,2024-02-15,4300.0,4310.0,4270.4,4274.9,4275.0,4279.55,22679,97099329.8,5078
