StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-28,160.0,163.75,157.8,159.85,158.5,158.2,1215355,196220050.85,20426
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-27,156.9,159.9,153.85,158.2,159.0,155.5,1711464,268305408.2,32862
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-26,160.05,163.45,155.0,155.5,155.5,160.05,1584145,250858814.55,29607
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-22,165.3,167.9,156.95,160.05,160.2,165.1,1541631,247989126.25,28186
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-21,166.9,168.1,164.15,165.1,165.3,165.5,463983,77222286.2,15715
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-20,171.2,171.7,165.0,165.5,165.35,169.6,691666,115433911.65,19422
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-19,179.9,180.3,168.8,169.6,170.25,179.25,1009898,172823747.9,26148
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-18,182.0,186.45,177.6,179.25,178.95,179.9,995775,182352603.6,25868
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-15,184.9,187.05,178.1,179.9,179.45,366.85,1432388,260049151.55,31472
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-14,363.7,368.8,354.1,366.85,364.6,361.55,738393,267673393.65,25009
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-13,392.0,394.95,355.05,361.55,363.5,387.85,1063377,394910855.4,36543
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-12,401.0,414.95,386.0,387.85,389.9,399.0,1622178,645363586.5,49951
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-11,395.0,417.0,390.3,399.0,400.5,390.3,2019251,817003272.65,54803
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-07,390.75,395.25,386.6,390.3,390.3,390.75,161765,63279924.6,7632
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-06,402.55,404.4,383.35,390.75,391.0,405.05,557046,217671358.1,23950
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-05,406.9,407.4,398.0,405.05,405.0,404.65,318557,128363284.5,17002
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-04,413.0,418.6,402.55,404.65,405.95,403.95,590305,240849138.25,22867
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-02,403.3,408.0,397.95,403.95,404.5,400.2,55965,22590689.55,2225
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-03-01,395.9,405.4,395.0,400.2,399.2,392.6,321417,128637787.35,16360
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-29,393.8,396.7,381.45,392.6,392.0,391.75,578705,225044058.05,25794
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-28,412.0,413.0,390.0,391.75,395.0,409.2,560334,223583926.7,18460
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-27,415.0,417.9,405.75,409.2,408.3,411.8,505912,207606172.45,13714
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-26,410.9,414.9,405.35,411.8,414.8,408.95,566290,232172384.4,15003
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-23,408.15,415.95,405.3,408.95,409.0,404.9,1079801,442811880.3,25422
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-22,406.95,412.85,396.7,404.9,402.5,403.5,1485919,604552763.7,34108
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-21,389.0,412.0,386.9,403.5,404.0,386.1,3940689,1584263219.7,76126
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-20,365.5,397.95,362.9,386.1,388.95,364.1,4192138,1616613666.85,83651
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-19,364.8,370.95,362.95,364.1,365.7,364.85,295178,107926297.55,9836
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-16,366.85,370.0,358.8,364.85,364.8,365.05,513708,186377574.9,14409
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-15,373.0,379.35,363.3,365.05,366.65,369.25,967593,357427179.4,23724
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-14,357.95,370.95,354.95,369.25,368.3,359.85,345788,125285839.4,13792
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-13,361.85,366.65,352.15,359.85,360.0,359.9,344629,124188881.05,13330
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-12,380.0,380.0,355.95,359.9,361.75,369.7,506200,186580123.1,21475
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-09,380.0,386.0,366.35,369.7,371.9,379.65,633889,236799228.45,17670
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-08,386.65,390.0,378.9,379.65,380.2,385.8,459831,175659688.05,12945
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-07,390.0,394.0,384.0,385.8,386.7,388.0,421973,163469869.05,11620
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-06,393.0,396.0,385.95,388.0,388.5,389.5,738005,287684268.65,22155
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-05,406.7,407.4,384.75,389.5,391.8,397.85,1643776,645469013.4,41852
Gujarat Ambuja Exports Limited,INE036B01030,2000-10-11,EQ,GAEL,2024-02-02,405.0,421.2,388.0,397.85,397.45,398.3,4337025,1767865807.1,103710
