StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-28,6554.0,6655.75,6497.0,6519.6,6514.25,6553.2,5778,37950469.95,2948
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-27,6638.8,6662.8,6517.05,6553.2,6552.55,6591.75,4431,29170044.0,2155
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-26,6794.1,6799.95,6579.15,6591.75,6596.0,6674.8,6838,45312181.55,3237
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-22,6711.25,6809.0,6642.8,6674.8,6673.0,6684.95,33220,222710609.8,4231
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-21,6616.5,6710.45,6581.4,6684.95,6708.0,6582.5,11407,75969082.35,3027
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-20,6605.0,6621.1,6478.0,6582.5,6588.0,6605.45,17466,114508157.9,2796
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-19,6719.35,6750.0,6565.6,6605.45,6578.0,6695.35,9382,62384178.7,3017
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-18,6449.0,6726.95,6440.2,6695.35,6699.0,6510.95,15507,103065242.95,6755
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-15,6409.95,6588.0,6317.65,6510.95,6501.0,6371.25,12368,79828295.15,3852
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-14,6330.0,6448.0,6330.0,6371.25,6350.05,6374.7,8256,52681009.55,2638
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-13,6502.1,6524.15,6329.3,6374.7,6331.0,6532.4,10314,65949045.05,4820
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-12,6399.6,6598.0,6351.1,6532.4,6500.0,6400.45,11016,71386205.25,4078
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-11,6511.25,6529.0,6351.0,6400.45,6400.0,6517.8,19132,122472301.25,5731
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-07,6481.0,6575.0,6466.6,6517.8,6512.0,6481.25,5754,37525780.75,2427
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-06,6510.0,6510.0,6383.2,6481.25,6505.85,6509.45,8574,55275880.95,3927
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-05,6585.4,6610.0,6478.65,6509.45,6500.55,6588.75,9227,60141440.6,3643
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-04,6529.95,6646.0,6502.1,6588.75,6574.85,6534.15,10692,70516686.0,3400
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-02,6565.7,6646.1,6522.1,6534.15,6527.0,6565.7,722,4738381.2,304
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-03-01,6476.0,6649.0,6476.0,6565.7,6560.0,6507.9,10574,69483157.1,3902
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-02-29,6481.65,6530.9,6401.0,6507.9,6519.9,6481.65,15462,99990702.8,3236
Gillette India Limited,INE322A01010,2003-07-30,EQ,GILLETTE,2024-02-28,6417.65,6537.0,6408.55,6481.65,6488.0,6417.65,19596,126942071.35,3027
