StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-28,1890.45,1962.35,1890.45,1946.6,1950.0,1879.8,120032,232768608.1,15045
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-27,1925.0,1957.15,1871.25,1879.8,1895.75,1921.5,250305,477927171.2,20564
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-26,1977.0,1987.0,1912.4,1921.5,1933.0,1963.05,133017,258622176.9,16060
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-22,1987.0,1995.0,1939.0,1963.05,1967.0,1986.3,267395,523134015.6,26357
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-21,1991.2,2039.95,1975.05,1986.3,1987.0,1999.0,142721,286231822.15,16357
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-20,1955.65,2019.75,1955.65,1999.0,1985.4,1952.55,134366,268997716.75,16047
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-19,1976.0,2004.85,1932.05,1952.55,1966.5,1972.25,204880,402343626.3,18738
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-18,1905.6,1995.95,1905.6,1972.25,1972.3,1926.55,231516,455040415.6,25283
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-15,1970.9,1983.0,1900.0,1926.55,1922.0,1969.05,207214,400929780.25,24797
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-14,1926.95,1988.0,1913.0,1969.05,1976.9,1926.3,125933,245949389.15,14972
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-13,2001.0,2015.2,1898.0,1926.3,1925.0,2001.25,222306,434771554.15,31880
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,2000-12-15,EQ,GLAXO,2024-03-12,2011.95,2037.85,1976.5,2001.25,2000.0,2009.4,165708,332113491.15,19115
