StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-28,960.0,968.6,954.25,958.45,956.0,962.45,517943,498197251.2,29340
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-27,960.0,969.4,947.3,962.45,962.0,957.2,752945,723641798.4,38297
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-26,950.0,961.35,936.0,957.2,952.0,951.0,685483,649239073.65,27120
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-22,943.7,954.4,940.7,951.0,952.5,946.7,792841,750093352.05,29943
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-21,941.8,954.5,938.5,946.7,946.0,941.3,721888,685422775.45,24121
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-20,915.85,946.45,908.35,941.3,941.8,920.65,1104276,1023106333.65,30960
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-19,938.5,942.0,917.0,920.65,917.0,939.65,555021,512509774.75,27698
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-18,924.65,944.6,916.05,939.65,940.0,926.5,678559,634254773.65,29452
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-15,937.95,943.85,912.05,926.5,927.0,937.5,1144957,1062641166.65,49132
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-14,890.55,941.45,883.0,937.5,936.8,898.45,1584214,1453666665.25,66608
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-13,941.6,948.15,885.5,898.45,899.3,945.15,1773669,1608658985.6,73178
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-12,955.3,967.85,931.35,945.15,942.0,955.3,1079570,1024754294.0,53425
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-11,958.0,974.0,950.05,955.3,956.0,955.25,1875353,1808011285.35,64480
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-07,927.0,964.3,927.0,955.25,952.2,926.4,1749348,1662415046.9,62220
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-06,916.0,935.6,903.15,926.4,933.4,917.2,1577906,1452410909.95,68225
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-05,920.9,921.55,905.35,917.2,912.6,921.7,660077,603916674.05,28445
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-04,925.05,945.95,919.25,921.7,920.9,928.25,1085073,1012037054.2,59087
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-02,920.05,938.05,912.15,928.25,924.0,920.3,52624,48788405.1,2070
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-03-01,925.1,925.1,904.7,920.3,920.0,925.1,671589,616294605.85,26581
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-29,911.0,926.95,898.45,925.1,925.85,911.2,1434787,1314633508.35,41404
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-28,925.0,929.9,900.55,911.2,907.5,927.65,643011,587324572.35,24035
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-27,926.5,937.5,918.1,927.65,926.95,927.65,804309,745793344.15,33989
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-26,907.0,942.0,907.0,927.65,927.55,900.1,3013526,2808723122.9,85238
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-23,912.55,921.6,894.5,900.1,900.0,912.45,1406588,1270049579.65,34647
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-22,900.0,916.0,898.1,912.45,912.35,900.6,715441,648070550.6,25531
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-21,890.0,911.0,885.1,900.6,900.0,894.15,1778463,1603485706.15,52396
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-20,871.1,905.0,867.2,894.15,892.2,862.55,3444381,3044958571.6,74688
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-19,875.0,876.0,853.0,862.55,861.45,872.25,964956,831379601.05,35769
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-16,822.0,891.0,822.0,872.25,868.95,810.25,8741874,7646354400.65,161231
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-15,771.0,850.5,771.0,810.25,818.1,797.2,4974179,4049442897.35,127567
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-14,828.0,829.0,782.8,797.2,796.0,832.2,1982268,1579431088.65,61920
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-13,822.1,838.7,818.55,832.2,830.0,831.4,465748,386570009.55,24381
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-12,843.1,849.0,817.55,831.4,829.45,843.1,859065,718621629.75,38214
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-09,855.1,861.7,829.7,843.1,841.0,858.55,936078,789003222.55,34659
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-08,880.0,883.4,853.35,858.55,859.3,877.25,1203539,1042286976.75,21852
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-07,887.15,890.95,868.05,877.25,872.0,884.8,446360,391862363.9,16726
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-06,888.0,897.6,880.85,884.8,885.0,884.6,1057975,941237301.3,27235
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-05,886.0,894.1,879.45,884.6,885.0,885.7,766933,681927361.5,23605
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-02,890.5,899.75,882.05,885.7,886.0,890.5,648664,577448043.75,21085
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-02-01,920.1,920.1,865.0,890.5,888.1,910.2,1817051,1606857764.55,60727
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-31,898.0,922.7,897.0,910.2,907.7,895.75,1399292,1276790316.3,59596
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-30,900.0,909.7,893.65,895.75,898.65,899.85,600740,542250416.6,26198
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-29,893.5,906.85,887.3,899.85,899.1,891.1,685206,615397426.45,25853
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-25,890.9,913.5,883.55,891.1,893.55,890.2,1045465,941787291.15,37423
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-24,856.0,893.5,854.15,890.2,887.7,858.15,862176,756904295.65,23028
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-23,875.25,892.9,853.05,858.15,857.3,875.25,885743,775203129.65,28774
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-20,884.9,887.0,870.45,875.25,873.5,879.15,279988,246217700.2,9219
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-19,877.0,888.2,867.3,879.15,878.5,867.55,906348,795583822.8,26336
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-18,872.2,878.3,847.55,867.55,870.0,872.2,1540500,1336466350.05,32198
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-17,888.5,890.15,867.65,872.2,876.75,889.15,714859,627139618.05,22572
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-16,910.4,911.25,881.0,889.15,890.15,910.45,986057,882223703.9,29703
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-15,869.05,916.35,863.65,910.45,911.0,868.95,2296912,2075309894.65,62184
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-12,879.95,880.2,866.8,868.95,868.6,879.95,591537,516178684.4,19029
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-11,876.0,890.9,871.5,879.95,880.0,879.65,972265,855544973.65,28096
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-10,886.0,886.0,865.65,879.65,875.0,886.55,1456990,1274950935.3,32407
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-09,884.0,898.4,878.9,886.55,886.0,873.7,649347,577815310.1,24087
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-08,893.0,893.95,867.4,873.7,875.65,892.7,656367,575563859.2,23040
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-05,900.0,905.0,882.05,892.7,891.0,898.4,438207,391309749.85,18832
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-04,898.05,913.55,890.85,898.4,899.0,897.9,712492,641437317.8,23092
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-03,896.0,903.4,883.0,897.9,899.3,888.8,1793431,1603581834.35,49958
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-02,855.7,901.8,854.7,888.8,891.0,855.65,3980406,3534561227.9,106621
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2024-01-01,854.0,861.9,848.0,855.65,852.0,853.95,415165,355278063.5,13850
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-29,857.0,859.0,848.05,853.95,852.0,855.4,468147,399245361.3,14311
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-28,850.0,858.0,838.0,855.4,855.0,846.05,970942,826087991.35,30231
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-27,844.1,855.8,828.9,846.05,846.25,843.95,765258,644902963.65,29387
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-26,839.0,852.0,830.55,843.95,843.0,839.3,821945,693414730.2,24713
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-22,823.6,850.0,822.2,839.3,836.9,823.6,2088247,1755769566.5,62138
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-21,781.0,827.7,773.2,823.6,822.85,789.85,1541173,1243705978.15,42518
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-20,823.4,835.25,785.0,789.85,786.3,823.55,1861903,1500985195.7,45223
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-19,817.65,831.6,810.3,823.55,820.3,817.3,791780,651692319.1,26582
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-18,825.0,842.0,815.0,817.3,817.55,824.0,1178792,975289436.8,32638
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-15,830.0,834.9,818.0,824.0,825.5,829.05,850025,701203828.45,29721
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-14,813.15,831.0,812.1,829.05,827.15,812.35,964081,791728770.7,33865
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-13,806.05,815.75,801.0,812.35,809.25,797.35,782180,633302025.85,24805
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-12,822.8,825.0,790.4,797.35,799.15,819.1,1337480,1078119537.3,48248
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-11,800.0,830.95,791.75,819.1,819.4,795.95,2857825,2347194597.1,62924
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-08,825.0,827.0,787.1,795.95,797.1,821.9,2402310,1926676525.6,49405
Glenmark Pharmaceuticals Limited,INE935A01035,2000-02-07,EQ,GLENMARK,2023-12-07,809.6,825.0,803.95,821.9,822.0,806.5,1573712,1283412723.95,49937
