StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-28,1217.65,1256.95,1217.65,1235.9,1234.0,1214.3,250421,310967065.15,15166
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-27,1210.65,1235.0,1209.8,1214.3,1217.0,1209.8,315557,384440159.4,21233
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-26,1249.6,1260.0,1205.6,1209.8,1208.75,1249.6,297669,364840080.65,24304
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-22,1229.0,1269.0,1225.0,1249.6,1249.9,1226.15,269742,335398270.5,22917
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-21,1228.0,1243.9,1223.25,1226.15,1228.7,1225.1,240716,296414389.0,13000
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-20,1226.5,1245.0,1212.0,1225.1,1221.25,1222.15,198325,243085237.85,18216
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-19,1230.0,1239.75,1215.0,1222.15,1223.95,1230.35,158999,194891345.9,14953
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-18,1258.0,1263.0,1210.0,1230.35,1227.8,1248.95,342033,422127986.75,31779
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-15,1233.7,1262.6,1233.7,1248.95,1247.65,1233.65,159349,198330419.7,17557
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-14,1270.0,1297.95,1228.0,1233.65,1240.0,1270.8,390042,494016987.8,21052
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-13,1280.0,1299.35,1263.0,1270.8,1275.0,1271.55,212522,271177354.3,16529
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-12,1256.95,1299.4,1255.0,1271.55,1270.1,1255.35,273267,349602049.25,22148
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-11,1313.3,1320.0,1240.0,1255.35,1250.0,1309.95,250861,320098923.5,21532
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-07,1329.9,1331.65,1299.4,1309.95,1314.4,1329.9,283381,373219419.15,15716
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-06,1348.05,1348.05,1312.8,1329.9,1330.0,1351.9,168728,223460435.4,17818
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-05,1349.0,1355.9,1328.0,1351.9,1348.0,1346.7,137579,184689130.7,12471
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-04,1332.65,1352.0,1315.0,1346.7,1350.35,1332.65,190090,252969949.15,13680
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-02,1329.9,1344.0,1324.05,1332.65,1333.0,1325.65,18242,24309822.35,1608
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-03-01,1309.95,1336.5,1299.55,1325.65,1325.65,1302.0,146101,192912707.3,20886
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-29,1332.35,1336.7,1294.75,1302.0,1309.95,1332.35,184117,240426344.2,23396
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-28,1343.95,1352.1,1331.0,1332.35,1331.75,1343.7,104052,139436306.2,16450
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-27,1349.9,1349.9,1338.0,1343.7,1345.0,1344.75,120926,162235673.25,7906
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-26,1346.0,1355.0,1337.0,1344.75,1340.0,1345.1,101693,136623252.7,9086
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-23,1363.0,1363.0,1341.55,1345.1,1343.55,1350.55,87731,118420442.0,10480
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-22,1359.9,1365.15,1343.3,1350.55,1353.0,1352.4,107327,144909361.7,14067
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-21,1359.9,1364.9,1345.0,1352.4,1351.6,1359.6,120339,162984152.45,13976
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-20,1371.0,1378.8,1354.95,1359.6,1361.85,1371.6,163984,223281419.45,11393
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-19,1396.0,1398.5,1366.85,1371.6,1376.65,1382.45,129838,178897380.05,10029
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-16,1394.0,1409.2,1379.3,1382.45,1383.0,1388.1,88850,123664789.7,10673
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-15,1359.0,1394.0,1351.4,1388.1,1390.0,1351.8,115596,158207995.7,12996
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-14,1350.15,1367.1,1346.4,1351.8,1359.0,1374.85,107211,145268889.95,14468
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-13,1368.15,1379.95,1335.0,1374.85,1373.1,1364.4,146830,198828140.15,22020
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-12,1393.1,1406.05,1344.0,1364.4,1357.0,1388.05,186658,254405287.45,24049
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-09,1427.05,1453.15,1380.0,1388.05,1399.0,1427.5,205468,288757625.5,23267
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-08,1481.95,1494.7,1420.0,1427.5,1440.0,1481.4,177388,257541894.45,19695
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-07,1495.0,1505.65,1473.55,1481.4,1481.0,1493.1,104080,154616079.8,12473
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-06,1501.65,1524.0,1485.0,1493.1,1495.5,1494.15,311979,467535686.15,14322
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-05,1521.0,1524.85,1479.8,1494.15,1490.0,1512.3,251427,379080873.85,18721
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-02,1460.0,1526.5,1459.0,1512.3,1513.0,1555.55,798346,1198508681.8,38987
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-02-01,1557.5,1565.7,1513.05,1555.55,1555.15,1552.1,80606,124670211.5,9908
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-31,1549.0,1561.45,1533.45,1552.1,1549.95,1529.35,89651,139048611.7,10011
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-30,1551.0,1553.95,1525.0,1529.35,1530.0,1544.9,90685,139403461.8,7601
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-29,1534.25,1552.45,1528.9,1544.9,1538.0,1536.25,216403,332117938.5,10659
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-25,1530.0,1542.0,1519.7,1536.25,1530.0,1536.6,78072,119701465.25,7053
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-24,1526.05,1554.05,1509.45,1536.6,1531.0,1526.05,142616,218718461.95,11517
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-23,1537.5,1545.0,1514.85,1526.05,1520.9,1537.45,118157,180681464.85,11453
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-20,1522.0,1543.3,1516.45,1537.45,1537.0,1529.3,178539,272822027.9,7429
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-19,1525.0,1535.0,1508.5,1529.3,1534.0,1508.05,142511,216974213.7,10619
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-18,1517.0,1536.95,1486.0,1508.05,1507.75,1511.65,144136,218305760.35,14870
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-17,1550.0,1558.8,1501.0,1511.65,1516.85,1563.15,177137,270169861.15,18115
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-16,1549.0,1567.7,1546.6,1563.15,1563.9,1544.65,81730,127340345.3,8692
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-15,1568.0,1573.95,1539.9,1544.65,1548.4,1564.7,106066,164453556.45,10347
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-12,1528.3,1574.95,1525.0,1564.7,1560.1,1520.65,159365,248579903.65,13328
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-11,1548.0,1553.75,1518.85,1520.65,1520.0,1537.95,132365,202709835.2,12841
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-10,1562.4,1565.85,1535.05,1537.95,1539.0,1562.4,97660,150879918.3,7715
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-09,1565.7,1577.95,1558.0,1562.4,1561.0,1554.7,60273,94457597.65,6658
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-08,1575.0,1589.95,1551.0,1554.7,1559.95,1580.5,150660,235465343.35,11753
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-05,1563.0,1588.9,1561.0,1580.5,1580.0,1553.65,128396,202574998.9,12087
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-04,1572.0,1588.0,1548.0,1553.65,1556.65,1557.55,184728,289153433.05,17781
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-03,1586.0,1603.85,1554.55,1557.55,1558.45,1596.4,236204,370629665.35,16765
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-02,1600.0,1614.6,1572.15,1596.4,1596.4,1592.75,161512,257642707.75,12350
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2024-01-01,1612.0,1624.0,1589.05,1592.75,1596.0,1611.9,170413,273478490.0,14304
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2023-12-29,1649.0,1649.0,1594.25,1611.9,1610.0,1639.65,230612,374048423.3,15972
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2023-12-28,1587.95,1663.4,1586.3,1639.65,1640.0,1586.25,462330,753040006.5,32436
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2023-12-27,1595.0,1612.0,1573.95,1586.25,1585.75,1592.2,123315,196501167.9,9473
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2023-12-26,1605.3,1622.0,1585.05,1592.2,1592.0,1589.45,195222,313464708.2,15285
GMM Pfaudler Limited,INE541A01023,2018-03-05,EQ,GMMPFAUDLR,2023-12-22,1621.0,1637.4,1580.05,1589.45,1605.0,1609.1,195118,312365810.2,18923
