StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-28,80.9,82.25,80.25,81.6,81.8,79.8,24357737,1981885470.65,51533
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-27,81.4,81.4,79.4,79.8,79.8,79.05,26320881,2109481592.55,57941
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-26,78.6,79.75,77.75,79.05,79.0,78.65,12905284,1017393836.65,30762
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-22,79.15,79.6,78.0,78.65,78.5,79.1,9769561,771232777.55,25219
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-21,75.9,79.3,75.6,79.1,79.3,74.65,18986015,1481806008.45,35456
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-20,76.0,76.3,73.0,74.65,74.75,75.3,15111132,1127119329.1,30202
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-19,77.25,77.5,75.05,75.3,75.3,77.1,11022369,838457656.05,30586
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-18,77.3,78.2,76.25,77.1,77.25,77.3,9153822,706359247.9,25500
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-15,78.0,78.75,74.8,77.3,77.3,78.05,19455715,1491007633.2,41473
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-14,76.35,78.6,74.5,78.05,78.4,75.15,30451300,2350433876.4,54225
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-13,81.0,81.15,73.6,75.15,75.0,80.95,34943703,2676077620.9,70144
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-12,82.95,83.4,80.55,80.95,80.8,82.7,19702229,1605034312.5,35334
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-11,85.35,85.4,82.4,82.7,82.7,84.5,16717842,1396405656.5,36128
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-07,83.15,85.15,82.65,84.5,84.25,82.7,14135199,1187159762.8,28439
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-06,86.75,86.95,80.8,82.7,82.8,86.75,24841782,2066773265.9,62018
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-05,86.55,87.65,86.0,86.75,86.6,86.65,16913400,1468511410.15,37195
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-04,86.35,87.5,85.65,86.65,86.65,85.8,24955290,2166375756.9,44717
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-02,85.7,86.75,85.5,85.8,85.9,85.55,4326231,371786605.15,7532
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-03-01,84.5,86.2,84.25,85.55,85.95,84.0,26544078,2260746621.55,41582
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-29,84.8,85.35,82.6,84.0,84.4,84.4,341649737,28681484740.45,160287
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-28,86.25,87.5,84.0,84.4,84.45,85.75,47472979,4068181808.8,78356
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-27,87.9,88.4,85.4,85.75,85.95,87.65,75427795,6537608223.2,97532
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-26,88.8,89.6,87.1,87.65,87.5,88.35,39761640,3514731792.35,69311
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-23,88.25,89.65,87.75,88.35,87.85,87.65,25843128,2290838252.8,50337
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-22,86.85,88.3,84.75,87.65,87.8,86.25,29169629,2533694766.1,60970
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-21,90.9,90.9,84.55,86.25,86.3,90.6,63802448,5547156661.5,115132
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-20,92.6,94.35,89.85,90.6,90.15,92.1,56491851,5213104333.4,98397
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-19,89.8,92.85,87.75,92.1,92.4,89.25,51843868,4729182395.4,91507
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-16,90.85,91.2,88.65,89.25,88.75,90.35,38111593,3428775516.15,63085
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-15,90.6,91.7,89.1,90.35,90.35,89.85,31048461,2800088441.2,62619
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-14,88.25,90.8,87.8,89.85,90.45,89.85,34239889,3074909844.35,72248
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-13,89.45,91.15,85.8,89.85,89.95,85.6,85283123,7577539283.55,136141
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-12,89.25,89.3,84.75,85.6,85.45,88.85,25142104,2174289710.65,52987
GMR Airports Infrastructure Limited,INE776C01039,2006-08-21,EQ,GMRINFRA,2024-02-09,90.3,90.55,84.2,88.85,88.5,90.15,35007959,3057407791.2,68976
