StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-28,3099.0,3139.0,3060.0,3089.2,3091.55,3080.7,84852,263076282.7,11197
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-27,3089.05,3132.0,3051.0,3080.7,3066.05,3063.7,58707,181064670.6,11952
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-26,3129.0,3155.8,3047.6,3063.7,3070.0,3128.3,52066,160818406.75,9680
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-22,3060.0,3169.0,3046.0,3128.3,3120.0,3054.1,81680,255572443.15,14507
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-21,3009.25,3073.2,2987.6,3054.1,3056.7,2978.75,68100,206821880.5,10980
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-20,3070.0,3111.85,2964.6,2978.75,2969.0,3065.1,97708,293715364.4,15637
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-19,3119.05,3179.7,3046.0,3065.1,3061.5,3130.25,159527,494736002.0,25059
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-18,2967.0,3188.0,2913.75,3130.25,3150.0,2942.9,469666,1456980294.4,63166
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-15,3030.45,3084.05,2875.0,2942.9,2978.0,3030.65,190420,561628862.25,31512
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-14,2875.0,3118.35,2840.05,3030.65,3034.0,2932.55,262852,796162635.2,37855
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-13,3246.35,3308.95,2805.55,2932.55,2885.0,3246.35,311285,954613571.25,41076
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-12,3570.05,3580.0,3163.0,3246.35,3226.7,3637.05,464162,1572340494.95,54471
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-11,3337.35,3686.0,3301.55,3637.05,3610.0,3298.1,774893,2752609629.3,71177
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-07,3164.0,3338.55,3148.0,3298.1,3325.0,3164.0,124568,403771129.4,16360
Godfrey Phillips India Limited,INE260B01028,1996-07-24,EQ,GODFRYPHLP,2024-03-06,3081.0,3182.95,3060.0,3164.0,3170.0,3087.0,167002,519685321.75,17732
