StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-28,744.0,774.45,731.05,757.3,753.0,732.7,958738,728342002.65,45545
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-27,676.1,744.5,676.1,732.7,728.0,680.85,1258181,909241923.65,43354
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-26,682.15,694.55,675.3,680.85,682.15,682.15,239881,163938912.8,14501
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-22,675.9,692.45,672.65,682.15,682.0,674.85,247819,169816930.2,10397
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-21,669.0,684.75,669.0,674.85,676.5,665.15,253995,171631165.4,11183
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-20,665.0,683.6,658.0,665.15,663.1,665.95,411182,273982475.95,24381
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-19,669.95,685.0,663.0,665.95,668.0,672.75,390195,263080209.5,21514
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-18,699.0,706.05,664.0,672.75,670.0,695.7,410346,280190581.45,30156
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-15,694.6,720.0,680.55,695.7,712.15,692.25,1541456,1071996513.55,29062
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-14,695.2,713.85,679.0,692.25,698.0,691.25,426443,297234984.05,26158
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-13,704.75,714.65,663.85,691.25,687.15,704.85,760671,521949878.0,46227
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-12,730.8,741.0,701.25,704.85,705.0,730.8,284336,202760214.35,24586
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-11,749.9,759.0,725.0,730.8,732.1,744.85,241940,177148807.05,15205
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-07,749.1,758.9,738.75,744.85,743.05,749.3,227749,170181155.85,12761
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-06,759.45,763.0,735.7,749.3,747.05,758.0,414451,311068750.75,25004
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-05,763.65,768.6,751.5,758.0,766.45,764.55,191136,145292534.6,14134
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-04,775.0,777.65,755.5,764.55,763.0,768.75,255028,195013935.75,15054
Godawari Power And Ispat limited,INE177H01021,2006-04-25,EQ,GPIL,2024-03-02,762.7,774.9,762.7,768.75,768.0,768.4,26076,20058586.0,1093
