StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-28,217.5,221.5,207.0,212.55,212.6,217.45,7303255,1585390077.2,50961
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-27,217.55,224.35,215.35,217.45,216.85,216.3,19613495,4315640910.7,122410
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-26,197.8,218.65,195.4,216.3,215.1,197.9,27927981,5946720784.1,155800
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-22,198.55,201.5,195.65,197.9,198.25,198.55,3791688,754158854.7,34790
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-21,196.0,204.3,195.1,198.55,198.4,192.85,7469185,1493410787.7,65582
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-20,192.9,200.9,186.65,192.85,193.1,191.55,7009831,1357768668.3,63232
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-19,195.7,199.4,190.0,191.55,191.6,195.5,4073334,789584683.45,44901
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-18,204.95,206.4,194.25,195.5,195.75,205.85,7535973,1504342633.6,82082
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-15,183.8,209.95,178.45,205.85,207.0,184.4,12708758,2497938285.95,97536
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-14,173.1,186.5,168.8,184.4,184.95,174.4,7577198,1365653466.9,75165
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-13,192.0,193.2,171.0,174.4,173.5,191.3,6641901,1213665481.7,63374
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-12,196.3,196.8,187.95,191.3,190.4,196.3,5810827,1113011068.0,67415
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-11,208.0,208.0,194.55,196.3,195.0,206.9,3174755,633931976.4,49831
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-07,202.95,207.75,201.6,206.9,206.5,201.35,3314534,679810664.6,26781
Gujarat Pipavav Port Limited,INE517F01014,2010-09-09,EQ,GPPL,2024-03-06,208.3,209.1,198.5,201.35,201.0,208.3,5185356,1047183971.6,46149
