StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-28,2210.0,2309.2,2210.0,2287.3,2305.0,2207.35,1786120,4064166634.25,105008
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-27,2240.0,2251.95,2198.7,2207.35,2215.0,2240.05,1033992,2307758952.05,50735
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-26,2215.0,2242.1,2201.65,2240.05,2237.55,2223.55,731877,1633863327.05,45867
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-22,2200.0,2234.0,2194.45,2223.55,2220.0,2205.55,551648,1221523947.55,37991
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-21,2188.0,2211.3,2175.3,2205.55,2205.0,2167.5,880687,1934928749.85,59573
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-20,2175.5,2196.15,2131.0,2167.5,2179.9,2173.8,655682,1421745340.1,41160
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-19,2199.0,2206.1,2163.85,2173.8,2171.65,2203.1,660181,1439443052.75,38433
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-18,2181.0,2214.0,2170.0,2203.1,2202.0,2197.1,508214,1117347324.65,31482
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-15,2185.1,2208.9,2165.05,2197.1,2169.6,2196.5,2630480,5774313421.35,74333
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-14,2149.9,2204.9,2128.6,2196.5,2189.9,2149.1,1097271,2397332652.2,68026
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-13,2194.0,2203.05,2137.3,2149.1,2142.05,2184.0,881145,1909370894.4,68264
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-12,2236.0,2246.95,2172.85,2184.0,2184.0,2236.8,891725,1962905556.95,46682
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-11,2230.0,2270.55,2225.5,2236.8,2234.0,2228.1,599546,1345894289.7,48869
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-07,2239.0,2250.35,2208.0,2228.1,2222.0,2236.5,519779,1159677129.6,43782
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-06,2237.9,2252.95,2196.6,2236.5,2242.0,2231.5,678808,1508091322.5,46897
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-05,2230.1,2251.9,2220.45,2231.5,2225.3,2234.15,401260,898215671.95,32063
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-04,2245.0,2260.0,2226.3,2234.15,2236.8,2245.75,423656,947339998.5,33946
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-02,2260.0,2268.95,2240.0,2245.75,2248.0,2254.9,37928,85475476.25,3146
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-03-01,2209.0,2259.4,2196.75,2254.9,2255.0,2191.4,826009,1849856372.1,54072
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-29,2186.0,2206.0,2157.8,2191.4,2205.0,2186.0,1499473,3281286092.75,61931
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-28,2202.0,2218.9,2173.25,2186.0,2180.05,2204.8,1197381,2629498241.3,64028
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-27,2190.2,2214.0,2190.2,2204.8,2207.8,2186.9,674507,1485729036.9,41554
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-26,2204.1,2211.3,2174.8,2186.9,2183.55,2194.4,905237,1983286461.1,48004
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-23,2234.0,2236.7,2182.6,2194.4,2190.0,2201.2,1646510,3622725783.5,129910
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-22,2234.0,2244.0,2113.2,2201.2,2200.0,2194.0,3428899,7474453035.0,211147
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-21,2200.0,2222.0,2180.05,2194.0,2197.0,2192.25,765529,1686698429.7,59806
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-20,2169.0,2222.0,2161.1,2192.25,2198.0,2168.6,1710394,3761303182.0,95202
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-19,2107.45,2190.0,2102.2,2168.6,2170.65,2105.65,1167037,2524479575.85,69082
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-16,2091.4,2119.0,2086.85,2105.65,2104.0,2084.8,403756,849886623.15,31390
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-15,2085.7,2103.65,2072.8,2084.8,2085.0,2079.8,506068,1055831955.25,42681
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-14,2054.0,2085.0,2027.5,2079.8,2076.75,2064.15,605147,1245133643.2,40005
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-13,2173.9,2173.9,2053.95,2064.15,2068.55,2147.35,985312,2057335417.95,52336
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-12,2175.0,2199.0,2138.1,2147.35,2140.05,2168.5,1229133,2668697851.85,77570
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-09,2057.25,2182.0,2046.9,2168.5,2179.05,2057.3,2010089,4284561832.15,107624
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-08,2123.0,2125.0,2048.0,2057.3,2070.05,2111.5,1387156,2881960270.5,113067
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-07,2079.0,2120.0,2063.0,2111.5,2115.2,2066.0,1133609,2381173537.6,62758
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-06,2082.0,2097.95,2061.0,2066.0,2063.0,2089.75,581483,1208887936.7,42899
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-05,2130.1,2147.3,2081.0,2089.75,2084.0,2139.45,949717,2009814233.65,35494
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-02,2147.95,2169.9,2130.5,2139.45,2133.05,2128.6,330557,710233110.75,33316
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-02-01,2175.0,2178.9,2111.45,2128.6,2118.35,2175.0,638710,1365607463.15,63561
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-31,2126.5,2182.05,2115.45,2175.0,2160.0,2126.15,910709,1965463803.65,72552
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-30,2115.0,2139.0,2106.0,2126.15,2124.15,2104.5,852171,1811065197.95,51060
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-29,2080.0,2125.0,2077.75,2104.5,2105.0,2076.5,795647,1672921552.85,46876
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-25,2079.95,2087.35,2052.15,2076.5,2087.0,2071.3,467209,968355742.55,40098
Grasim Industries Limited,INE047A01021,1995-05-10,BL,GRASIM,2024-01-25,2071.3,2071.3,2060.0,2060.7,2060.0,1840.0,864070,1780595191.0,2
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-24,2069.0,2080.75,2016.55,2071.3,2080.0,2049.6,604130,1240804994.8,64910
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-23,2078.1,2086.4,2032.5,2049.6,2052.75,2081.2,938057,1929602310.8,101790
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-20,2095.0,2099.9,2070.0,2081.2,2089.95,2081.2,131682,273823813.75,9442
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-19,2056.45,2094.0,2052.35,2081.2,2091.0,2053.65,456698,947039394.2,48168
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-18,2067.0,2069.0,2036.2,2053.65,2065.95,2067.85,877519,1802670390.1,93295
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-17,2112.6,2115.2,2056.0,2067.85,2070.9,2115.2,733818,1525579640.95,42758
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-16,2092.55,2119.8,2090.1,2115.2,2108.65,2101.0,457403,965815536.75,24303
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-15,2111.75,2122.95,2093.7,2101.0,2100.0,2111.55,202260,425786815.95,18996
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-12,2083.0,2120.9,2075.0,2111.55,2114.55,2083.7,485644,1022175590.3,37928
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-11,2069.95,2096.3,2051.0,2083.7,2085.0,2068.55,887806,1844317312.75,55229
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-10,2058.8,2074.45,2040.85,2068.55,2068.15,2064.05,325322,669458541.6,32465
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-09,2082.15,2092.75,2058.85,2064.05,2065.5,2067.7,1211997,2514423477.05,61735
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-08,2079.5,2083.7,2057.9,2067.7,2077.0,2079.5,557308,1152656120.15,48744
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-05,2098.0,2099.0,2053.55,2079.5,2079.0,2070.2,1084779,2245124740.6,49839
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-04,2090.0,2095.0,2059.4,2070.2,2063.0,2072.2,958697,1989200855.95,45543
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-03,2090.0,2120.0,2066.1,2072.2,2075.95,2101.45,971170,2020317713.45,38733
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-02,2129.9,2130.4,2088.0,2101.45,2102.0,2127.3,796768,1676376076.25,51370
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2024-01-01,2145.0,2175.0,2112.0,2127.3,2118.9,2134.8,804466,1732363723.6,42777
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-29,2140.3,2145.0,2115.0,2134.8,2132.45,2139.95,648794,1379179109.0,41435
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-28,2129.0,2148.25,2106.3,2139.95,2142.2,2124.8,1059776,2254443996.1,63393
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-27,2078.95,2130.85,2071.6,2124.8,2129.05,2069.55,1133407,2380703265.8,61539
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-26,2051.0,2083.0,2049.0,2069.55,2079.95,2046.2,641259,1327322113.95,34034
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-22,2089.0,2096.6,2034.9,2046.2,2047.5,2085.6,1002033,2064863116.75,55311
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-21,2050.0,2090.85,2050.0,2085.6,2089.0,2063.55,443473,919418907.65,51210
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-20,2134.0,2135.6,2053.55,2063.55,2070.2,2118.25,676270,1412816311.65,45226
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-19,2107.05,2137.8,2089.2,2118.25,2111.5,2109.75,316704,670544957.75,29022
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-18,2127.7,2127.7,2102.0,2109.75,2106.0,2127.7,312861,660794304.8,21558
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-15,2116.0,2132.75,2102.0,2127.7,2126.5,2103.9,724327,1534637728.1,49454
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-14,2094.95,2111.95,2081.95,2103.9,2108.4,2083.95,604705,1267247848.6,58531
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-13,2080.9,2092.95,2037.3,2083.95,2076.15,2080.75,802384,1661031889.35,50026
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-12,2090.0,2129.0,2075.6,2080.75,2079.0,2084.05,771429,1615984009.6,50680
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-11,2072.0,2088.25,2068.1,2084.05,2081.0,2070.05,253803,527398803.15,19795
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-08,2080.0,2099.3,2042.65,2070.05,2070.0,2081.75,592431,1227276356.15,35913
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-07,2057.75,2089.0,2045.6,2081.75,2079.0,2057.75,423117,877320456.15,36566
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-06,2079.85,2085.0,2045.55,2057.75,2060.0,2072.35,359203,740402601.95,29410
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-05,2057.9,2078.0,2038.5,2072.35,2078.0,2052.95,559168,1152517608.75,41064
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-04,2075.0,2076.0,2028.45,2052.95,2051.9,2016.05,1051602,2151485144.75,57062
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-12-01,2019.95,2039.0,2008.0,2016.05,2010.5,2005.45,928511,1879213890.9,37953
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-30,2006.0,2031.0,1990.25,2005.45,2007.0,2003.25,1700309,3411865308.7,75052
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-29,1988.1,2009.0,1981.05,2003.25,2009.0,1975.9,820956,1635978293.5,31421
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-28,1963.0,1987.0,1953.25,1975.9,1987.0,1949.4,696321,1368028910.45,36065
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-24,1963.9,1969.45,1945.45,1949.4,1945.95,1956.9,168018,328468164.9,16421
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-23,1984.1,1984.1,1951.4,1956.9,1957.2,1974.1,435716,857340507.0,32933
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-22,1979.8,1984.9,1958.75,1974.1,1970.0,1977.45,313877,618503541.1,22070
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-21,1972.65,1988.0,1969.0,1977.45,1975.0,1972.3,316716,626571622.1,28547
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-20,1971.6,1978.15,1953.1,1972.3,1970.0,1970.55,286168,562716423.45,23582
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-17,1941.05,1983.6,1940.35,1970.55,1970.45,1942.6,846043,1667591327.35,39601
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-16,1949.7,1954.85,1913.85,1942.6,1942.9,1943.95,950733,1842462071.55,58097
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-15,1947.0,1964.3,1935.0,1943.95,1941.0,1928.85,968317,1884336315.6,63722
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-13,1945.9,1945.9,1922.0,1928.85,1922.0,1946.1,213338,412087047.8,20731
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-12,1949.9,1949.9,1941.75,1946.1,1946.85,1943.0,51329,99879283.15,3923
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-10,1930.05,1947.8,1921.2,1943.0,1945.65,1935.0,192889,373617060.6,16966
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-09,1937.4,1944.55,1930.0,1935.0,1935.0,1933.85,288817,559786183.3,30357
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-08,1929.0,1943.0,1920.0,1933.85,1927.7,1921.55,425565,822837937.3,32987
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-07,1920.0,1929.95,1912.05,1921.55,1919.0,1918.7,222145,426767178.0,24213
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-06,1902.1,1936.55,1896.2,1918.7,1915.0,1896.2,291139,559992440.8,28545
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-03,1903.5,1915.0,1890.35,1896.2,1895.0,1897.75,233627,444224155.25,20171
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-02,1878.65,1900.95,1878.65,1897.75,1900.0,1868.55,320757,606787460.75,40639
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-11-01,1894.0,1897.0,1861.4,1868.55,1872.0,1886.7,347623,654754026.75,26470
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-10-31,1880.1,1891.95,1865.0,1886.7,1888.8,1878.8,290022,546031071.45,25678
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-10-30,1856.0,1882.3,1828.05,1878.8,1879.0,1856.0,512491,957067358.85,26550
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-10-27,1857.05,1870.0,1850.1,1856.0,1854.0,1849.55,288384,536341709.85,22169
Grasim Industries Limited,INE047A01021,1995-05-10,BL,GRASIM,2023-10-26,1840.0,1840.0,1840.0,1840.0,1840.0,1708.45,548322,1008912480.0,1
Grasim Industries Limited,INE047A01021,1995-05-10,EQ,GRASIM,2023-10-26,1867.1,1874.0,1839.55,1849.55,1853.5,1877.45,1136566,2108123726.05,67622
