StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-28,1930.0,1938.95,1888.8,1900.95,1902.0,1930.4,48771,92913333.1,5632
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-27,1939.0,1967.25,1895.55,1930.4,1896.05,1935.65,41146,79639911.55,8796
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-26,1932.0,1988.1,1925.05,1935.65,1930.0,1980.7,34565,67500189.8,8975
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-22,1940.0,1990.0,1940.0,1980.7,1981.0,1947.15,34137,67363722.35,4544
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-21,1916.0,1961.95,1910.0,1947.15,1930.0,1912.6,26864,51919922.8,6588
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-20,1919.1,1922.6,1895.0,1912.6,1905.0,1932.7,22545,43070430.75,5302
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-19,1900.5,1974.0,1875.2,1932.7,1912.0,1903.35,43949,84428801.5,6527
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-18,1892.0,1937.7,1886.45,1903.35,1900.0,1895.05,64113,121950757.75,11951
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-15,1899.0,1928.7,1876.35,1895.05,1890.0,1898.5,86197,164045809.15,8414
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-14,1920.5,1938.7,1879.05,1898.5,1900.0,1908.5,60286,115163203.6,11979
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-13,1930.0,1964.35,1900.0,1908.5,1900.0,1946.2,42175,80743790.35,12115
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-12,1994.0,2007.7,1911.1,1946.2,1945.05,2009.25,153043,297450885.2,14471
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-11,2038.45,2040.0,2002.05,2009.25,2010.5,2038.45,23758,47846718.55,4954
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-07,2044.2,2070.0,2025.0,2038.45,2045.0,2034.0,128036,261044939.1,5572
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-06,2079.0,2079.0,2025.0,2034.0,2029.0,2079.5,49204,100046997.45,6250
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-05,2080.0,2093.8,2035.1,2079.5,2083.75,2080.75,103866,214763847.7,6243
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-04,2109.35,2118.9,2061.9,2080.75,2083.5,2103.85,121283,252364787.8,6840
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-02,2100.0,2126.45,2077.25,2103.85,2110.35,2110.15,1441,3036565.2,467
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-03-01,2089.0,2123.6,2082.0,2110.15,2097.0,2088.6,14455,30388410.05,4080
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-29,2123.0,2124.4,2063.2,2088.6,2095.0,2118.85,80380,167247100.7,7439
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-28,2199.0,2199.0,2115.0,2118.85,2120.0,2174.5,14424,30874439.8,4347
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-27,2173.0,2196.0,2154.0,2174.5,2180.0,2165.65,64108,139270637.2,7148
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-26,2149.6,2184.3,2143.9,2165.65,2151.35,2143.9,19935,43158891.65,7580
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-23,2144.95,2152.95,2115.0,2143.9,2139.95,2131.85,75352,160104921.65,6356
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-22,2160.1,2165.45,2115.0,2131.85,2130.0,2160.1,11258,24109596.15,3186
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-21,2150.0,2187.7,2140.05,2160.1,2155.0,2149.0,128500,276359785.6,8859
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-20,2178.0,2193.2,2140.45,2149.0,2146.0,2176.85,26088,56300234.85,6950
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-19,2188.95,2202.45,2150.5,2176.85,2160.0,2188.95,39569,86359686.9,4007
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-16,2189.1,2234.65,2176.0,2188.95,2176.0,2175.45,42892,93806807.7,5147
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-15,2188.35,2207.7,2160.05,2175.45,2192.0,2194.75,149398,326013923.2,4997
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-14,2150.0,2210.0,2138.4,2194.75,2195.0,2199.95,176180,386213654.9,9231
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-13,2241.65,2242.5,2169.05,2199.95,2202.0,2241.65,26851,59180763.05,7389
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-12,2240.0,2271.25,2201.05,2241.65,2227.85,2218.0,24302,54402635.95,7260
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-09,2200.0,2224.8,2165.4,2218.0,2215.0,2179.1,22410,49236650.65,8019
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-08,2270.0,2270.0,2146.05,2179.1,2185.0,2266.45,61861,135737023.2,12659
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-07,2284.0,2304.0,2238.1,2266.45,2249.9,2270.05,43854,100282129.5,10855
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-06,2264.8,2275.0,2246.75,2270.05,2260.0,2249.25,27019,61110284.75,9204
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-05,2302.95,2314.75,2237.0,2249.25,2243.25,2292.95,27205,61616565.7,6911
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-02,2329.2,2449.0,2277.1,2292.95,2324.5,2329.2,34350,79955449.5,9606
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-02-01,2350.0,2372.5,2325.55,2329.2,2339.0,2368.55,14876,34735489.4,6254
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-01-31,2348.0,2383.45,2331.0,2368.55,2380.0,2343.2,126011,295275894.05,6040
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-01-30,2421.95,2442.55,2325.55,2343.2,2338.0,2412.05,50560,120686584.1,10549
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-01-29,2388.2,2450.0,2380.0,2412.05,2415.7,2380.3,55922,135524280.25,11858
Grindwell Norton Limited,INE536A01023,2006-09-11,EQ,GRINDWELL,2024-01-25,2293.75,2468.1,2258.0,2380.3,2385.0,2293.7,297500,698424014.95,21038
