StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-28,199.8,202.25,195.0,195.65,195.95,197.15,3550527,705064687.0,26901
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-27,198.0,203.9,196.0,197.15,197.6,197.2,4516394,904168604.9,43963
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-26,200.9,201.9,196.55,197.2,197.1,200.45,2739106,543272411.5,25878
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-22,200.3,204.1,200.0,200.45,200.6,200.0,2535584,512412459.0,20526
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-21,196.6,201.9,196.6,200.0,200.25,193.85,3068208,613249538.75,26167
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-20,200.0,202.6,192.65,193.85,193.7,199.25,3935240,770165701.8,39459
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-19,203.95,205.75,198.0,199.25,198.95,203.5,2945833,592995096.05,36460
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-18,209.3,211.9,202.6,203.5,203.4,208.65,2568700,529853805.0,38539
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-15,196.7,213.9,190.85,208.65,212.2,197.0,6104596,1228135685.6,54511
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-14,190.0,199.4,188.0,197.0,196.75,189.35,4602154,899465180.8,48511
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-13,205.0,206.6,187.5,189.35,189.0,203.35,5431711,1064169919.45,58343
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,1995-09-06,EQ,GSFC,2024-03-12,208.9,209.05,202.5,203.35,203.0,207.7,4059707,832733965.4,35557
