StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-28,352.85,358.0,349.1,356.5,352.2,352.85,2141195,753379013.1,25030
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-27,349.95,354.8,348.75,352.85,352.0,349.25,1593980,560853570.55,53837
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-26,354.65,363.45,347.7,349.25,349.5,353.15,1632834,579006978.55,34051
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-22,348.25,357.0,344.15,353.15,352.3,345.95,1007085,354261322.0,31660
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-21,347.9,349.65,343.1,345.95,345.95,344.0,579753,201342966.0,15461
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-20,340.8,349.1,340.0,344.0,344.6,338.95,2556528,878599563.25,21698
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-19,344.35,348.2,337.3,338.95,339.95,342.2,661039,226138119.85,26666
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-18,338.95,348.65,336.8,342.2,343.3,339.1,547258,187787343.75,28517
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-15,349.2,352.0,335.1,339.1,338.0,346.55,957091,327028799.15,31084
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-14,331.95,348.75,329.6,346.55,347.0,335.95,1028650,351785173.3,37044
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-13,351.8,356.95,333.3,335.95,337.0,353.55,1691109,579855787.1,55224
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-12,357.5,361.25,351.8,353.55,354.0,358.7,707235,251407918.0,28631
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-11,367.1,368.35,356.55,358.7,357.9,364.9,444272,160759716.15,24373
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-07,361.9,366.9,359.1,364.9,364.5,361.8,484402,176075450.05,16866
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-06,370.7,374.4,359.85,361.8,361.0,371.9,2695021,986222031.1,43996
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-05,372.15,376.75,367.1,371.9,371.3,372.45,995816,370212098.3,34376
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-04,367.9,377.0,361.7,372.45,372.0,366.95,1710800,631209417.4,59316
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-02,368.4,368.9,365.0,366.95,366.6,366.4,32555,11933628.55,1306
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-03-01,371.9,372.7,359.55,366.4,366.3,368.9,946805,344023138.5,29135
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-29,360.0,374.2,353.3,368.9,371.9,361.05,1339548,487991670.85,40378
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-28,365.0,366.55,356.3,361.05,360.75,363.9,560946,202646227.0,21736
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-27,368.0,368.0,361.05,363.9,363.8,368.0,578910,210476983.6,23686
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-26,375.0,378.0,366.0,368.0,366.8,370.95,732512,272374175.65,24882
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-23,369.5,375.15,361.0,370.95,374.9,367.05,1142228,419819137.2,26939
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-22,375.8,377.2,365.2,367.05,365.9,373.75,1059971,391689081.85,27910
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-21,365.0,376.0,362.3,373.75,375.05,363.45,1821214,676734927.05,37727
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-20,371.95,372.7,360.1,363.45,363.5,371.05,1111491,403655343.75,34856
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-19,380.5,380.55,368.9,371.05,371.0,377.5,1145296,426745786.5,32545
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-16,377.0,403.25,371.1,377.5,378.75,373.75,5859564,2267277652.55,101868
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-15,354.0,382.0,351.65,373.75,371.25,353.85,4068616,1511122424.45,91280
Gujarat State Petronet Limited,INE246F01010,2006-02-16,EQ,GSPL,2024-02-14,344.0,356.4,339.1,353.85,352.7,352.85,1014411,352246344.8,29027
