StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-28,545.0,547.0,538.3,544.25,544.35,541.75,698329,379535090.15,19086
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-27,549.35,556.45,539.9,541.75,542.0,549.3,975813,534304776.55,32398
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-26,529.0,553.05,525.05,549.3,548.4,528.85,1034389,562479368.6,28959
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-22,528.5,532.2,524.15,528.85,529.0,529.05,317477,168005454.2,13721
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-21,515.3,530.8,515.3,529.05,528.6,516.6,777617,409510112.35,22275
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-20,518.45,518.65,498.35,516.6,516.05,520.85,2368871,1207157265.05,50785
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-19,543.0,543.0,516.25,520.85,518.45,542.75,564288,298301291.6,17187
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-18,543.15,545.9,535.0,542.75,540.85,543.15,843660,456539882.1,23685
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-15,537.3,546.95,528.55,543.15,544.0,537.3,902983,487516305.5,24155
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-14,528.0,542.65,522.05,537.3,538.7,528.4,1136681,607770093.65,26618
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-13,556.15,556.15,523.2,528.4,531.75,556.15,1266699,680232877.15,27345
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-12,561.0,576.9,553.0,556.15,553.3,565.5,481623,270857381.45,13805
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-11,576.95,576.95,556.0,565.5,562.25,570.75,800541,451598817.7,20638
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-07,568.0,573.9,559.7,570.75,571.85,566.85,548388,312330527.2,16710
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-06,594.0,594.75,555.15,566.85,569.0,593.45,2080869,1178646440.1,51393
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-05,594.8,594.85,586.4,593.45,594.35,590.0,677112,400328216.25,18651
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-04,576.8,595.75,576.05,590.0,590.4,576.8,1952711,1149116393.25,35793
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-02,580.95,582.15,574.15,576.8,577.1,578.35,44352,25620652.15,1881
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-03-01,568.0,582.35,567.05,578.35,578.95,565.35,1093148,630137378.05,27784
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-02-29,552.75,568.7,544.75,565.35,565.7,548.3,2127506,1186801152.55,41421
Gujarat Gas Limited,INE844O01030,2015-09-15,EQ,GUJGASLTD,2024-02-28,558.35,568.25,545.0,548.3,548.0,558.3,1109298,618664766.2,20114
