StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-28,3291.0,3345.0,3272.0,3327.0,3341.0,3281.05,1385868,4583584342.45,77013
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-27,3317.0,3324.9,3245.0,3281.05,3284.95,3300.8,1503735,4942609746.3,100449
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-26,3193.0,3305.0,3180.0,3300.8,3300.0,3170.8,2573125,8394120058.65,129517
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-22,3114.05,3209.9,3085.0,3170.8,3169.0,3121.35,2086220,6577132501.05,115161
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-21,3024.0,3128.45,3020.0,3121.35,3117.45,2980.5,1962690,6051778505.1,103735
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-20,3074.0,3080.0,2913.6,2980.5,2993.0,3058.9,2975349,8860442942.9,170466
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-19,3111.75,3144.4,3034.35,3058.9,3060.0,3121.95,1666528,5127738085.9,116187
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-18,3138.0,3184.0,3105.4,3121.95,3125.05,3099.1,1967550,6164113622.85,131564
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-15,3164.95,3182.55,3006.0,3099.1,3099.75,3165.95,2864705,8814637327.9,171823
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-14,3053.95,3177.9,3017.05,3165.95,3168.0,3039.5,2329439,7255939844.6,145508
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-13,3250.0,3270.35,3015.75,3039.5,3032.95,3267.55,3448647,10647357539.0,264169
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-12,3375.0,3380.0,3241.1,3267.55,3274.9,3371.45,1421483,4688277233.2,107712
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-11,3365.0,3428.0,3336.0,3371.45,3370.0,3317.3,2519751,8533487683.45,155547
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-07,3262.0,3334.0,3255.05,3317.3,3312.0,3228.2,2251410,7449492711.4,149340
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-06,3238.8,3245.0,3154.3,3228.2,3229.9,3237.0,1292669,4134650371.75,94503
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-05,3229.0,3266.75,3201.0,3237.0,3241.25,3214.95,1502498,4865441687.5,86269
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-04,3157.0,3226.85,3133.0,3214.95,3218.0,3157.15,1892157,6053092431.05,130658
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-02,3165.0,3174.0,3150.0,3157.15,3155.0,3154.3,144935,458144315.6,10943
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-03-01,3099.0,3164.0,3092.0,3154.3,3152.0,3084.05,1516443,4755865609.1,92380
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-29,3084.95,3105.0,3014.1,3084.05,3099.0,3085.2,1382425,4231088196.5,84428
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-28,3114.0,3170.0,3061.25,3085.2,3080.15,3095.5,2725678,8521450092.95,163087
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-27,3044.95,3125.75,3033.25,3095.5,3094.0,3049.75,2050688,6358955899.25,114740
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-26,3045.45,3075.0,3013.7,3049.75,3054.0,3045.5,849178,2596024573.2,58108
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-23,3006.0,3065.5,3006.0,3045.5,3047.0,3005.65,1388116,4223536130.65,82687
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-22,2959.0,3010.0,2940.0,3005.65,3008.0,2948.05,919890,2737909147.75,61395
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-21,2997.95,3025.0,2935.1,2948.05,2952.4,2995.3,1281770,3821057035.95,86422
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-20,3018.8,3018.8,2971.0,2995.3,2998.5,3021.75,979624,2934995740.95,82470
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-19,3099.95,3113.9,3016.85,3021.75,3028.0,3078.8,1615343,4926900447.0,92861
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-16,3044.0,3105.0,3035.2,3078.8,3076.0,3023.2,2732655,8400663406.7,124975
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-15,2990.0,3034.0,2983.15,3023.2,3020.0,2957.1,1788864,5388397912.9,92952
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-14,2887.0,2966.4,2855.3,2957.1,2962.5,2922.6,1112043,3248418473.1,79250
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-13,2861.8,2933.0,2824.85,2922.6,2915.35,2846.05,1805862,5227657596.9,99583
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-12,2975.0,2987.05,2828.0,2846.05,2841.9,2965.35,2890465,8355948112.25,151738
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-09,3127.0,3127.0,2920.0,2965.35,2971.4,3097.2,3176427,9474197095.15,187542
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-08,2963.0,3132.0,2956.05,3097.2,3113.0,2949.75,4475010,13767320047.1,202050
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-07,2964.9,2978.0,2922.0,2949.75,2948.0,2958.45,893201,2633482952.85,56900
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-06,2936.95,2969.0,2907.05,2958.45,2964.9,2932.5,1421958,4176727860.45,62745
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-05,2980.0,3005.0,2912.7,2932.5,2935.0,2970.7,936558,2780686001.6,73028
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-02,3012.0,3047.95,2965.35,2970.7,2975.0,2997.55,1256014,3771251758.8,78460
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-02-01,3020.0,3074.0,2955.15,2997.55,2995.0,2999.4,1920618,5796405162.7,129874
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-31,3015.0,3018.5,2981.85,2999.4,3009.0,3012.55,1074596,3223873738.55,85777
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-30,2991.75,3065.0,2986.05,3012.55,3018.0,2976.95,1853804,5614764102.1,88631
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-29,2910.0,2985.0,2903.9,2976.95,2984.0,2903.8,1213259,3573467979.95,71262
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-25,2940.0,2958.3,2875.0,2903.8,2905.25,2931.45,1309130,3802445038.05,88047
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-24,2889.95,2941.95,2820.0,2931.45,2933.0,2890.5,1330866,3876317283.25,95010
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-23,3007.0,3022.0,2847.25,2890.5,2895.75,3005.35,1628038,4772822706.25,96233
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-20,3038.75,3038.75,2990.55,3005.35,3002.0,3028.15,531714,1601392052.0,36105
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-19,2985.0,3032.0,2982.2,3028.15,3031.0,2967.6,1203346,3623695786.55,66027
Hindustan Aeronautics Limited,INE066F01020,2018-03-28,EQ,HAL,2024-01-18,2957.5,2981.0,2845.7,2967.6,2974.05,2958.3,2066487,6055916561.35,110640
