StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-28,890.1,898.8,870.05,889.8,897.6,887.35,177515,156478891.65,10103
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-27,893.4,897.95,861.0,887.35,893.5,886.45,222126,196310163.3,19557
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-26,880.0,899.0,868.2,886.45,886.0,887.75,236185,209014543.6,14807
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-22,874.7,897.1,860.0,887.75,882.7,867.55,80061,70405638.25,5052
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-21,852.0,887.4,851.15,867.55,861.15,843.15,141703,122843135.3,8131
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-20,833.9,849.4,825.75,843.15,845.2,825.75,47924,40175997.1,4385
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-19,814.0,830.4,813.7,825.75,827.1,815.25,47047,38776249.2,4545
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-18,838.9,838.9,813.2,815.25,817.4,832.0,65976,54066804.3,6838
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-15,826.45,840.0,822.75,832.0,832.0,826.45,71487,59450231.6,5147
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-14,835.65,853.6,815.0,826.45,830.5,835.65,231672,191586708.6,17878
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-13,880.0,894.2,824.0,835.65,838.0,879.8,297265,250227330.3,14219
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-12,894.9,899.9,855.0,879.8,880.0,890.3,135759,118504652.35,10502
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-11,927.95,930.0,888.0,890.3,889.0,928.0,109467,98684426.5,8607
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-07,944.65,944.7,920.05,928.0,927.35,926.95,77529,72016512.3,9594
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-06,943.9,943.9,898.95,926.95,925.0,936.2,111824,102270974.6,10286
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-05,969.0,969.0,933.8,936.2,938.0,963.35,47538,44977732.75,4162
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-04,985.5,992.0,960.6,963.35,964.0,985.5,57228,55709485.0,4339
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-02,990.0,990.0,980.05,985.5,985.0,975.85,13971,13772786.75,1258
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-03-01,953.0,992.0,943.1,975.85,980.0,928.2,232319,226517339.15,13882
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-29,921.25,937.0,914.0,928.2,928.0,923.3,66082,61111475.95,3621
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-28,940.0,945.95,904.25,923.3,924.05,937.95,119125,110416498.95,7852
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-27,954.8,956.0,935.45,937.95,939.0,952.7,42417,39991399.35,3779
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-26,962.0,970.35,950.0,952.7,952.45,957.6,52270,50277996.45,4488
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-23,964.0,969.95,952.0,957.6,959.0,960.95,35824,34332890.2,3906
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-22,950.0,964.8,935.0,960.95,962.9,942.25,68091,64871535.95,4581
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-21,969.0,971.0,940.4,942.25,943.0,962.85,81939,77914207.1,5747
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-20,968.5,974.45,960.05,962.85,962.4,968.25,61902,59766668.85,11624
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-19,982.0,983.7,961.45,968.25,967.95,970.9,69167,67193542.05,7214
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-16,980.0,992.9,958.15,970.9,970.0,965.0,323228,315132168.35,22987
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-15,990.65,998.6,950.0,965.0,960.0,983.0,70425,68737674.15,8189
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-14,940.05,987.95,940.0,983.0,985.0,962.85,56023,54166388.25,5900
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-13,985.0,994.45,942.7,962.85,956.0,993.5,124485,121061242.6,10694
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-12,1019.0,1052.95,974.65,993.5,996.5,1006.5,310644,315260859.75,19393
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-09,1025.0,1025.0,990.15,1006.5,1005.0,1023.15,156007,157024677.55,22867
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-08,1022.0,1035.0,984.1,1023.15,1023.0,1005.1,235053,238716033.75,18510
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-07,970.0,1019.0,970.0,1005.1,1004.0,963.9,199913,200299650.8,15251
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-06,960.0,972.0,930.0,963.9,963.0,958.85,140753,134784171.85,9164
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-05,984.0,992.45,950.0,958.85,960.8,981.05,136964,132120678.7,15021
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-02,985.05,1002.0,975.1,981.05,981.0,980.15,298850,293521482.45,6269
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-02-01,1000.0,1003.95,973.1,980.15,986.0,989.75,80153,79298873.6,10551
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-31,979.0,1018.0,973.85,989.75,994.65,979.15,184423,183610111.8,18470
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-30,959.9,983.0,948.0,979.15,981.3,959.85,131408,127658443.85,12239
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-29,972.0,977.8,950.25,959.85,956.5,969.5,126414,121188856.2,12250
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-25,946.0,973.95,941.75,969.5,970.9,945.95,130720,125916393.3,16718
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-24,932.8,953.45,917.75,945.95,950.0,934.55,279815,261872191.8,12021
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-23,945.05,953.65,928.4,934.55,937.2,941.1,173390,162343633.45,17777
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-20,955.95,957.95,940.2,941.1,941.6,951.3,45350,42915770.3,4839
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-19,969.95,970.9,947.7,951.3,952.2,959.95,114917,109486954.05,9026
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-18,964.0,969.0,936.3,959.95,953.1,963.85,91091,86911261.95,10708
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-17,936.95,990.0,934.5,963.85,960.9,946.6,283378,273050504.35,23615
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-16,951.0,957.0,934.5,946.6,947.05,950.9,110776,105022105.8,11797
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-15,957.05,964.4,945.2,950.9,951.0,954.75,215059,204452422.7,20917
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-12,960.2,974.2,952.0,954.75,954.1,956.6,100166,96356229.6,10509
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-11,967.75,987.0,953.0,956.6,958.0,966.85,136483,132092352.2,15010
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-10,974.7,979.0,956.25,966.85,967.0,977.45,184253,177690007.75,17714
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-09,1002.15,1008.0,975.0,977.45,976.55,1000.15,141132,139133856.9,15664
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-08,1000.45,1005.0,976.4,1000.15,1000.0,1000.5,353820,352580085.35,23551
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-05,1020.0,1029.75,997.1,1000.5,999.0,1015.85,432820,437385430.1,30155
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-04,1021.0,1030.0,1008.0,1015.85,1015.0,1015.85,247094,250954333.7,24206
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-03,1006.0,1024.3,997.55,1015.85,1016.8,1007.05,251757,254691834.7,17778
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-02,1028.0,1032.35,1002.95,1007.05,1006.95,1029.7,234307,237002391.8,15297
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2024-01-01,1029.25,1039.7,1006.95,1029.7,1030.0,1029.25,421088,431599571.2,23395
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2023-12-29,1024.95,1041.3,976.75,1029.25,1030.0,1019.1,845242,862391599.25,46812
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2023-12-28,1016.0,1057.55,1004.0,1019.1,1020.15,1030.8,1884637,1942847199.15,88903
Happy Forgings Limited,INE330T01021,2023-12-27,EQ,HAPPYFORGE,2023-12-27,1000.0,1087.4,961.25,1030.8,1030.1,850.0,14161658,14411316944.15,430089
