StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-28,467.0,467.95,451.0,454.0,453.25,461.4,709828,326353774.85,22530
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-27,456.0,465.55,454.0,461.4,459.0,453.3,1037981,478189137.15,34765
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-26,465.0,469.45,451.1,453.3,453.0,465.0,750641,345508793.95,32851
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-22,455.0,478.55,451.05,465.0,463.75,454.85,1168347,542065337.2,38814
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-21,450.0,462.0,450.0,454.85,454.9,444.45,713666,325317796.1,21583
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-20,451.85,452.9,437.5,444.45,443.75,448.45,792186,353182661.15,26363
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-19,465.0,468.8,446.4,448.45,448.0,462.05,915190,419002701.65,32610
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-18,475.05,483.4,455.8,462.05,464.0,472.55,1595528,747800763.05,70343
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-15,439.0,478.4,428.55,472.55,475.0,438.75,5651645,2624911363.35,106113
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-14,400.05,444.0,378.2,438.75,437.0,401.4,3162062,1325545261.3,115291
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-13,446.0,457.25,391.3,401.4,405.0,441.6,3838599,1595145925.35,151410
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-12,449.9,468.0,432.65,441.6,443.2,448.9,2502859,1127061479.35,104742
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-11,460.0,464.9,422.0,448.9,449.95,466.65,4486777,1988463018.4,180993
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-07,491.15,498.45,465.0,466.65,469.8,488.85,1755020,833221956.55,66990
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-06,509.65,509.7,481.1,488.85,488.0,508.3,1112053,546128599.25,52674
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-05,511.05,515.9,506.05,508.3,507.7,510.5,530221,270656070.5,23917
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-04,520.0,520.8,506.5,510.5,510.95,517.6,579662,296164331.5,23470
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-02,528.0,528.3,515.0,517.6,518.9,525.8,155694,80819309.3,6128
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-03-01,526.05,535.0,522.0,525.8,527.5,520.9,709753,375411176.75,29064
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-29,509.0,529.75,501.55,520.9,528.0,504.1,1548940,794370409.9,45903
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-28,514.95,519.1,491.8,504.1,503.65,513.6,947700,477201334.9,41013
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-27,506.0,517.0,506.0,513.6,513.95,506.2,704788,361840241.2,25460
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-26,515.85,518.4,501.0,506.2,508.0,513.25,764779,388297263.9,32444
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-23,517.7,524.45,511.5,513.25,514.8,515.1,586582,302685138.4,27032
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-22,517.0,522.75,500.5,515.1,517.0,513.3,983462,502498843.15,38295
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-21,532.1,537.6,506.5,513.3,516.0,529.45,1245256,646795220.8,51242
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-20,530.55,538.0,520.0,529.45,531.0,528.35,698971,370932403.1,31092
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-19,540.05,547.25,520.3,528.35,528.3,538.35,1344369,714985328.95,54885
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-16,560.8,560.8,533.0,538.35,535.85,558.15,1069760,583817396.7,42604
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-15,555.0,564.75,552.1,558.15,558.95,551.5,1130365,630298597.8,52795
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-14,512.3,558.0,502.25,551.5,553.15,524.05,2070649,1113672774.95,93267
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-13,538.0,549.5,453.45,524.05,525.95,535.6,3627628,1841386158.25,113109
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-12,595.5,596.4,527.0,535.6,541.0,593.7,3435660,1889638444.6,142280
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-09,597.7,612.0,572.0,593.7,593.0,591.8,2503336,1489948863.05,82117
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-08,562.9,611.0,562.65,591.8,594.85,550.9,4694787,2763853133.75,127675
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-07,539.9,565.0,529.25,550.9,551.6,536.0,3023711,1654199639.8,76814
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-06,523.3,538.0,520.45,536.0,537.35,518.95,1029892,546245766.55,31739
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-05,533.0,533.35,506.05,518.95,525.0,530.75,1135816,593003895.35,45090
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-02,535.3,541.55,524.45,530.75,533.7,530.05,1049074,559245389.7,44487
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-02-01,542.0,544.5,520.15,530.05,532.95,537.25,1957401,1044879344.1,57938
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-31,507.3,540.0,505.5,537.25,539.0,504.05,2438181,1277582654.1,61845
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-30,500.95,512.75,498.0,504.05,508.0,494.95,1325324,670565328.2,40307
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-29,492.4,515.65,482.65,494.95,500.0,488.95,2278099,1150580467.7,64189
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-25,482.0,498.0,482.0,488.95,492.4,480.7,1405835,688842968.15,46528
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-24,456.0,485.1,456.0,480.7,478.8,454.7,1543673,731372424.2,57239
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-23,486.8,498.0,444.0,454.7,458.75,483.0,2109080,1000469953.75,71339
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-20,492.05,493.7,480.05,483.0,483.9,488.35,905454,440223911.7,31666
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-19,484.9,502.0,479.0,488.35,487.0,478.6,3052003,1499199181.05,102009
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-18,461.45,489.1,460.2,478.6,478.85,461.65,2899015,1385815869.5,86437
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-17,449.95,465.75,449.0,461.65,462.55,459.85,1008156,463994327.9,33143
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-16,467.25,474.9,440.85,459.85,459.75,464.3,1466628,677185214.15,55692
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-15,465.7,476.5,460.05,464.3,465.9,461.1,1849169,868134676.45,52431
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-12,460.0,469.85,456.0,461.1,459.5,457.95,1078908,498996754.9,38898
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-11,454.25,470.0,451.0,457.95,455.0,451.35,2380828,1100685283.05,57395
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-10,439.1,453.8,436.0,451.35,451.1,443.5,1377409,613769917.95,56176
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-09,449.6,453.0,441.2,443.5,443.5,445.85,929155,415594745.25,34340
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-08,455.7,458.95,441.1,445.85,445.0,453.85,906989,407412015.25,38133
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-05,458.35,461.1,450.25,453.85,454.25,455.65,1055711,479979556.0,39061
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-04,461.75,467.1,453.0,455.65,455.9,458.8,1449081,665088496.6,52836
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-03,455.5,464.7,455.5,458.8,458.0,452.45,1607462,738547890.5,49779
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-02,438.55,456.0,428.9,452.45,452.0,435.75,1916773,852105017.5,44933
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2024-01-01,437.8,444.0,433.5,435.75,436.5,436.4,979687,430576035.55,36426
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-29,445.55,447.9,433.6,436.4,437.0,445.55,1399264,614498966.55,48215
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-28,455.0,465.95,444.55,445.55,445.5,452.8,1568307,712127645.1,58845
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-27,446.5,455.0,443.1,452.8,453.0,445.8,1595311,718646352.55,41761
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-26,445.25,455.75,440.0,445.8,446.4,443.3,1552398,696858084.7,48077
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-22,444.15,449.9,435.65,443.3,443.0,438.9,1546790,684980031.7,60503
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-21,408.0,455.95,396.55,438.9,444.0,410.0,5354607,2334857288.55,134196
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-20,443.0,452.0,376.05,410.0,411.25,440.3,3156547,1336694247.0,124932
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-19,456.75,456.75,437.0,440.3,441.1,454.5,1797180,796144266.1,58515
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-18,469.25,469.25,450.95,454.5,454.5,467.45,1631714,743492731.85,52298
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-15,459.1,479.5,455.4,467.45,468.85,454.85,2323615,1091378836.8,68591
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-14,468.45,475.3,450.0,454.85,454.0,457.55,2112653,966679366.45,69599
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-13,430.0,462.1,428.0,457.55,462.1,427.6,3422029,1534354694.4,83717
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-12,412.55,432.65,411.0,427.6,429.0,410.25,2570480,1087933739.8,65017
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-11,412.0,414.8,402.45,410.25,411.0,409.5,1374324,562997577.65,52132
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-08,398.2,416.7,398.2,409.5,409.15,394.4,2595110,1061659277.0,56032
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-07,390.45,401.0,385.75,394.4,395.7,390.45,1048520,413486924.2,27467
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-06,394.3,401.5,387.45,390.45,392.0,391.95,1210398,477407696.2,27668
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-05,404.5,407.95,389.05,391.95,393.4,402.3,2410839,961354338.2,53945
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-04,396.9,409.45,388.45,402.3,405.0,383.8,3245459,1296146276.25,54982
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-12-01,364.0,403.75,362.5,383.8,383.0,359.85,5103513,1959964223.6,78919
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-11-30,339.0,365.2,330.1,359.85,363.15,339.9,2573935,901014335.45,39213
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-11-29,347.9,347.9,338.3,339.9,339.0,345.65,745797,256281569.65,21643
HBL Power Systems Limited,INE292B01021,2007-01-04,EQ,HBLPOWER,2023-11-28,348.95,356.35,345.0,345.65,346.7,343.35,1266658,442687101.9,28850
