StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-28,3799.95,3809.75,3744.15,3754.1,3756.9,3795.55,331246,1248214785.45,36182
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-27,3810.6,3837.05,3778.0,3795.55,3797.05,3810.85,152937,580974617.8,21509
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-26,3774.25,3858.0,3747.7,3810.85,3810.0,3773.4,494806,1886856640.1,49945
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-22,3671.25,3819.0,3668.0,3773.4,3780.0,3671.25,843004,3177863427.05,78673
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-21,3630.15,3682.0,3622.05,3671.25,3680.85,3611.4,208790,761930392.15,25524
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-20,3660.0,3695.65,3586.4,3611.4,3603.0,3666.15,232662,842336651.1,30541
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-19,3724.9,3730.0,3646.0,3666.15,3646.0,3741.35,382067,1401754728.05,66991
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-18,3819.95,3824.7,3715.55,3741.35,3748.0,3818.65,528247,1981276401.65,69341
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-15,3750.0,3831.45,3680.0,3818.65,3824.0,3755.05,639465,2421024402.6,48351
HDFC Asset Management Company Limited,INE127D01025,2018-08-06,EQ,HDFCAMC,2024-03-14,3585.05,3779.0,3582.35,3755.05,3741.35,3636.05,310419,1152514783.25,26734
