StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-28,626.35,638.75,626.35,633.35,632.5,626.35,6878964,4353472430.9,126548
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-27,627.5,638.4,624.05,626.35,625.95,626.9,13848953,8709694969.5,114304
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-26,638.85,642.8,625.5,626.9,627.5,623.85,13822598,8747045633.85,193578
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-22,623.9,628.65,616.0,623.85,623.15,622.25,3636733,2267713351.4,78165
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-21,629.0,639.0,620.0,622.25,622.5,626.4,7197320,4529532423.95,109971
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-20,630.0,632.5,619.4,626.4,627.0,632.5,1712459,1072231209.45,46460
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-19,634.0,636.5,623.35,632.5,629.65,634.1,3861068,2438385085.35,100953
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-18,634.95,636.55,628.25,634.1,631.85,632.35,2911589,1843828806.8,86934
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-15,620.0,634.8,611.3,632.35,631.8,622.25,4896049,3079931556.55,96338
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-14,603.0,624.5,598.2,622.25,621.0,610.05,3750622,2302456988.2,147743
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-13,623.25,626.7,604.05,610.05,605.0,621.55,2840155,1743716874.55,89070
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-12,618.25,629.8,615.05,621.55,622.2,620.85,4975736,3094044556.9,146347
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-11,625.0,629.0,618.9,620.85,620.5,621.95,3777242,2354533116.95,95754
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-07,611.55,624.15,611.55,621.95,620.4,613.95,3682063,2280130716.4,102274
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-06,611.25,618.1,604.7,613.95,614.0,607.7,4896598,2993925363.3,118797
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-05,611.8,615.6,603.75,607.7,608.0,610.3,4342310,2644302465.25,121884
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-04,595.0,620.5,587.6,610.3,609.0,592.3,7272987,4423160450.85,124952
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-02,594.45,597.0,591.05,592.3,591.95,589.95,171935,102006285.5,4673
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-03-01,584.9,596.8,583.0,589.95,590.65,582.0,3460443,2043978923.8,89543
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-29,581.0,585.9,575.55,582.0,584.0,580.6,2750947,1596651832.2,82566
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-28,582.0,590.9,578.15,580.6,580.5,581.6,3434747,2011893214.8,86231
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-27,576.05,592.0,572.85,581.6,582.0,576.35,6321068,3692844098.8,149748
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-26,568.75,580.95,567.25,576.35,575.7,580.7,4199991,2421062895.1,89322
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-23,577.2,583.35,575.75,580.7,580.8,574.65,2561028,1487104557.9,66487
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-22,578.0,579.4,567.05,574.65,576.85,577.45,4195869,2398778004.15,154729
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-21,587.95,591.25,574.5,577.45,577.8,587.95,3321288,1940114298.65,64454
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-20,580.2,589.5,576.25,587.95,589.4,585.2,3523966,2058413878.9,92310
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-19,594.3,594.3,584.4,585.2,585.6,592.45,2785107,1635554368.7,61606
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-16,588.5,594.0,583.7,592.45,591.25,585.1,2973324,1753047159.25,71873
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-15,586.85,589.35,582.0,585.1,586.1,585.35,1737411,1018231054.75,77582
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-14,582.4,586.95,578.4,585.35,586.0,589.55,1572158,916360361.85,45393
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-13,577.25,594.0,574.7,589.55,589.1,577.2,5011128,2946533553.0,134391
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-12,584.0,586.5,572.4,577.2,577.4,584.0,2799522,1614566401.55,55428
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-09,591.7,594.15,582.25,584.0,585.0,591.7,2453771,1437463692.4,64214
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-08,605.15,616.05,590.1,591.7,591.5,605.15,7782663,4684847691.1,146436
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-07,597.0,614.0,596.0,605.15,606.0,592.75,7560296,4588279783.2,211360
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-06,564.0,595.05,562.25,592.75,592.2,563.35,15915028,9293144748.1,285408
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-05,578.8,581.95,561.55,563.35,563.3,578.8,3750294,2140319128.5,105988
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-02,589.95,589.95,576.5,578.8,578.9,587.1,3006965,1751244307.8,126194
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-02-01,577.2,591.4,567.2,587.1,586.0,576.6,8911872,5190148404.55,156426
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-31,573.5,578.0,571.3,576.6,576.25,575.0,4068280,2341840334.6,97765
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-30,583.0,583.6,571.55,575.0,574.5,578.55,5895638,3398529108.0,189655
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-29,575.05,584.0,575.05,578.55,578.3,579.0,4399011,2551435032.25,93867
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-25,584.15,586.55,577.3,579.0,578.3,581.65,3725167,2163011568.3,102148
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-24,590.0,591.0,576.7,581.65,583.95,586.15,6144401,3580471535.6,147849
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-23,600.25,613.75,582.8,586.15,585.6,608.0,5994679,3581797732.9,254445
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-20,618.0,619.5,607.35,608.0,609.0,615.9,1194291,730395939.8,63646
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-19,614.5,618.4,609.8,615.9,616.0,607.8,2563065,1577412755.65,117616
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-18,608.0,612.3,600.6,607.8,608.4,606.6,3658639,2223561112.55,132761
HDFC Life Insurance Company Limited,INE795G01014,2017-11-17,EQ,HDFCLIFE,2024-01-17,611.0,618.5,605.1,606.6,607.75,611.25,10183042,6250763041.75,132592
