StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-28,1849.0,1877.0,1835.6,1844.05,1840.1,1842.25,203797,378071971.4,15415
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-27,1901.9,1927.4,1832.0,1842.25,1843.1,1898.85,310320,582359503.95,19650
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-26,1903.25,1935.0,1852.5,1898.85,1895.65,1903.25,548869,1041179710.9,33032
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-22,1929.55,2037.85,1891.15,1903.25,1896.0,1913.4,1909294,3779853716.6,80946
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-21,1821.9,1933.0,1821.9,1913.4,1917.0,1801.35,879569,1673256372.0,47919
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-20,1810.0,1847.9,1771.0,1801.35,1797.0,1808.85,211438,382302661.55,19189
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-19,1850.0,1860.0,1800.45,1808.85,1810.0,1865.15,186961,341023276.6,16419
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-18,1890.05,1925.0,1848.0,1865.15,1849.95,1882.15,356822,674651629.25,25688
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-15,1804.05,1901.0,1785.25,1882.15,1890.0,1813.85,966266,1786883481.15,57588
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-14,1722.4,1857.45,1701.55,1813.85,1806.9,1727.35,821194,1485187028.85,53805
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-13,1804.05,1863.0,1700.0,1727.35,1739.9,1808.85,1179362,2105215860.1,63937
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-12,1665.0,1828.75,1655.0,1808.85,1791.0,1675.85,2503240,4449929829.6,114642
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-11,1706.8,1709.85,1651.5,1675.85,1674.0,1700.7,245216,411574017.55,16911
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-07,1652.45,1721.0,1652.45,1700.7,1694.0,1650.2,348643,592982558.65,24916
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-06,1696.95,1696.95,1626.5,1650.2,1643.95,1698.15,175036,289402288.8,15005
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-05,1687.95,1714.8,1669.0,1698.15,1699.0,1687.5,350891,591132533.7,18322
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-04,1662.0,1729.8,1660.1,1687.5,1689.0,1657.5,531466,905026348.2,36543
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-02,1650.0,1664.0,1646.0,1657.5,1655.0,1644.5,25831,42743608.7,1726
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-03-01,1626.7,1665.0,1626.7,1644.5,1647.9,1618.75,180976,298276303.5,15743
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-29,1624.7,1656.5,1606.95,1618.75,1618.95,1620.45,219041,357004342.3,21640
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-28,1679.0,1679.0,1612.1,1620.45,1626.0,1677.35,192442,316270439.85,15425
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-27,1684.9,1699.95,1665.15,1677.35,1671.3,1683.7,147977,248985704.15,10977
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-26,1734.0,1735.1,1674.0,1683.7,1689.0,1733.1,211769,359272920.45,19876
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-23,1743.7,1754.8,1717.2,1733.1,1732.0,1731.75,299143,518883947.2,19590
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-22,1658.0,1750.0,1658.0,1731.75,1742.0,1625.7,1416075,2438308919.35,76696
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-21,1667.5,1677.95,1611.0,1625.7,1630.0,1661.5,168148,276884631.95,12534
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-20,1688.95,1699.0,1650.0,1661.5,1655.0,1685.2,153854,257999320.3,13027
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-19,1702.3,1714.65,1679.95,1685.2,1681.0,1698.95,157188,265761188.25,10621
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-16,1710.95,1748.65,1685.55,1698.95,1697.7,1694.85,594414,1019730203.45,44367
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-15,1644.9,1723.4,1640.05,1694.85,1697.9,1627.55,281849,474758950.15,23077
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-14,1624.0,1654.1,1605.0,1627.55,1624.5,1631.05,246611,403072610.4,21628
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-13,1720.0,1724.75,1624.75,1631.05,1633.0,1762.1,541385,900490049.2,44356
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-12,1889.0,1918.95,1736.55,1762.1,1761.5,1881.7,264185,482031890.55,25794
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-09,1952.0,1964.6,1850.0,1881.7,1879.0,1944.95,278936,529114266.85,24054
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-08,1957.95,1970.8,1910.1,1944.95,1942.0,1950.9,415917,808255248.05,33314
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-07,1964.0,2011.0,1940.0,1950.9,1951.5,1951.0,730287,1440561830.8,44172
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-06,1852.8,1978.85,1847.7,1951.0,1955.0,1846.6,2176874,4226054363.8,111225
HEG Limited,INE545A01016,1995-05-10,EQ,HEG,2024-02-05,1784.05,1931.9,1776.15,1846.6,1847.7,1784.05,1528849,2879341922.45,83026
