StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-28,4604.0,4750.0,4583.2,4722.3,4730.0,4572.55,1086607,5096155030.85,116294
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-27,4692.0,4698.0,4560.0,4572.55,4575.9,4671.15,693528,3203356477.2,74365
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-26,4684.0,4724.55,4633.55,4671.15,4673.95,4684.0,551123,2572567091.9,59090
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-22,4538.8,4736.35,4517.6,4684.0,4698.15,4519.9,902115,4206036683.1,85775
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-21,4527.8,4545.0,4445.2,4519.9,4520.6,4510.45,633619,2848665053.0,82452
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-20,4542.0,4588.95,4480.0,4510.45,4490.0,4541.75,418716,1899361938.8,51446
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-19,4554.0,4597.6,4509.6,4541.75,4525.25,4554.2,388757,1766431478.75,47465
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-18,4560.5,4582.5,4527.55,4554.2,4541.65,4585.3,232124,1057869064.8,30671
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-15,4655.0,4680.85,4500.65,4585.3,4571.0,4675.3,1278695,5847464439.95,78397
Hero MotoCorp Limited,INE158A01026,2003-04-11,EQ,HEROMOTOCO,2024-03-14,4455.0,4682.15,4455.0,4675.3,4678.0,4512.1,708629,3276826471.95,90978
