StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Hindalco Industries Limited,INE038A01020,1997-01-08,T0,HINDALCO,2024-03-28,563.0,563.0,557.05,560.25,557.05,557.65,2,1120.05,2
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-28,561.0,566.65,555.3,560.25,561.85,557.65,8326754,4659847096.8,120721
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-27,564.2,564.65,556.8,557.65,558.45,558.65,5320703,2978706633.3,118249
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-26,545.65,561.0,545.0,558.65,559.9,547.75,7198061,4000247300.7,91412
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-22,539.7,550.65,537.35,547.75,546.2,539.7,5518261,3010777482.3,97129
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-21,538.4,545.75,534.25,539.7,539.65,527.85,8795679,4754229157.3,124066
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-20,533.0,535.5,516.35,527.85,526.45,533.65,5005234,2623440715.95,86723
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-19,532.0,539.75,529.25,533.65,532.35,531.15,7119131,3805242855.5,109737
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-18,532.0,535.55,527.0,531.15,531.1,532.55,4282437,2275230476.1,86231
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-15,522.0,534.05,517.5,532.55,531.35,525.25,8467660,4467272104.6,112047
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-14,512.0,526.35,507.0,525.25,526.0,507.0,10349338,5376868798.05,190916
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-13,529.35,530.0,501.2,507.0,506.7,528.95,5712435,2923528219.65,107559
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-12,533.1,536.85,525.3,528.95,528.9,533.7,3703670,1961338607.5,71433
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-11,540.0,543.25,532.1,533.7,533.1,536.7,5527908,2970419962.6,106317
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-07,530.8,540.85,529.25,536.7,536.0,526.95,7909060,4238302113.35,149612
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-06,522.05,527.9,513.95,526.95,527.2,522.1,4637732,2419771327.55,80519
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-05,524.0,528.3,520.2,522.1,524.0,524.95,5729926,3005022196.75,89862
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-04,524.0,529.85,520.05,524.95,525.2,522.85,5989974,3149720493.4,117359
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-02,523.0,524.0,518.0,522.85,523.9,519.1,623929,325698695.95,9182
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-03-01,510.0,522.5,510.0,519.1,518.9,503.85,9882296,5111277101.6,115600
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-02-29,506.5,508.0,499.0,503.85,506.5,504.4,16860796,8486792228.65,136976
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-02-28,512.5,514.45,501.75,504.4,502.55,509.65,4406098,2236685370.9,79878
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-02-27,505.5,512.2,504.7,509.65,510.0,505.05,6741206,3419806406.2,130959
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-02-26,519.4,519.75,504.0,505.05,505.55,518.35,7605543,3862491103.85,162638
Hindalco Industries Limited,INE038A01020,1997-01-08,EQ,HINDALCO,2024-02-23,524.7,524.8,517.0,518.35,518.05,521.15,6445580,3350742898.1,119577
