StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-28,287.0,290.45,273.3,278.05,275.95,285.0,14832318,4198695098.4,73665
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-27,283.95,291.7,283.0,285.0,286.6,282.55,20697044,5949815755.55,114393
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-26,268.85,285.75,267.25,282.55,282.0,268.85,20516082,5706635714.1,126549
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-22,273.8,275.25,267.0,268.85,268.9,273.4,11447912,3092974572.4,76042
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-21,262.0,275.0,261.45,273.4,275.0,255.9,12123658,3264281801.3,62886
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-20,261.75,264.9,250.9,255.9,255.0,260.55,7715028,1979291033.55,42718
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-19,270.0,272.85,259.25,260.55,260.05,269.25,5949736,1575470813.3,47924
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-18,271.2,273.9,263.7,269.25,269.0,271.15,7535501,2025502896.7,50581
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-15,262.0,275.6,255.75,271.15,269.6,262.7,39164127,10497609784.6,201226
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-14,242.5,265.55,237.1,262.7,262.8,235.05,23144188,5874472914.25,128495
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-13,256.7,258.8,231.0,235.05,234.75,256.1,12151483,2951554133.85,99545
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-12,269.05,269.1,253.65,256.1,256.3,269.1,7588996,1964020632.9,67168
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-11,281.55,281.55,267.05,269.1,268.2,280.0,4953456,1356147349.5,46612
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-07,282.0,286.0,278.5,280.0,280.25,280.95,4698074,1327139413.95,41180
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-06,283.95,286.5,271.25,280.95,280.9,285.25,7799665,2166844630.3,65981
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-05,284.4,289.3,283.2,285.25,285.2,284.0,6109772,1747287100.95,45132
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-04,284.5,290.0,281.6,284.0,284.35,281.6,11993501,3430401200.1,76808
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-02,274.0,285.0,274.0,281.6,284.75,272.1,3319762,927852630.05,23425
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-03-01,271.9,274.95,267.6,272.1,271.5,269.8,7848874,2135965660.35,53711
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-29,254.0,271.9,251.05,269.8,270.3,253.95,23977798,6361292847.75,133028
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-28,254.4,260.9,252.6,253.95,253.5,253.0,10882873,2799372062.45,64201
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-27,261.85,264.4,251.6,253.0,253.05,262.45,9683917,2484400100.1,58115
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-26,263.6,267.8,257.25,262.45,262.55,263.05,5453854,1434792631.55,36140
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-23,265.15,266.15,260.3,263.05,263.85,263.1,4675158,1230039193.9,33337
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-22,249.0,264.8,247.0,263.1,264.5,246.0,15152414,3913336090.35,86152
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-21,251.0,262.2,243.6,246.0,248.0,250.1,8668831,2196883444.95,63689
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-20,255.0,257.7,249.2,250.1,250.0,255.05,3757137,949657731.7,32968
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-19,258.65,263.8,254.2,255.05,255.0,258.3,4400815,1141326256.3,37553
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-16,258.2,263.9,256.6,258.3,258.6,256.4,3579879,930990859.7,34480
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-15,264.5,264.5,252.2,256.4,257.85,259.45,6757137,1749784831.5,57053
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-14,239.1,263.3,237.7,259.45,260.1,250.8,18172415,4598021172.4,107436
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-13,240.75,252.55,237.0,250.8,251.75,240.95,14133581,3459353810.35,85215
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-12,272.5,274.05,234.0,240.95,238.8,270.15,12588330,3202719110.7,96639
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-09,289.6,289.95,264.1,270.15,270.25,289.55,12221359,3336044345.0,97822
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-08,297.0,297.75,286.65,289.55,289.0,295.95,4610174,1349983960.5,37687
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-07,301.1,306.3,294.55,295.95,297.0,298.05,5534031,1660604932.15,42156
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-06,295.55,300.2,289.1,298.05,298.05,293.4,6043988,1790665796.95,47056
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-05,302.25,304.85,287.05,293.4,294.0,301.1,9518730,2848421743.2,69829
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-02,294.5,306.85,289.1,301.1,298.65,292.35,20196955,6032168472.05,114785
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-02-01,290.65,293.7,280.95,292.35,291.6,289.05,8338469,2403523842.15,53793
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-31,285.9,295.5,285.0,289.05,289.8,285.6,8872673,2583009299.1,57009
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-30,285.0,292.75,284.35,285.6,285.95,283.55,13178452,3809699374.4,79698
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-29,284.6,288.5,274.35,283.55,285.0,281.95,14765969,4170074702.3,83816
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-25,275.45,285.5,271.5,281.95,281.9,273.65,19879601,5570796423.5,114462
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-24,258.75,275.0,257.35,273.65,272.85,258.7,15640330,4228596843.0,85838
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-23,273.0,273.0,255.6,258.7,259.4,270.25,14571045,3859838511.95,82220
Hindustan Copper Limited,INE531E01026,2010-09-15,EQ,HINDCOPPER,2024-01-20,266.6,273.5,263.7,270.25,270.9,264.85,9852393,2657369656.95,55063
