StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-28,293.7,296.15,290.1,292.3,292.25,293.7,452622,132969536.6,12799
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-27,294.25,297.8,293.0,293.7,293.7,294.9,465415,137409877.15,16604
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-26,297.85,298.95,294.3,294.9,295.25,296.0,455958,134996850.1,14293
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-22,294.0,297.95,293.2,296.0,296.15,293.9,563796,167019214.8,16047
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-21,292.0,296.45,292.0,293.9,293.55,291.7,367193,108186075.25,11158
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-20,294.95,295.3,290.8,291.7,291.0,293.4,331332,96891681.75,14649
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-19,294.95,295.9,291.5,293.4,293.3,295.45,366865,107481600.1,14916
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-18,289.4,296.5,289.4,295.45,295.0,289.4,685732,201888431.6,18331
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-15,304.0,304.0,284.6,289.4,288.8,304.2,3154634,921530767.8,80002
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-14,301.8,306.7,298.0,304.2,304.0,301.8,520707,158166159.35,21961
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-13,308.45,308.7,300.0,301.8,301.85,308.45,560411,169803044.45,23470
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-12,309.7,309.7,305.55,308.45,307.95,308.4,301099,92528596.25,11382
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-11,310.95,312.8,308.05,308.4,308.8,310.95,240075,74320420.75,9008
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-07,308.6,312.8,308.05,310.95,311.5,307.55,310481,96494194.75,9214
Hindustan Zinc Limited,INE267A01025,2006-11-21,BL,HINDZINC,2024-03-07,307.55,307.55,307.55,307.55,307.55,277.05,327175,100622671.25,1
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-06,307.0,308.95,306.05,307.55,307.5,308.15,268163,82409194.45,11568
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-05,312.5,313.4,307.0,308.15,309.3,312.2,418677,129481341.75,15243
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-04,313.0,314.95,310.75,312.2,312.45,312.6,421726,131810232.45,14125
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-02,309.5,313.0,308.05,312.6,313.0,308.75,106339,33134716.25,2788
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-03-01,307.95,313.4,307.15,308.75,308.1,306.45,331401,102854784.2,13596
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-29,308.9,308.9,306.0,306.45,306.5,309.0,283041,86867699.4,10953
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-28,310.5,311.35,307.55,309.0,308.9,309.65,312859,96687177.4,13259
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-27,310.0,310.5,308.3,309.65,309.7,310.25,262548,81193747.55,15076
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-26,310.65,313.95,308.7,310.25,310.0,310.65,349742,108915533.0,12335
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-23,310.2,311.45,309.65,310.65,310.5,310.25,193107,59978351.6,7343
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-22,310.0,311.0,307.95,310.25,310.4,309.1,193163,59826870.4,7261
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-21,310.95,312.9,308.4,309.1,309.4,311.1,280526,87036495.3,12564
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-20,311.0,313.0,310.5,311.1,311.5,311.1,194595,60645009.15,7507
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-19,313.3,314.9,310.5,311.1,311.3,313.15,278687,87189143.7,10716
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-16,315.0,316.45,312.5,313.15,313.0,314.9,225066,70666797.0,9190
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-15,318.0,318.0,310.0,314.9,314.05,310.25,398989,125293917.4,13542
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-14,306.0,311.0,305.7,310.25,310.05,308.4,228976,70828223.8,10579
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-13,308.3,310.9,305.0,308.4,308.0,308.3,331920,102362890.65,13452
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-12,313.95,316.4,306.4,308.3,307.0,312.6,439066,136655415.4,15661
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-09,314.35,314.75,310.5,312.6,312.6,314.35,290538,90727201.45,10857
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-08,317.0,317.2,313.0,314.35,314.55,315.9,403828,127072907.4,13795
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-07,317.0,318.75,315.0,315.9,315.65,315.9,430490,136233729.0,10534
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-06,315.5,318.7,313.5,315.9,315.75,315.5,433851,136996391.6,11873
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-05,318.2,319.75,314.5,315.5,314.95,318.2,802078,253422449.2,19902
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-02,318.9,321.45,316.5,318.2,318.25,317.25,707719,225784497.4,16630
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-02-01,320.0,321.0,316.0,317.25,316.8,317.25,504653,160539883.1,12424
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-31,318.6,319.6,316.05,317.25,317.3,318.05,491387,155899214.9,19006
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-30,314.1,319.5,313.0,318.05,318.05,314.0,733697,233038751.05,13325
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-29,314.0,315.0,311.55,314.0,313.7,313.2,366623,115084518.0,11139
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-25,311.5,314.35,311.0,313.2,313.5,311.25,331791,103749412.05,11880
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-24,310.0,312.0,308.0,311.25,311.8,310.7,420648,130389577.75,16519
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-23,316.45,317.0,307.7,310.7,311.6,315.15,613374,190945573.75,28943
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-20,315.15,317.65,314.5,315.15,315.0,315.15,409637,129326600.85,11389
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-19,314.05,323.5,313.05,315.15,314.0,312.05,1814063,576496259.0,45465
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-18,315.0,315.45,304.4,312.05,313.25,315.9,890971,276574708.6,37120
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-17,318.9,318.9,314.0,315.9,316.0,320.6,765447,241678283.85,32619
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-16,322.0,323.95,317.3,320.6,320.95,321.75,939904,301699303.45,26899
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-15,316.0,325.45,316.0,321.75,322.1,316.4,1709160,550144587.8,27574
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-12,317.0,318.9,315.95,316.4,316.65,317.3,310597,98512142.4,10597
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-11,318.45,318.95,316.5,317.3,317.8,317.25,319079,101307770.4,9534
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-10,313.0,319.15,311.0,317.25,316.35,313.8,417359,131269292.15,12325
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-09,316.85,317.85,312.5,313.8,314.0,315.45,371112,116883050.0,10860
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-08,318.0,318.3,314.7,315.45,315.0,318.5,451664,142639758.1,19514
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-05,318.0,320.0,315.7,318.5,318.2,318.25,524841,166887392.65,13808
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-04,318.05,319.9,317.9,318.25,318.0,318.8,447976,142807109.2,11691
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-03,320.1,322.0,318.1,318.8,318.75,317.3,787990,251606655.4,14600
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-02,318.35,319.2,312.7,317.3,316.5,318.35,566897,179195077.3,13761
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2024-01-01,318.05,320.8,316.85,318.35,318.0,318.05,579455,184706973.55,15837
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-29,313.7,322.05,313.7,318.05,317.8,312.6,1519854,482895896.05,29911
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-28,312.1,317.5,311.0,312.6,313.2,311.95,1639625,515444520.0,36779
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-27,312.0,313.25,310.35,311.95,311.5,311.7,306296,95571731.55,11248
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-26,311.05,312.9,310.0,311.7,311.5,309.9,311187,96985817.95,11395
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-22,305.05,312.0,305.05,309.9,310.0,306.5,480182,148803866.7,15887
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-21,304.0,307.55,302.7,306.5,306.8,306.9,472198,144403135.05,16345
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-20,312.1,314.0,305.75,306.9,307.5,311.95,681204,211384112.35,19948
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-19,314.2,314.9,310.5,311.95,311.6,315.3,541553,169216120.85,22334
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-18,316.0,316.35,311.05,315.3,315.05,316.35,401872,126637770.55,11035
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-15,320.0,320.0,314.5,316.35,316.3,319.1,778336,245786067.05,20583
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-14,325.1,325.1,318.0,319.1,319.75,325.5,846426,270382660.45,17133
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-13,324.9,326.0,323.6,325.5,325.9,324.9,879874,285893918.45,20058
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-12,325.25,326.75,324.2,324.9,324.9,325.35,453205,147501957.8,10068
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-11,324.0,326.8,323.55,325.35,326.4,322.65,565522,183639874.2,12312
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-08,324.15,325.9,320.2,322.65,322.8,324.15,676456,218443829.25,17445
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-07,327.0,327.6,323.0,324.15,324.2,325.65,861934,279439537.5,18095
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-06,329.45,332.0,325.0,325.65,325.65,325.0,2934514,960912926.6,41480
Hindustan Zinc Limited,INE267A01025,2006-11-21,EQ,HINDZINC,2023-12-05,320.95,327.0,320.0,325.0,325.75,317.9,1829812,593332535.4,25728
