StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-28,37844.85,38948.95,37674.05,38687.25,38750.0,37840.5,3448,132544348.25,1717
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-27,37301.0,38109.55,37301.0,37840.5,37630.5,37543.35,5168,194970729.65,2061
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-26,37490.95,38267.05,37101.25,37543.35,37333.0,37396.8,11526,432781076.85,1742
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-22,37025.0,37449.95,36617.75,37396.8,37440.0,37051.65,2599,96238558.6,1154
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-21,37800.0,37807.0,36801.15,37051.65,37100.0,37495.1,2842,105886209.55,1277
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-20,37833.9,38087.85,37269.0,37495.1,37276.2,38041.2,2707,102105877.8,1278
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-19,38185.7,38299.9,37660.4,38041.2,38100.0,38185.7,3565,135514936.5,1110
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-18,38241.0,38400.05,37140.2,38185.7,38175.0,38241.0,3792,143622618.3,1891
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-15,36700.0,39050.0,36330.25,38241.0,37850.0,36790.25,10358,385996016.4,4911
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-14,36442.6,36879.9,36321.45,36790.25,36850.0,36442.6,1877,68700786.7,881
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-13,37106.0,37399.65,36271.0,36442.6,36557.0,37086.3,2945,107884477.65,1485
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-12,37319.0,37587.65,37000.0,37086.3,37089.95,37289.9,6098,227124292.65,721
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-11,37570.75,37985.7,37200.2,37289.9,37200.2,37935.7,6567,247750675.4,942
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-07,37629.0,38001.0,37400.0,37935.7,38001.0,37629.0,2240,84438112.15,1192
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-06,37921.3,37994.05,37080.2,37629.0,37800.0,38000.4,2533,95099495.75,1277
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-05,38454.05,38506.4,37819.25,38000.4,37994.0,38454.05,8398,319920868.45,1580
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-04,38195.95,38900.1,37711.05,38454.05,38500.0,37961.25,7064,270936999.6,3205
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-02,37801.05,38399.95,37801.05,37961.25,38090.0,38179.8,145,5520515.85,103
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-03-01,37950.0,38230.3,37801.45,38179.8,38180.0,37930.65,7003,267269222.1,1030
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-29,37830.0,38099.95,37499.15,37930.65,37950.0,37961.95,3843,145689822.05,1092
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-28,38367.1,38642.4,37802.0,37961.95,37937.0,38367.1,2859,109256771.2,1489
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-27,38118.45,38500.0,37800.0,38367.1,38408.5,38118.45,2767,105613019.3,1189
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-26,38249.0,38358.0,38000.6,38118.45,38100.0,38187.95,3990,152362827.5,1129
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-23,37558.0,38300.05,37387.65,38187.95,38225.0,37512.1,3164,120138517.0,1509
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-22,37797.95,37797.95,37107.0,37512.1,37512.9,37512.9,2890,108286930.3,1079
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-21,37300.0,37790.0,37021.15,37512.9,37550.0,37114.55,7623,285882975.65,2063
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-20,38319.0,38319.0,36866.1,37114.55,37080.0,37964.7,7950,295426262.5,2819
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-19,38374.2,38568.5,37780.6,37964.7,37871.3,38374.15,5655,215033895.25,1618
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-16,38331.0,38749.9,38111.05,38374.15,38320.0,38264.55,1445,55463373.6,1033
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-15,38111.0,38500.0,37545.4,38264.55,38500.0,38000.55,2139,81253165.75,1201
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-14,37725.0,38100.0,37332.65,38000.55,38096.0,37649.25,3252,122909849.75,1805
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-13,37978.7,38177.45,37500.2,37649.25,37505.0,37822.7,4469,168588244.6,2484
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-12,38535.45,38867.9,37600.0,37822.7,37700.0,38535.45,2911,110931150.7,1530
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-09,39100.0,40165.9,38305.0,38535.45,38422.0,38644.4,18832,738286378.8,8610
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-08,38552.0,38849.8,37825.1,38644.4,38700.0,38383.9,8796,338921966.05,3528
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-07,38495.0,38646.3,38080.0,38383.9,38398.6,38417.45,4946,189931053.8,2308
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-06,38443.95,38715.0,38200.0,38417.45,38200.0,38349.0,2599,99888828.0,1390
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-05,38877.0,39100.0,38000.0,38349.0,38000.0,38807.0,2418,93634541.55,1396
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-02,38754.0,39159.7,38561.55,38807.0,38800.0,38704.6,4199,163032415.2,1355
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-02-01,38800.0,38800.0,38265.0,38704.6,38650.0,38687.5,8349,321142059.1,1686
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-31,38800.0,38921.0,38499.05,38687.5,38749.95,38726.65,2831,109641544.8,1999
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-30,38600.0,38800.0,38300.2,38726.65,38800.0,38572.25,10810,417835732.6,2161
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-29,38900.0,38964.05,38275.45,38572.25,38550.5,38697.35,2706,104369887.3,1381
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-25,38650.0,39008.55,38600.0,38697.35,38699.5,38657.5,11726,454221166.65,8230
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-24,37850.0,38787.6,37580.15,38657.5,38650.0,37847.3,10361,397060350.2,5324
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-23,37510.0,37987.0,37510.0,37847.3,37680.0,37506.6,14501,547107250.6,4520
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-20,37310.0,37621.0,37301.0,37506.6,37505.0,37516.55,1539,57658628.8,769
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-19,37500.0,37600.0,37201.0,37516.55,37550.0,37407.3,14359,537122695.7,2614
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-18,37105.0,37534.5,36600.0,37407.3,37399.9,37261.35,11779,439243255.3,3630
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-17,37045.0,37290.0,36835.75,37261.35,37279.1,37240.1,4492,167026897.05,1913
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-16,37199.0,37708.0,37063.0,37240.1,37290.0,37034.45,8648,323826229.25,3389
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-15,36887.9,37222.25,36596.35,37034.45,36800.0,36733.55,16864,623805918.95,2366
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-12,36925.8,37048.75,36650.1,36733.55,36700.0,36825.75,2173,80018706.85,1231
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-11,36965.0,37367.65,36704.1,36825.75,36850.0,36815.4,3431,126406778.8,1458
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-10,37810.95,37887.7,36750.0,36815.4,36849.0,37810.95,4254,157760843.25,2517
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-09,37500.0,37887.05,37011.15,37810.95,37779.95,37340.95,17315,650795304.7,4078
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-08,36999.0,37425.15,36660.0,37340.95,37401.0,36855.2,5104,189564426.05,2270
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-05,37049.9,37049.9,36509.0,36855.2,36877.9,36681.65,2568,94496371.05,1564
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-04,36925.0,36925.0,36500.05,36681.65,36650.0,36716.3,2088,76552387.55,1128
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-03,37008.3,37008.3,36500.5,36716.3,36590.0,37008.3,2547,93646091.95,1161
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-02,37725.0,37725.0,36900.0,37008.3,36998.0,37490.0,3823,141748663.15,2121
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2024-01-01,37070.0,37750.0,36780.2,37490.0,37360.0,36847.0,6084,227397227.6,3148
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-29,36931.8,37048.9,36390.1,36847.0,36846.45,36931.8,8767,322261043.25,3770
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-28,35539.0,37150.0,35483.05,36931.8,36880.0,35323.4,16287,594660719.75,7405
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-27,35800.0,35824.75,35261.0,35323.4,35398.0,35735.95,6107,216677850.6,3290
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-26,35299.35,35871.45,35150.4,35735.95,35750.0,35109.35,6141,218822915.55,2283
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-22,35400.0,35466.0,35025.0,35109.35,35140.0,35166.35,12352,433975402.55,2638
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-21,35446.0,35700.8,34977.7,35166.35,35200.0,35476.45,9448,332046897.5,4142
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-20,35544.0,36100.0,35200.0,35476.45,35600.0,35344.65,17651,630576893.05,3913
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-19,35793.0,36200.0,35282.5,35344.65,35500.0,35693.8,20335,723768615.5,6445
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-18,35499.95,36180.05,35451.0,35693.8,35700.0,35367.45,7863,281130700.4,3051
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-15,35800.0,35996.0,35290.0,35367.45,35321.0,35626.45,13113,466925783.2,4332
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-14,36199.0,36239.9,35550.0,35626.45,35650.0,35926.0,6890,246750234.4,3955
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-13,36101.0,36191.45,35500.0,35926.0,35949.0,35983.15,6964,248730178.6,2230
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-12,36260.0,36452.45,35945.0,35983.15,35999.5,36252.45,8012,289283679.15,2301
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-11,36600.0,36600.0,36150.05,36252.45,36250.1,36266.9,3226,117143124.35,1535
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-08,36749.0,36749.0,35990.0,36266.9,36299.95,36542.35,4412,159867339.2,2195
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-07,36205.0,36600.0,36200.05,36542.35,36500.05,36226.05,5507,200980216.5,1108
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-06,36650.0,36650.0,36162.75,36226.05,36200.0,36419.65,5049,183430430.15,1567
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-05,36666.0,36758.9,36370.0,36419.65,36400.05,36614.8,3138,114640692.5,1545
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-04,37250.0,37300.0,36523.55,36614.8,36621.0,36679.7,2757,101295902.0,1550
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-12-01,36653.45,37010.95,36605.0,36679.7,36700.0,36653.45,2549,93628607.25,1420
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-30,36700.0,36837.7,36465.05,36653.45,36600.0,36644.8,1726,63206845.0,1043
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-29,36858.85,36858.85,36511.0,36644.8,36615.0,36660.15,1088,39892155.3,762
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-28,37045.0,37045.0,36600.0,36660.15,36600.1,36762.9,1540,56540788.65,891
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-24,36800.0,37045.8,36460.0,36762.9,36780.3,36758.5,2511,92140744.15,1496
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-23,36998.0,36998.0,36607.55,36758.5,36715.0,36778.85,874,32157974.6,601
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-22,36914.1,36949.95,36441.95,36778.85,36799.95,36877.9,9956,366901731.75,1503
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-21,37247.95,37279.55,36712.5,36877.9,36766.0,36929.55,5204,192099879.7,1379
Honeywell Automation India Limited,INE671A01010,2003-07-18,EQ,HONAUT,2023-11-20,37214.55,37451.0,36867.05,36929.55,36870.0,37214.55,1497,55576308.15,1018
