StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N7,HUDCO,2024-03-28,1050.0,1068.99,1050.0,1067.99,1067.99,1054.25,42,44591.73,5
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N8,HUDCO,2024-03-28,1137.0,1137.0,1130.0,1130.0,1130.0,1140.0,880,996390.1,14
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N5,HUDCO,2024-03-28,1076.0,1076.1,1076.0,1076.1,1076.1,1078.7,1445,1554960.0,3
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N2,HUDCO,2024-03-28,1082.0,1082.46,1075.0,1081.58,1082.0,1080.0,8605,9272309.8,45
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,ND,HUDCO,2024-03-28,1175.0,1175.0,1165.0,1165.0,1165.0,1170.0,218,254920.0,4
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,NE,HUDCO,2024-03-28,1285.0,1309.99,1285.0,1301.0,1301.0,1304.0,159,206680.99,8
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,EQ,HUDCO,2024-03-28,188.5,193.55,186.3,187.25,186.9,186.95,9626885,1831126824.2,43989
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N9,HUDCO,2024-03-27,1145.55,1145.55,1143.11,1144.51,1143.5,1143.51,905,1036165.6,9
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,EQ,HUDCO,2024-03-27,185.4,190.5,184.65,186.95,186.7,184.15,10128325,1902452261.95,47487
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N8,HUDCO,2024-03-27,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,27,30780.0,1
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,NE,HUDCO,2024-03-27,1295.0,1308.0,1295.0,1304.0,1304.0,1299.65,812,1054219.0,13
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N2,HUDCO,2024-03-26,1084.04,1084.04,1080.0,1080.0,1080.0,1089.96,90,97349.48,4
Housing & Urban Development Corporation Limited,INE031A01017,2017-05-19,N8,HUDCO,2024-03-26,1130.0,1140.0,1130.0,1140.0,1140.0,1129.9,332,378160.0,4
