StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-28,1085.0,1105.05,1085.0,1093.3,1096.05,1083.75,22070566,24234485223.65,369595
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-27,1083.7,1092.5,1079.55,1083.75,1085.0,1083.7,26907245,29202142587.1,318363
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-26,1081.0,1089.15,1076.95,1083.7,1083.4,1090.3,13367635,14480333014.75,213520
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-22,1081.15,1093.7,1078.7,1090.3,1089.5,1081.8,17214415,18762240505.05,258317
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-21,1092.0,1100.0,1079.15,1081.8,1081.5,1084.5,19992607,21719605114.85,252414
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-20,1080.0,1090.0,1067.5,1084.5,1087.0,1083.95,18725251,20246525010.95,365151
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-19,1078.45,1088.75,1075.25,1083.95,1081.45,1081.2,16708715,18088899237.65,367746
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-18,1075.05,1084.8,1060.05,1081.2,1082.1,1080.35,8769440,9441285942.75,253537
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-15,1072.0,1086.25,1070.0,1080.35,1073.9,1083.6,66192734,71499718294.1,347312
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-14,1080.0,1097.1,1075.05,1083.6,1084.35,1083.95,14231421,15455740913.55,259807
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-13,1077.15,1089.65,1073.15,1083.95,1082.0,1076.85,24855870,26953204669.15,361717
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-12,1077.05,1094.8,1055.65,1076.85,1075.05,1078.7,21785435,23482625405.85,304992
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-11,1087.95,1087.95,1076.75,1078.7,1077.5,1087.95,13310362,14389279964.5,250456
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-07,1094.95,1095.0,1082.7,1087.95,1086.5,1097.1,9963926,10843732033.05,262108
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-06,1080.3,1113.55,1080.3,1097.1,1099.0,1088.05,21796484,24011191501.45,364582
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-05,1086.2,1099.5,1076.5,1088.05,1087.85,1092.35,9222544,10048890642.95,258890
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-04,1081.0,1095.0,1080.1,1092.35,1090.9,1084.65,11424581,12453254625.85,251185
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-02,1087.25,1089.45,1080.5,1084.65,1083.9,1086.9,481475,522100593.2,14375
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-03-01,1055.0,1089.95,1054.0,1086.9,1085.0,1052.2,14909562,16093696257.8,315463
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-29,1043.05,1060.7,1038.5,1052.2,1054.95,1046.2,20944844,22022802548.35,343777
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-28,1063.0,1064.85,1042.15,1046.2,1046.6,1060.2,7730332,8126074219.15,175450
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-27,1050.75,1066.2,1046.5,1060.2,1061.5,1054.2,10580973,11185895021.2,203486
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-26,1053.1,1062.3,1050.5,1054.2,1053.75,1061.3,7875941,8313978243.65,187011
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-23,1070.0,1070.0,1057.65,1061.3,1061.25,1062.7,13142759,13982766720.4,217544
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-22,1056.0,1066.0,1040.3,1062.7,1061.55,1051.95,13432573,14165481752.55,289172
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-21,1056.8,1064.0,1048.0,1051.95,1049.35,1048.75,15946325,16839758063.3,285074
ICICI Bank Limited,INE090A01021,1997-09-17,EQ,ICICIBANK,2024-02-20,1041.05,1052.65,1033.25,1048.75,1049.75,1043.75,11293528,11819391718.9,251413
