StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-28,1652.55,1693.0,1652.55,1684.5,1683.0,1662.65,687954,1158106248.95,36184
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-27,1660.0,1669.9,1651.05,1662.65,1657.75,1648.25,209280,347779705.0,22400
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-26,1669.85,1671.0,1622.0,1648.25,1649.25,1669.85,1816648,2974461481.4,50088
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-22,1674.7,1681.4,1657.0,1669.85,1665.65,1673.05,363547,606903697.35,28992
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-21,1650.0,1677.05,1636.15,1673.05,1675.0,1640.4,382800,636216492.55,28511
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-20,1653.45,1665.75,1621.05,1640.4,1641.0,1657.0,404017,662406869.15,19053
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-19,1660.0,1667.95,1643.2,1657.0,1655.0,1656.35,661062,1095501467.2,48113
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-18,1646.0,1662.4,1643.7,1656.35,1658.95,1651.35,1258890,2080818909.85,42766
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-15,1633.05,1688.75,1633.05,1651.35,1650.0,1661.9,484001,799528604.6,43055
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-14,1631.95,1665.55,1611.0,1661.9,1664.9,1643.25,482962,800964291.55,35989
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-13,1669.8,1678.8,1636.05,1643.25,1645.9,1661.1,1712838,2818689495.8,52573
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-12,1654.35,1694.4,1629.2,1661.1,1661.0,1654.35,1272822,2108672601.3,88580
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-11,1666.15,1699.0,1645.1,1654.35,1649.75,1666.15,589504,984270566.55,40475
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-07,1645.1,1670.0,1639.35,1666.15,1663.75,1655.8,907857,1504567690.65,34159
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-06,1653.9,1670.65,1633.05,1655.8,1654.15,1652.45,850658,1405012668.45,45614
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-05,1650.05,1660.0,1642.0,1652.45,1659.8,1650.1,665170,1098166384.3,36708
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-04,1651.95,1654.9,1625.1,1650.1,1650.0,1652.4,861437,1414758008.85,30404
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-02,1657.8,1664.0,1643.0,1652.4,1657.0,1643.85,20205,33464976.85,1539
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-03-01,1724.4,1724.4,1635.05,1643.85,1648.95,1711.75,1532835,2568986504.8,83263
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-02-29,1720.0,1724.45,1670.8,1711.75,1720.0,1724.45,3109844,5310678587.75,109319
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-02-28,1726.0,1734.9,1688.45,1724.45,1725.0,1726.75,2135960,3669766742.7,48818
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-02-27,1665.1,1734.0,1657.25,1726.75,1728.0,1650.55,3828778,6581000768.4,142665
ICICI Lombard General Insurance Company Limited,INE765G01017,2017-09-27,EQ,ICICIGI,2024-02-26,1640.0,1665.0,1630.05,1650.55,1649.7,1639.25,347806,574946622.1,25956
