StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-28,13.3,13.55,13.15,13.25,13.3,13.3,261797107,3502731067.55,140406
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-27,13.3,13.6,13.25,13.3,13.3,13.3,244147174,3282922472.8,156103
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-26,13.4,13.5,13.15,13.3,13.3,13.3,277730489,3697854767.55,165052
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-22,12.8,13.6,12.75,13.3,13.45,12.8,468500920,6222201904.65,148291
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-21,12.85,13.05,12.75,12.8,12.8,12.75,156394003,2014629861.15,104526
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-20,12.8,12.9,12.4,12.75,12.7,12.85,273287247,3459796956.5,133235
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-19,13.1,13.35,12.75,12.85,12.75,13.15,241083537,3138517539.1,108238
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-18,13.25,13.35,13.0,13.15,13.15,13.15,186892003,2462217637.6,90217
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-15,13.15,13.3,12.75,13.15,13.15,13.1,315084932,4099881311.9,116551
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-14,12.4,13.25,12.25,13.1,13.2,12.4,424512161,5471324210.85,199648
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-13,13.7,13.85,11.75,12.4,12.4,13.7,641919311,8229862492.75,236319
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-12,13.8,13.9,13.45,13.7,13.65,13.75,308460037,4218487767.8,148477
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-11,14.3,14.35,13.65,13.75,13.75,14.25,198993553,2779578177.25,156407
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-07,14.15,14.45,14.1,14.25,14.25,14.1,179243860,2555775191.65,134270
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-06,14.35,14.4,13.8,14.1,14.15,14.35,380743524,5356854334.9,204947
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-05,14.25,14.75,14.2,14.35,14.35,14.2,342317617,4930552340.05,225976
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-04,14.6,14.7,14.1,14.2,14.25,14.55,276443611,3941507799.6,156957
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-02,14.4,14.65,14.3,14.55,14.6,14.2,50170391,728167870.45,50219
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-03-01,13.9,14.65,13.6,14.2,14.25,13.65,696930662,9851715544.95,278870
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-29,13.65,14.05,13.4,13.65,13.7,13.65,794570550,10896174838.85,379960
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-28,15.5,16.05,13.5,13.65,13.65,15.85,1588323107,22959660279.85,658651
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-27,17.05,17.15,15.65,15.85,16.1,16.85,737336815,12099076678.5,315978
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-26,17.75,18.1,16.75,16.85,16.85,17.55,643618097,11160101454.7,328831
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-23,16.7,18.4,16.7,17.55,17.55,16.3,1783686268,31557929380.25,619720
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-22,15.5,16.4,15.05,16.3,16.35,15.35,439602456,6960883863.35,210597
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-21,16.15,16.3,15.2,15.35,15.35,15.95,345491167,5430387359.15,163713
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-20,16.05,16.45,15.85,15.95,15.95,16.0,276625199,4467495520.35,174294
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-19,15.95,16.35,15.85,16.0,16.05,15.9,228340831,3670973830.0,191690
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-16,16.0,16.6,15.8,15.9,15.85,15.95,357636454,5782644936.25,220606
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-15,15.65,16.3,15.55,15.95,15.95,15.55,392901140,6269865102.2,252694
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-14,14.5,15.75,14.4,15.55,15.5,14.7,511365442,7862280152.4,180849
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-13,14.55,14.9,14.1,14.7,14.7,14.45,334247397,4851656991.8,109724
Vodafone Idea Limited,INE669E01016,2007-03-09,EQ,IDEA,2024-02-12,15.65,15.7,14.3,14.45,14.45,15.5,407165198,6094225717.55,145795
