StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-28,76.3,76.3,75.05,75.4,75.5,77.8,190831894,14434226212.0,179000
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-27,77.85,78.8,77.25,77.8,77.9,77.7,56133743,4376665205.3,108768
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-26,78.05,78.85,77.6,77.7,77.75,78.05,30845542,2412434183.8,70848
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-22,78.0,78.95,77.75,78.05,78.0,77.9,22341514,1748403942.2,64725
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-21,77.0,78.05,77.0,77.9,77.9,76.35,17142982,1330987873.95,53436
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-20,77.2,77.4,75.9,76.35,76.3,76.65,30072164,2300822580.05,91979
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-19,77.7,78.4,76.35,76.65,76.6,77.95,19836484,1530984928.7,91476
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-18,78.75,79.4,77.65,77.95,78.1,78.7,26373762,2063995460.85,87815
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-15,78.1,79.3,77.2,78.7,78.7,78.45,23691683,1854811690.15,66853
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-14,76.8,78.8,76.1,78.45,78.65,77.5,30981907,2412734424.6,88686
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-13,79.6,80.0,77.0,77.5,77.25,79.5,43314356,3384018898.7,131711
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-12,80.45,81.2,79.2,79.5,79.35,80.5,28235190,2256312188.75,99759
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-11,81.1,81.35,80.0,80.5,80.45,80.8,29349863,2365171640.95,89061
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-07,81.95,82.2,80.65,80.8,80.8,81.8,19532765,1588229985.15,64770
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-06,81.4,82.1,80.1,81.8,81.85,81.55,43084290,3492870331.5,121610
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-05,82.0,82.5,81.15,81.55,81.65,82.1,18904629,1546044789.45,50818
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-04,82.55,82.85,81.45,82.1,81.9,82.55,29402794,2410536971.45,82883
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-02,82.7,82.8,82.5,82.55,82.65,82.2,2582048,213337300.65,13179
IDFC First Bank Limited,INE092T01019,2015-11-06,EQ,IDFCFIRSTB,2024-03-01,81.35,82.85,80.85,82.2,82.2,81.05,32043837,2619498313.75,90793
