StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-28,429.75,432.95,425.35,430.8,431.0,425.45,2933803,1262332882.35,41235
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-27,422.6,428.35,419.4,425.45,425.25,418.55,2203732,935638593.2,30008
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-26,412.1,420.4,410.0,418.55,418.45,412.75,1309285,543960587.65,18891
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-22,413.0,416.45,407.25,412.75,412.0,412.75,1812773,747487343.7,29274
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-21,405.5,413.75,402.1,412.75,412.85,403.25,2357340,959896370.95,38825
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-20,406.0,406.0,397.15,403.25,402.1,406.1,1432359,575379595.85,38965
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-19,410.0,410.05,400.55,406.1,404.7,409.95,1620850,656028156.85,34375
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-18,411.0,413.8,405.6,409.95,408.5,412.55,1199492,491689784.05,25382
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-15,410.9,414.0,404.0,412.55,410.55,410.9,2072597,847797409.7,38270
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-14,407.5,415.7,401.2,410.9,411.1,407.55,1662621,681558437.45,29497
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-13,427.15,429.0,403.4,407.55,406.25,426.15,2492998,1032813467.4,58146
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-12,427.0,437.95,423.05,426.15,425.0,423.85,3536408,1516282131.35,64091
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-11,431.4,431.4,421.5,423.85,424.0,430.1,1268390,538856150.05,41665
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-07,420.0,432.85,411.2,430.1,429.3,430.1,4024815,1711645160.85,61026
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-06,458.4,458.4,424.3,430.1,430.35,458.55,10074990,4356261835.3,132049
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-05,450.0,460.0,447.25,458.55,458.1,446.6,3644177,1657843161.7,48989
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-04,437.4,455.3,436.2,446.6,446.9,435.05,2564924,1149664273.15,44280
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-02,435.0,437.6,432.05,435.05,435.0,433.75,93603,40702933.65,2594
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-03-01,427.7,435.0,425.35,433.75,433.0,426.0,1205258,518495697.35,40305
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-29,417.9,428.85,412.1,426.0,425.0,415.85,1779119,750152640.8,35118
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-28,422.0,426.35,414.2,415.85,415.0,422.1,1195280,500305186.6,38365
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-27,430.65,432.9,420.2,422.1,421.7,430.85,1075337,458869606.3,36649
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-26,437.0,438.65,430.0,430.85,430.4,437.8,3040318,1322024088.0,27312
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-23,444.2,444.65,436.35,437.8,437.15,441.3,1214124,536107870.15,33768
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-22,438.5,443.45,433.65,441.3,442.15,437.85,1214129,534519990.6,21797
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-21,440.0,443.0,433.9,437.85,436.75,439.9,1829764,802696734.1,40573
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-20,440.5,442.7,433.35,439.9,439.2,439.7,1008187,441739479.85,30777
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-19,441.7,444.0,437.85,439.7,439.6,439.9,1056171,466448576.8,19641
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-16,446.8,446.8,438.2,439.9,439.25,444.7,1229031,541724063.75,54813
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-15,436.9,451.9,436.35,444.7,445.1,436.9,2022907,899627715.85,38152
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-14,433.9,438.4,426.7,436.9,436.05,434.9,755442,326886552.95,17613
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-13,427.55,435.8,422.4,434.9,435.1,427.1,1647603,710394975.15,32189
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-12,440.95,441.5,425.4,427.1,427.55,439.95,1243496,538087950.85,24555
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-09,440.0,442.8,426.4,439.95,440.4,439.9,1417071,615475277.25,26874
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-08,453.05,458.4,439.1,439.9,440.5,449.3,2187859,978444976.45,35064
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-07,459.0,459.0,448.55,449.3,449.15,453.85,2102940,948935885.45,30172
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-06,444.0,455.55,442.0,453.85,455.4,439.95,2720975,1224968113.9,42669
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-05,449.0,452.5,438.3,439.95,441.0,445.15,2983394,1334429658.3,60996
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-02,439.25,447.5,439.25,445.15,445.35,439.25,2200538,978870656.65,71077
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-02-01,433.0,441.9,431.4,439.25,439.05,430.4,3232716,1417699188.85,59487
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-31,426.05,432.8,424.35,430.4,430.25,425.6,1591977,685096791.8,28963
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-30,426.9,431.7,418.3,425.6,424.95,419.1,3803274,1617318219.35,54278
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-29,409.9,421.5,404.4,419.1,418.0,405.15,3879117,1614821760.75,51396
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-25,436.0,439.7,403.25,405.15,403.7,434.9,8389973,3499014304.6,100326
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-24,435.0,441.5,429.15,434.9,433.45,435.85,1917668,835942867.45,44408
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-23,444.2,447.8,434.0,435.85,434.1,443.7,2978033,1315035456.5,64998
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-20,448.95,449.85,441.5,443.7,441.55,446.2,981125,436400952.8,15280
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-19,444.2,447.8,439.15,446.2,445.4,438.0,2803294,1243646887.65,33650
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-18,432.85,439.55,423.1,438.0,438.05,432.85,2413445,1044456396.15,32888
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-17,427.0,436.55,424.15,432.85,433.0,433.8,2594250,1121706241.7,45591
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-16,434.85,434.85,427.4,433.8,434.0,432.8,2838638,1225199145.35,51878
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-15,430.45,434.5,425.7,432.8,432.35,427.8,2026831,875226445.35,38043
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-12,425.15,430.4,421.4,427.8,428.0,425.15,2826991,1205948990.45,24713
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-11,419.05,426.5,415.7,425.15,425.45,417.8,2816509,1182087081.75,48663
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-10,420.0,421.8,408.4,417.8,417.6,429.0,4117379,1707302176.75,55725
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-09,426.35,432.0,424.1,429.0,429.45,425.35,1682370,722874828.45,26785
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-08,432.9,432.9,423.55,425.35,424.55,430.85,1756300,749145498.2,41418
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-05,427.0,434.5,426.0,430.85,430.9,424.4,3389229,1460088170.6,54178
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-04,422.2,428.0,421.1,424.4,425.45,422.2,1417133,602789892.15,31294
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-03,423.3,426.95,421.0,422.2,421.8,425.9,1643005,696142246.05,30407
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-02,421.0,427.7,416.05,425.9,425.2,421.25,2717197,1151332670.15,44268
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2024-01-01,420.4,426.05,419.0,421.25,421.7,418.35,2097206,886637415.1,44650
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-29,413.9,420.9,410.0,418.35,418.0,413.85,3057199,1275660364.85,52840
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-28,411.0,415.8,410.05,413.85,413.5,410.75,2138964,885442167.65,31095
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-27,413.5,413.7,408.45,410.75,410.3,411.85,2049985,843351322.0,40307
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-26,408.65,413.45,408.15,411.85,412.0,408.05,1976711,813760878.05,32087
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-22,404.95,409.3,402.6,408.05,408.0,402.55,1823456,740610524.5,23738
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-21,395.45,404.2,393.15,402.55,402.6,398.35,1281903,513897930.3,19095
Indraprastha Gas Limited,INE203G01027,2003-12-26,EQ,IGL,2023-12-20,409.0,414.7,396.45,398.35,398.65,407.35,4901645,1997710779.5,64554
