StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-28,2700.0,2700.0,2612.9,2645.45,2652.0,2683.65,229253,605219957.85,21788
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-27,2720.0,2730.0,2673.05,2683.65,2677.05,2688.4,148532,400934281.8,20874
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-26,2660.0,2705.0,2653.3,2688.4,2691.3,2674.55,124680,335670279.25,12903
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-22,2694.9,2694.9,2641.05,2674.55,2670.15,2678.65,94930,253358869.55,10255
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-21,2596.15,2689.6,2596.15,2678.65,2685.0,2585.3,129319,343260481.8,10932
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-20,2596.0,2618.15,2549.35,2585.3,2574.7,2597.0,61682,159233917.7,11956
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-19,2600.1,2619.9,2581.0,2597.0,2605.35,2613.55,84886,220879802.05,14230
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-18,2629.0,2635.3,2575.5,2613.55,2624.8,2627.8,78876,205594406.7,16977
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-15,2612.0,2661.8,2599.25,2627.8,2629.9,2615.1,139841,368612022.2,22983
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-14,2504.95,2628.85,2475.0,2615.1,2621.0,2516.9,105587,272188366.5,18714
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-13,2640.05,2678.6,2504.0,2516.9,2519.0,2614.65,177595,459381179.85,27493
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-12,2580.0,2689.4,2568.75,2614.65,2620.0,2547.3,1028833,2715609634.95,102185
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-11,2604.5,2619.9,2534.7,2547.3,2545.0,2609.25,87135,224102660.25,19818
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-07,2600.0,2639.8,2584.1,2609.25,2604.5,2580.8,72178,188530997.65,14780
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-06,2634.9,2635.65,2564.2,2580.8,2573.15,2639.8,110023,284941650.65,26332
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-05,2624.65,2659.7,2608.45,2639.8,2640.0,2624.65,89344,236008270.75,18420
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-04,2675.0,2675.0,2621.05,2624.65,2625.0,2657.75,99694,263449169.7,14902
Indiamart Intermesh Limited,INE933S01016,2019-07-04,EQ,INDIAMART,2024-03-02,2640.0,2675.0,2626.0,2657.75,2651.3,2656.4,5415,14384899.95,747
