StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-28,3546.0,3573.8,3516.0,3548.65,3540.3,3546.65,1102586,3906937398.7,66886
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-27,3514.95,3561.55,3471.6,3546.65,3536.0,3492.05,1246756,4393859272.15,77721
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-26,3324.0,3507.95,3302.35,3492.05,3482.2,3286.8,2463948,8466133891.2,159203
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-22,3300.0,3327.05,3266.8,3286.8,3286.5,3290.15,681688,2243946792.85,40134
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-21,3258.45,3297.4,3245.0,3290.15,3291.0,3213.65,727852,2386341518.8,55953
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-20,3234.05,3260.0,3180.9,3213.65,3215.0,3233.0,1147219,3701491600.95,101634
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-19,3260.0,3342.0,3223.05,3233.0,3232.0,3249.2,3389294,11128891941.3,159129
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-18,3200.0,3255.75,3160.0,3249.2,3250.0,3203.1,890781,2874365548.15,58823
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-15,3176.6,3215.9,3135.0,3203.1,3173.95,3176.6,2268294,7233899628.35,103580
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-14,3110.0,3187.25,3079.35,3176.6,3172.25,3112.55,1379775,4360135523.5,77024
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-13,3242.0,3258.5,3090.1,3112.55,3106.0,3242.95,2053050,6444427368.7,144666
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-12,3220.95,3317.0,3197.4,3242.95,3253.95,3218.55,3251109,10611952892.15,160410
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-11,3033.05,3262.0,3020.0,3218.55,3215.1,3105.7,9136024,28472553189.4,221695
InterGlobe Aviation Limited,INE646L01027,2015-11-10,BL,INDIGO,2024-03-07,3069.8,3069.8,3069.8,3069.8,3069.8,1766.1,57049,175129020.2,1
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-07,3083.0,3126.7,3081.0,3105.7,3100.0,3069.8,340788,1059496735.15,33448
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-06,3196.9,3196.9,3026.0,3069.8,3075.7,3186.4,1168268,3651131386.85,68209
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-05,3171.15,3215.0,3152.15,3186.4,3194.0,3171.1,341136,1086780092.75,30254
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-04,3174.0,3202.8,3153.3,3171.1,3171.4,3159.8,484126,1534219506.95,29576
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-02,3160.0,3174.8,3127.65,3159.8,3159.05,3157.35,15485,48986200.8,1448
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-03-01,3155.4,3171.75,3130.3,3157.35,3156.4,3155.35,210443,662865237.7,19965
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-29,3134.4,3169.5,3079.0,3155.35,3146.5,3125.9,3097349,9757694679.25,70746
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-28,3190.0,3202.05,3098.05,3125.9,3101.85,3183.0,506498,1603154570.15,46392
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-27,3190.0,3198.75,3153.05,3183.0,3174.0,3184.05,460969,1464235606.2,36458
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-26,3198.0,3201.95,3135.25,3184.05,3185.0,3179.0,417096,1320816712.2,42055
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-23,3142.0,3215.35,3136.1,3179.0,3182.0,3128.3,873751,2777113026.8,61363
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-22,3110.0,3134.15,3082.65,3128.3,3134.0,3095.65,397181,1234862509.75,31590
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-21,3135.0,3135.0,3083.0,3095.65,3092.65,3114.9,481341,1496222037.15,42325
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-20,3080.0,3136.35,3053.9,3114.9,3115.0,3068.05,745295,2317084544.65,70063
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-19,3062.0,3088.5,3040.25,3068.05,3064.0,3045.3,547439,1680747552.4,34576
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-16,3064.8,3064.8,3010.5,3045.3,3042.0,3028.85,727944,2208021357.3,58075
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-15,3128.7,3128.7,3021.25,3028.85,3033.25,3094.3,544154,1663738287.2,46007
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-14,3049.9,3099.55,3011.7,3094.3,3097.0,3041.45,347614,1065788377.05,34914
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-13,3050.0,3073.8,3006.05,3041.45,3047.0,3063.0,414063,1258898832.85,45151
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-12,3123.0,3130.55,3052.8,3063.0,3060.0,3105.95,410580,1265780977.9,35212
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-09,3130.0,3157.5,2984.2,3105.95,3093.95,3132.4,1667210,5145058190.9,121576
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-08,3140.0,3168.55,3115.0,3132.4,3125.2,3114.55,762163,2394731282.95,74269
InterGlobe Aviation Limited,INE646L01027,2015-11-10,EQ,INDIGO,2024-02-07,3169.0,3189.0,3106.5,3114.55,3118.0,3137.85,636345,2000193480.1,57786
