StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-28,1283.95,1285.8,1250.0,1256.6,1254.95,1273.0,84061,106472275.25,11155
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-27,1294.95,1303.95,1265.0,1273.0,1290.0,1284.35,67111,85974390.9,9714
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-26,1301.5,1319.95,1274.0,1284.35,1282.0,1321.2,84991,110141133.6,12946
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-22,1329.8,1329.95,1316.55,1321.2,1319.0,1317.8,30041,39752309.7,4472
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-21,1340.0,1350.0,1315.0,1317.8,1318.8,1325.25,40252,53376712.6,6603
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-20,1337.1,1337.5,1317.0,1325.25,1327.9,1337.1,25539,33848839.15,4367
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-19,1337.2,1340.0,1330.0,1337.1,1337.2,1337.2,40707,54390973.55,4487
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-18,1341.05,1353.1,1328.0,1337.2,1337.0,1341.45,31182,41672596.4,6436
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-15,1344.95,1360.95,1329.45,1341.45,1344.0,1329.0,38234,51501978.55,5626
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-14,1308.65,1352.4,1308.65,1329.0,1328.0,1308.65,78961,105607210.55,15931
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-13,1337.2,1367.0,1303.05,1308.65,1310.5,1337.2,83612,109830436.95,14624
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-12,1367.9,1374.7,1325.05,1337.2,1338.7,1367.85,57336,76922419.35,12955
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-11,1384.45,1390.8,1363.0,1367.85,1368.0,1363.55,49564,68033423.15,10005
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-07,1398.0,1398.95,1360.0,1363.55,1362.0,1374.2,40087,54767334.6,4968
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-06,1399.0,1399.0,1351.1,1374.2,1377.0,1388.45,39854,54505677.0,7001
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-05,1388.25,1400.0,1371.0,1388.45,1396.8,1386.35,49567,68622468.7,8450
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-04,1408.15,1412.75,1384.0,1386.35,1384.0,1408.15,42466,59058779.9,8043
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-02,1414.0,1415.05,1400.0,1408.15,1411.0,1400.95,5496,7741325.85,901
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-03-01,1412.75,1418.0,1398.0,1400.95,1398.3,1398.85,23234,32647468.2,3519
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-29,1409.95,1410.0,1385.7,1398.85,1400.0,1403.4,45571,63570418.75,6856
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-28,1420.0,1423.6,1399.3,1403.4,1405.0,1423.4,31426,44246306.95,5016
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-27,1427.05,1433.55,1412.05,1423.4,1421.0,1427.8,40636,57762987.7,5657
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-26,1448.0,1449.85,1423.05,1427.8,1429.0,1443.5,48528,69355936.5,6009
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-23,1455.0,1478.45,1434.6,1443.5,1445.8,1451.05,99562,144918383.25,10990
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-22,1487.0,1488.9,1446.05,1451.05,1451.0,1492.05,98408,143709333.3,14285
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-21,1505.0,1515.95,1475.5,1492.05,1490.1,1503.5,66167,98985755.35,9274
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-20,1521.0,1521.0,1492.25,1503.5,1503.0,1511.8,48951,73586592.3,6424
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-19,1517.0,1517.0,1495.1,1511.8,1512.85,1494.7,59787,90146604.05,7776
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-16,1507.1,1530.95,1490.2,1494.7,1495.0,1499.6,96816,146037315.35,10910
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-15,1465.7,1540.0,1462.35,1499.6,1500.0,1458.4,254037,382217141.65,29314
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-14,1450.0,1470.9,1450.0,1458.4,1458.5,1474.4,37786,55177173.05,5635
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-13,1461.85,1497.0,1445.3,1474.4,1472.65,1449.4,168399,248561433.0,20247
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-12,1470.0,1505.5,1440.0,1449.4,1447.0,1423.3,525618,774310928.75,46930
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-09,1442.3,1514.95,1404.9,1423.3,1420.0,1442.3,465737,675058001.75,50410
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-08,1436.5,1530.0,1431.75,1442.3,1445.0,1436.45,175243,254935216.8,21257
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-07,1415.0,1444.9,1410.0,1436.45,1440.0,1407.05,86518,123785141.6,11470
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-06,1410.05,1426.0,1405.0,1407.05,1407.0,1413.15,43027,60811674.9,8224
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-05,1424.85,1433.9,1409.0,1413.15,1412.05,1418.9,41877,59340900.8,7905
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-02,1422.15,1445.75,1406.0,1418.9,1421.0,1421.6,57055,80949215.15,7979
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-02-01,1449.95,1460.0,1418.0,1421.6,1419.0,1443.45,45712,65362037.85,9195
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-31,1446.0,1453.15,1430.0,1443.45,1448.0,1448.15,37688,54259895.8,6800
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-30,1484.95,1484.95,1440.05,1448.15,1446.95,1465.4,32219,46790613.6,5132
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-29,1450.0,1478.8,1447.0,1465.4,1470.0,1450.0,49453,72440404.7,7138
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-25,1438.2,1458.0,1435.05,1450.0,1458.0,1431.1,30736,44458621.2,5583
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-24,1416.0,1439.35,1401.15,1431.1,1437.0,1416.0,42831,60515193.8,9075
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-23,1460.0,1460.0,1412.0,1416.0,1423.0,1460.5,88754,126634433.3,13562
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-20,1457.25,1491.55,1450.0,1460.5,1474.0,1469.25,55287,81197939.75,7028
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-19,1484.45,1540.0,1402.0,1469.25,1433.0,1483.25,147614,221970201.55,17533
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-18,1485.8,1499.95,1444.75,1483.25,1484.3,1482.35,54607,80646694.35,10451
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-17,1495.0,1511.2,1479.05,1482.35,1485.0,1500.8,77428,115545678.25,12055
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-16,1513.0,1527.95,1474.0,1500.8,1495.0,1505.45,849651,1258215753.55,22155
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-15,1485.85,1523.05,1485.85,1505.45,1508.9,1484.55,117834,177496332.2,15807
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-12,1469.95,1501.0,1459.15,1484.55,1482.5,1471.5,233050,344278750.25,11465
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-11,1481.0,1486.7,1465.0,1471.5,1472.0,1480.65,35372,52062537.1,6490
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-10,1480.0,1490.0,1467.85,1480.65,1490.0,1490.1,40793,60190099.85,8452
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-09,1504.95,1504.95,1481.0,1490.1,1486.5,1484.9,46735,69600598.8,7848
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-08,1498.95,1507.95,1477.05,1484.9,1487.5,1498.75,35273,52539734.6,6089
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-05,1499.0,1502.0,1488.05,1498.75,1498.0,1494.8,46966,70318383.05,8485
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-04,1490.95,1501.95,1488.55,1494.8,1498.7,1490.35,80404,120476154.1,12537
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-03,1470.0,1495.0,1470.0,1490.35,1492.15,1482.15,55620,82524536.35,7398
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-02,1498.9,1500.25,1476.8,1482.15,1486.5,1493.2,43154,64036632.2,5340
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2024-01-01,1499.0,1504.95,1488.0,1493.2,1492.0,1490.5,32780,48982649.6,5519
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-29,1496.95,1497.3,1477.0,1490.5,1491.0,1487.25,32831,48842780.95,5117
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-28,1500.65,1505.0,1477.0,1487.25,1481.25,1498.4,38777,57771108.2,7450
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-27,1468.55,1504.45,1464.2,1498.4,1497.05,1468.55,96798,143603429.25,13082
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-26,1474.6,1478.3,1462.0,1468.55,1470.0,1465.6,26861,39402135.05,4706
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-22,1454.8,1474.6,1452.95,1465.6,1457.0,1443.9,20243,29658654.6,4277
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-21,1438.95,1460.95,1425.65,1443.9,1446.05,1441.15,42371,61243186.55,7900
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-20,1475.0,1494.6,1428.0,1441.15,1439.0,1479.95,195683,288398193.25,17017
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-19,1485.0,1485.0,1470.0,1479.95,1480.0,1483.05,32657,48190729.95,5629
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-18,1487.4,1487.4,1472.95,1483.05,1485.0,1478.9,40150,59402130.0,6558
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-15,1477.9,1489.95,1463.0,1478.9,1470.1,1464.6,136333,201207315.15,8382
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-14,1473.0,1476.95,1462.0,1464.6,1463.0,1465.45,41826,61327881.5,5684
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-13,1486.0,1486.0,1456.1,1465.45,1466.95,1469.3,39173,57413206.55,6108
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-12,1474.95,1490.0,1461.2,1469.3,1464.1,1472.65,44804,66111407.2,6820
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-11,1494.0,1495.95,1470.0,1472.65,1474.0,1489.0,77374,114190039.15,9727
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-08,1496.05,1503.0,1472.75,1489.0,1483.0,1491.2,228383,337450448.4,10644
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-07,1499.9,1504.45,1485.9,1491.2,1493.9,1495.15,65858,98447402.2,8022
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-06,1529.45,1533.1,1488.0,1495.15,1492.2,1514.3,87890,131738443.55,19958
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-05,1524.8,1558.85,1510.05,1514.3,1525.0,1516.1,74086,113464105.2,10781
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-04,1518.65,1539.25,1497.05,1516.1,1515.0,1497.75,87726,133483050.85,12244
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-12-01,1498.0,1506.35,1485.25,1497.75,1498.8,1488.65,40269,60242194.05,7659
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-30,1489.9,1500.0,1480.3,1488.65,1486.5,1486.75,30402,45294307.15,6181
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-29,1513.8,1513.8,1478.05,1486.75,1485.25,1499.4,37925,56518360.3,5997
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-28,1494.75,1504.0,1480.05,1499.4,1496.1,1482.5,43361,64708899.05,7759
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-24,1474.35,1488.0,1468.1,1482.5,1482.0,1472.25,26578,39262638.85,4454
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-23,1474.4,1494.0,1464.05,1472.25,1470.0,1474.4,52994,78158233.5,7816
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-22,1510.0,1523.4,1471.0,1474.4,1475.75,1505.05,75730,112254740.2,11224
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-21,1537.0,1550.0,1497.4,1505.05,1508.9,1537.05,83499,126083044.15,12966
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-20,1552.8,1560.85,1513.0,1537.05,1540.0,1539.65,97161,149324971.6,12034
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-17,1485.0,1576.3,1481.0,1539.65,1540.0,1474.5,538637,832293641.55,42001
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-16,1490.0,1490.0,1471.2,1474.5,1472.0,1479.75,52111,77032580.45,5621
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-15,1524.75,1525.0,1470.0,1479.75,1477.0,1516.85,156971,233722917.15,14654
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-13,1517.55,1528.0,1500.45,1516.85,1514.3,1530.4,58102,88061256.85,6971
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-12,1538.0,1539.0,1525.0,1530.4,1528.0,1502.95,31594,48404695.5,3884
Indigo Paints Limited,INE09VQ01012,2021-02-02,EQ,INDIGOPNTS,2023-11-10,1473.0,1564.0,1471.9,1502.95,1505.0,1467.95,320347,486548187.0,27834
