StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-28,531.95,552.7,509.0,521.6,518.8,530.1,1117813,585868356.9,30540
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-27,510.0,530.1,505.0,530.1,530.1,504.9,1177785,617412525.1,14800
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-26,484.5,504.9,470.15,504.9,504.9,480.9,631206,309344008.9,15242
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-22,472.0,492.0,468.0,480.9,486.8,468.6,1125124,547821812.2,10014
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-21,452.45,468.6,452.45,468.6,468.6,446.3,185415,86505821.45,1716
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-20,458.9,468.35,440.3,446.3,441.8,456.1,357620,161836666.5,12010
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-19,461.05,472.9,451.0,456.1,454.9,466.45,387874,179545135.0,13428
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-18,471.35,474.0,445.35,466.45,464.1,468.75,833593,378991512.7,26673
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-15,457.0,474.0,451.6,468.75,463.0,451.9,3169542,1477631354.95,26131
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-14,433.3,461.0,428.25,451.9,454.0,450.75,1988421,881992648.55,35416
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-13,463.0,479.45,450.75,450.75,450.75,474.45,1892859,857374335.25,16363
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-12,498.0,518.3,472.7,474.45,472.7,497.55,1608356,777171828.75,29889
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-11,523.7,532.3,497.55,497.55,497.55,523.7,1390571,694815874.0,17506
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-07,475.0,523.7,475.0,523.7,523.7,498.8,3367272,1676684915.25,39153
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-06,498.8,498.8,498.8,498.8,498.8,525.05,140358,70010570.4,3596
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-05,525.05,525.05,525.05,525.05,525.05,552.65,391782,205705139.1,2841
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-04,552.65,556.9,552.65,552.65,552.65,581.7,1365375,754672272.25,4919
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-02,596.65,604.0,578.0,581.7,580.0,585.0,121732,71446678.05,3200
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-03-01,610.05,622.2,575.1,585.0,587.65,602.8,609712,361796979.9,16979
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-29,603.75,615.0,578.3,602.8,612.0,603.75,2201413,1315961731.7,33055
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-28,628.0,629.65,596.45,603.75,599.4,627.85,961800,583378815.35,28412
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-27,633.9,648.0,621.1,627.85,626.0,630.8,995773,632474036.7,29652
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-26,615.85,642.0,602.1,630.8,634.9,611.55,1020764,639691499.4,27600
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-23,604.05,621.8,601.15,611.55,610.0,592.2,1180826,730611353.6,18566
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-22,602.0,607.0,571.3,592.2,590.0,597.95,765548,452049482.65,23014
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-21,627.0,634.0,592.35,597.95,601.65,623.5,1173857,708916409.55,23093
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-20,636.05,643.45,603.35,623.5,627.0,629.45,1289889,802750108.9,33671
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-19,596.0,644.65,595.2,629.45,635.2,590.95,2561799,1595672860.0,47880
Inox Wind Limited,INE066P01011,2015-04-09,EQ,INOXWIND,2024-02-16,580.0,602.05,578.0,590.95,593.0,574.35,3032378,1793278052.8,48008
