StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-28,1131.0,1145.9,1090.0,1096.8,1094.0,1127.75,359382,401065476.9,18939
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-27,1101.05,1138.0,1083.25,1127.75,1126.0,1100.7,652121,727778627.95,38750
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-26,1097.0,1134.0,1083.0,1100.7,1099.0,1097.45,778843,860043807.9,32756
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-22,1078.25,1105.0,1060.35,1097.45,1102.0,1093.95,782042,846587365.8,35022
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-21,1025.8,1108.0,1025.0,1093.95,1098.0,1013.2,2039864,2207711192.2,69550
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-20,1052.5,1060.0,1005.8,1013.2,1017.05,1052.65,704773,722327911.6,43813
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-19,1103.7,1108.05,1035.95,1052.65,1040.0,1099.25,692736,746620385.45,32452
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-18,1120.0,1143.35,1089.0,1099.25,1096.2,1119.25,595325,667607905.7,33423
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-15,1179.6,1199.0,1101.0,1119.25,1110.0,1173.1,814800,936560297.4,37292
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-14,1132.0,1182.95,1102.25,1173.1,1179.6,1129.75,1673455,1923214920.5,74138
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-13,1120.05,1195.0,1055.3,1129.75,1143.8,1117.9,5162918,5975931927.25,182826
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-12,1094.0,1130.0,1094.0,1117.9,1115.8,1092.05,969808,1083062057.45,53325
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-11,1090.9,1126.55,1085.6,1092.05,1092.0,1090.45,470241,521019940.15,33217
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-07,1077.6,1107.0,1077.0,1090.45,1092.0,1075.45,356458,390176217.45,17682
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-06,1099.0,1104.3,1065.05,1075.45,1082.3,1089.75,522179,564976078.7,32592
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-05,1113.0,1115.3,1084.0,1089.75,1101.0,1112.7,337669,369825808.5,22327
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-04,1097.5,1134.6,1096.0,1112.7,1121.65,1097.55,699227,781342846.35,33241
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-02,1121.0,1133.1,1088.0,1097.55,1092.0,1115.0,98463,109103481.85,4054
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-03-01,1117.8,1130.0,1078.0,1115.0,1114.0,1106.05,933421,1033708059.15,38866
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-29,1058.8,1119.0,1055.05,1106.05,1118.0,1061.45,2751707,3019096582.15,106317
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-28,1061.0,1084.0,1052.7,1061.45,1068.0,1058.7,1371046,1458461384.5,59795
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-27,981.95,1081.2,980.65,1058.7,1068.05,983.2,5241913,5530188884.0,162583
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-26,958.0,995.0,952.85,983.2,983.45,952.8,928743,910435221.65,47680
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-23,901.0,960.0,900.3,952.8,960.0,893.7,1583060,1492297245.3,75366
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-22,908.75,911.0,884.75,893.7,894.3,902.1,240512,215433342.25,21027
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-21,906.0,916.3,895.0,902.1,902.0,899.85,177858,160833569.65,11053
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-20,915.0,919.5,893.55,899.85,903.0,908.85,165471,149753373.9,11667
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-19,936.0,946.7,902.0,908.85,917.0,931.5,298599,276413865.95,17133
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-16,914.4,937.8,908.25,931.5,931.95,905.3,234512,217344777.05,16672
Intellect Design Arena Limited,INE306R01017,2014-12-18,EQ,INTELLECT,2024-02-15,930.9,942.75,898.0,905.3,907.5,922.85,348548,318824563.35,22765
