StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-28,1205.4,1245.0,1202.35,1237.4,1241.1,1205.3,668011,822723509.65,43639
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-27,1205.0,1220.95,1185.0,1205.3,1187.6,1200.9,383672,463262360.25,33913
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-26,1186.0,1219.0,1186.0,1200.9,1200.6,1196.05,484695,585611110.35,30473
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-22,1176.4,1209.15,1170.2,1196.05,1194.6,1174.15,748972,896384431.95,44394
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-21,1172.0,1178.8,1140.8,1174.15,1177.6,1160.95,309808,360233252.85,27551
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-20,1140.6,1167.95,1129.15,1160.95,1156.85,1144.15,241592,278448388.75,18619
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-19,1161.05,1165.05,1135.75,1144.15,1138.05,1165.05,191008,219066970.9,17635
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-18,1168.55,1180.85,1153.0,1165.05,1168.0,1165.6,254407,296787261.85,16790
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-15,1183.2,1194.9,1143.9,1165.6,1165.25,1183.2,231007,269677471.0,23441
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-14,1147.95,1216.1,1145.1,1183.2,1181.45,1133.25,1341365,1577616250.65,79825
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-13,1168.1,1181.55,1122.25,1133.25,1122.25,1177.25,189961,217582288.7,21718
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-12,1185.0,1194.0,1157.05,1177.25,1175.95,1189.65,265483,311293721.45,18446
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-11,1194.9,1217.0,1184.0,1189.65,1190.35,1187.55,218941,262776970.45,17399
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-07,1171.15,1207.4,1171.15,1187.55,1183.8,1198.7,134051,159937951.9,12001
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-06,1189.7,1211.5,1168.45,1198.7,1203.9,1189.7,270547,322986243.25,21460
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-05,1200.0,1207.75,1182.15,1189.7,1190.0,1201.8,112283,133804091.95,11230
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-04,1202.05,1220.0,1198.3,1201.8,1205.8,1198.95,236014,285542790.2,16702
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-02,1198.95,1207.0,1177.15,1198.95,1206.9,1193.05,9111,10905293.35,639
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-03-01,1199.5,1201.85,1186.1,1193.05,1190.25,1193.25,114577,136824271.2,12333
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-29,1184.0,1202.2,1168.55,1193.25,1192.0,1188.3,448113,531258291.45,18455
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-28,1195.0,1208.7,1174.35,1188.3,1182.25,1194.85,314291,372983024.75,10765
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-27,1215.0,1224.7,1190.6,1194.85,1195.0,1214.5,212369,254718590.05,11393
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-26,1217.7,1224.05,1206.05,1214.5,1215.2,1217.7,163516,198636608.25,14318
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-23,1235.0,1235.7,1214.4,1217.7,1218.0,1230.7,89570,109369608.3,8392
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-22,1225.0,1236.0,1213.35,1230.7,1230.45,1220.35,180032,220328465.2,12147
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-21,1240.0,1246.85,1213.3,1220.35,1216.85,1235.4,191023,234639638.4,13877
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-20,1241.45,1249.35,1208.2,1235.4,1238.0,1235.95,267316,328298479.65,17245
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-19,1248.05,1260.55,1225.4,1235.95,1241.45,1241.45,305423,378110383.65,19670
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-16,1155.8,1247.55,1155.0,1241.45,1243.0,1152.35,2036820,2491452310.2,91504
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-15,1164.5,1192.0,1145.0,1152.35,1149.15,1154.7,777977,902716674.65,41151
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-14,1144.0,1207.5,1134.05,1154.7,1148.6,1160.65,1103355,1286558017.7,67012
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-13,1182.35,1182.35,1146.85,1160.65,1161.6,1168.2,334482,389988486.45,22851
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-12,1198.9,1201.9,1151.35,1168.2,1176.7,1195.6,576271,678730319.95,29794
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-09,1219.8,1224.0,1190.0,1195.6,1194.0,1215.75,256840,308575024.1,15741
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-08,1230.0,1263.95,1210.0,1215.75,1218.0,1225.5,820166,1015356442.45,43328
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-07,1204.0,1232.35,1192.85,1225.5,1222.0,1199.15,922586,1120583280.4,49827
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-06,1134.35,1203.95,1134.35,1199.15,1200.0,1134.35,2350648,2781693850.15,119725
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-05,1110.0,1146.5,1103.2,1134.35,1133.1,1108.75,463804,525605977.7,23482
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-02,1114.0,1120.3,1103.0,1108.75,1107.9,1114.45,87784,97653737.35,10858
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-02-01,1124.7,1124.7,1097.4,1114.45,1114.45,1120.25,158837,176128150.85,15408
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-31,1103.5,1129.2,1102.9,1120.25,1118.15,1103.7,253038,283418935.25,13004
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-30,1134.9,1141.0,1098.1,1103.7,1098.1,1132.6,154768,173199738.45,15265
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-29,1116.25,1135.05,1111.0,1132.6,1130.0,1115.45,689193,776177875.8,39130
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-25,1093.0,1120.85,1079.2,1115.45,1119.0,1098.45,931856,1021293156.6,28812
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-24,1065.0,1109.0,1062.15,1098.45,1092.1,1082.0,326644,357291593.5,16105
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-23,1075.0,1093.25,1061.05,1082.0,1077.05,1077.7,525982,567864546.9,22512
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-20,1100.0,1107.5,1072.0,1077.7,1072.0,1099.95,119400,129429517.15,8936
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-19,1080.8,1105.0,1075.9,1099.95,1099.95,1081.4,314207,342958255.7,11524
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-18,1120.0,1123.5,1062.4,1081.4,1075.1,1123.5,408875,442586870.7,31743
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-17,1130.0,1136.25,1112.2,1123.5,1114.05,1134.55,219441,247356906.25,16044
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-16,1140.0,1140.95,1121.8,1134.55,1131.5,1139.55,219948,248971267.6,17552
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-15,1138.75,1147.55,1133.0,1139.55,1141.0,1135.35,272849,311125304.55,16118
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-12,1156.0,1156.0,1128.45,1135.35,1138.0,1144.35,236286,269406368.3,17941
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-11,1125.0,1148.8,1119.1,1144.35,1145.0,1116.25,683798,776915308.15,28200
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-10,1103.05,1123.0,1098.05,1116.25,1118.6,1103.05,265183,294940021.05,17380
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-09,1092.8,1107.2,1082.4,1103.05,1104.5,1088.1,116079,127416947.5,9964
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-08,1120.0,1126.2,1080.15,1088.1,1081.0,1113.4,192371,211955919.65,16982
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-05,1108.0,1119.0,1092.15,1113.4,1119.0,1109.85,190888,210971114.5,13542
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-04,1110.2,1120.0,1105.15,1109.85,1112.0,1110.25,106228,118100572.85,8782
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-03,1114.9,1122.8,1107.1,1110.25,1113.0,1113.35,164353,183068339.0,10264
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-02,1119.35,1142.9,1110.05,1113.35,1112.45,1119.35,443895,498272340.65,27583
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2024-01-01,1104.3,1125.85,1103.95,1119.35,1113.15,1113.15,254640,285260845.8,20741
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-29,1096.0,1116.1,1090.05,1113.15,1105.1,1099.75,314635,348261917.8,25750
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-28,1064.0,1113.4,1056.55,1099.75,1106.45,1059.05,1535682,1664350197.8,56565
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-27,1060.1,1066.95,1053.75,1059.05,1059.5,1058.6,333776,353509869.5,15739
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-26,1065.0,1074.9,1055.15,1058.6,1058.45,1062.65,221122,234646348.8,14645
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-22,1069.0,1085.95,1058.45,1062.65,1061.0,1064.35,444857,476624763.8,28288
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-21,1055.0,1074.0,1041.0,1064.35,1065.0,1061.5,374400,398135423.1,25072
IPCA Laboratories Limited,INE571A01038,1995-02-08,EQ,IPCALAB,2023-12-20,1110.5,1121.0,1055.25,1061.5,1060.0,1107.65,526670,575719847.2,40353
