StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-28,710.0,728.95,708.55,727.65,728.95,741.7,3373682,2430782320.25,36764
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-27,736.2,761.75,734.25,741.7,740.55,738.05,1131691,838944535.6,26669
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-26,740.1,755.2,735.0,738.05,745.0,751.2,588716,436386371.5,20194
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-22,762.0,764.25,741.6,751.2,751.0,761.55,752518,565616043.05,18187
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-21,728.4,769.1,728.0,761.55,762.0,724.05,2077908,1534275699.0,34263
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-20,714.15,727.0,712.0,724.05,726.0,714.05,392472,281429404.0,8184
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-19,722.0,722.9,711.7,714.05,713.0,721.85,467532,334772414.05,13763
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-18,728.7,736.0,718.45,721.85,722.45,726.85,506106,366687257.75,12840
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-15,739.9,742.0,718.55,726.85,726.0,740.7,875207,635504305.45,20116
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-14,755.95,755.95,733.0,740.7,739.2,751.7,284049,210773733.35,14504
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-13,752.0,769.0,732.65,751.7,755.0,753.6,1298686,967234888.5,36776
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-12,767.1,773.2,744.55,753.6,751.5,772.4,699026,527455685.45,49178
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-11,790.0,791.95,765.1,772.4,769.0,792.0,692889,537734801.85,34051
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-07,795.95,818.9,788.55,792.0,795.0,789.4,530129,422368734.3,15546
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-06,824.8,828.9,785.0,789.4,792.7,824.8,503268,403910475.8,26050
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-05,844.0,847.0,818.6,824.8,824.7,834.7,350249,292552265.8,13166
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-04,826.2,847.5,824.0,834.7,832.0,826.2,446982,372916260.95,25250
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-02,838.1,840.0,820.0,826.2,826.0,828.6,19783,16421637.75,944
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-03-01,817.0,832.45,811.1,828.6,831.0,816.9,897667,738847993.45,25357
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-29,800.0,821.0,794.2,816.9,814.8,807.15,398604,323446897.85,13638
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-28,822.9,828.7,799.25,807.15,800.6,821.35,403651,328310647.45,14616
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-27,834.55,850.65,811.35,821.35,813.0,831.95,187595,155592880.4,17319
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-26,842.0,856.0,826.5,831.95,836.55,841.4,270489,228778598.4,13977
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-23,824.95,845.8,813.6,841.4,840.0,819.1,586865,486917870.15,26227
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-22,822.95,829.95,804.05,819.1,820.0,812.9,695879,569441925.25,30726
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-21,805.0,821.15,799.45,812.9,816.0,797.5,439243,357686944.5,18422
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-20,795.0,804.8,785.3,797.5,799.25,785.3,1057914,845772754.05,17895
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-19,791.0,809.25,784.45,785.3,786.95,786.45,1411123,1127328180.25,11880
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-16,815.0,818.0,780.0,786.45,787.0,813.8,1111675,879947535.65,33628
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-15,808.0,821.6,799.3,813.8,812.6,807.4,393104,318714208.45,22848
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-14,783.05,820.0,773.4,807.4,806.9,785.2,616069,492002011.4,22541
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-13,786.3,791.45,771.65,785.2,785.0,786.9,259955,203465148.0,12771
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-12,806.25,823.75,776.0,786.9,783.1,804.5,321021,257990894.55,25367
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-09,798.0,808.6,782.0,804.5,804.0,798.7,205668,163418084.4,13108
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-08,805.1,819.7,775.0,798.7,799.0,808.8,183809,148313571.15,12378
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-07,819.3,821.95,796.35,808.8,806.4,819.0,211004,172134606.65,11156
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-06,798.0,822.55,798.0,819.0,817.0,796.65,208692,170099284.25,17838
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-05,825.0,825.0,791.1,796.65,793.0,817.2,284351,231194279.2,15363
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-02,815.0,839.95,811.5,817.2,817.75,820.9,428541,352173291.2,21409
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-02-01,824.8,843.0,802.5,820.9,810.0,820.5,1123181,927090350.7,56122
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-01-31,765.0,866.45,765.0,820.5,820.95,772.2,2852340,2360299097.4,96593
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-01-30,774.95,787.0,768.75,772.2,776.0,774.3,287044,223126161.35,15162
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-01-29,777.4,780.0,765.05,774.3,774.75,776.15,573385,443121281.15,17632
ICICI Securities Limited,INE763G01038,2018-04-04,EQ,ISEC,2024-01-25,768.5,779.75,762.05,776.15,774.35,764.65,266350,205565647.7,17553
