StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-28,428.0,433.25,427.0,428.35,429.0,428.0,27933211,12001838115.5,200930
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-27,427.0,428.9,426.45,428.0,428.4,427.65,12227545,5232702625.55,148670
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-26,425.55,429.2,425.55,427.65,428.0,428.6,10274145,4392964487.05,127865
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-22,421.25,429.65,421.25,428.6,428.3,421.25,38861818,16604649595.7,285729
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-21,419.0,422.0,416.2,421.25,421.25,415.7,19227982,8074986841.45,265798
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-20,410.0,416.65,409.55,415.7,416.0,409.55,19609321,8096010062.95,200442
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-19,418.0,419.55,408.7,409.55,409.75,417.45,20994563,8640107667.75,256940
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-18,419.0,420.7,416.9,417.45,417.6,419.1,15933704,6666733164.2,241095
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-15,417.2,428.55,415.25,419.1,417.0,419.65,73253754,30981269366.2,615356
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-14,421.95,425.5,418.0,419.65,419.0,422.45,30764728,12972646952.8,292934
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-13,435.0,438.0,421.15,422.45,422.0,404.45,101612428,43475181936.05,693592
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-12,406.5,406.5,399.35,404.45,401.9,409.4,34882639,14027170213.1,441602
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-11,416.8,418.3,408.0,409.4,409.2,413.55,17620081,7288643584.0,220154
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-07,407.85,414.95,403.65,413.55,414.7,407.85,23020545,9416941135.65,266079
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-06,406.5,409.95,400.7,407.85,407.95,406.15,11106855,4498498834.65,238724
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-05,409.65,411.4,403.95,406.15,406.5,409.1,9733507,3962460772.3,187977
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-04,412.25,412.95,408.45,409.1,409.3,412.05,6840352,2804587543.55,128186
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-02,411.0,412.8,410.1,412.05,412.0,409.5,977655,402543968.55,18531
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-03-01,408.9,413.15,407.5,409.5,410.1,406.3,12395632,5090435126.7,198418
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-29,409.0,411.05,404.5,406.3,406.9,408.3,14895144,6071493472.75,182863
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-28,411.15,412.35,406.8,408.3,407.85,411.15,8617768,3525549262.0,157196
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-27,410.0,412.75,408.55,411.15,410.7,409.2,7783743,3197656361.8,149253
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-26,411.1,413.05,407.3,409.2,409.15,411.4,7982145,3268555512.1,141120
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-23,415.9,415.9,410.5,411.4,410.9,414.45,11147636,4600035861.05,168693
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-22,406.9,415.15,403.45,414.45,415.0,403.35,18604659,7610034475.7,265415
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-21,407.0,410.1,401.3,403.35,402.75,406.1,19414653,7887411451.6,308873
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-20,410.45,410.45,404.3,406.1,406.9,409.25,14084218,5726913345.05,200707
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-19,405.0,412.75,404.6,409.25,409.2,404.6,16949793,6951357970.1,195499
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-16,405.0,409.55,399.4,404.6,404.6,403.9,37518847,15148423499.5,302859
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-15,413.0,414.55,403.15,403.9,404.75,411.55,20383983,8277577375.4,267030
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-14,406.0,412.25,404.4,411.55,412.15,406.75,12150077,4968946837.35,180419
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-13,406.9,410.8,403.3,406.75,406.9,406.85,15606705,6354478400.2,251076
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-12,417.55,418.0,406.05,406.85,406.8,415.5,10906914,4472271553.1,227195
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-09,410.1,424.2,408.6,415.5,415.0,414.55,32283965,13469707741.5,345877
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-08,429.0,429.1,408.6,414.55,414.45,431.8,48183882,20108762451.8,568349
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-07,435.0,435.0,430.8,431.8,431.8,431.4,12880824,5569065160.55,234908
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-06,440.0,440.9,429.5,431.4,431.9,438.05,18764371,8129148176.75,337897
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-05,442.0,443.65,436.55,438.05,438.15,440.1,12041897,5303874698.3,203069
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-02,445.0,447.2,439.5,440.1,440.6,442.9,17156021,7597814278.4,252589
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-02-01,442.0,447.75,439.3,442.9,442.4,441.55,19165409,8500057382.95,272761
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-31,440.0,442.5,438.7,441.55,441.75,438.05,19882944,8762279321.85,240053
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-30,447.0,453.7,437.4,438.05,438.25,449.8,43514448,19255117086.65,699940
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-29,455.9,457.25,447.5,449.8,448.7,455.65,17869152,8088099555.1,253582
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-25,463.55,464.95,452.1,455.65,457.5,463.6,19677700,8975118150.05,206935
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-24,460.1,467.4,458.1,463.6,461.8,459.3,21626183,9988404501.0,182598
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-23,473.75,473.75,456.4,459.3,459.85,468.4,8404513,3910881933.9,174187
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-20,473.4,475.0,468.0,468.4,468.3,471.5,3296407,1553845356.45,53837
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-19,468.55,473.0,466.4,471.5,472.0,465.5,12203322,5743598363.6,140093
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-18,465.25,467.85,454.55,465.5,466.45,466.6,9143784,4241036943.75,162645
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-17,471.4,477.0,465.2,466.6,467.3,472.3,11108698,5221322440.85,163870
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-16,467.8,475.0,464.25,472.3,475.0,467.6,12066347,5662477326.35,181194
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-15,470.0,470.5,466.1,467.6,467.55,466.7,6902156,3228425376.55,141310
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-12,463.25,467.7,460.35,466.7,467.4,462.65,9354326,4345496069.9,151600
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-11,464.1,466.55,461.1,462.65,463.25,463.3,6534775,3027885522.2,128488
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-10,464.55,466.75,460.05,463.3,463.5,464.55,5896123,2724412894.15,113576
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-09,467.5,469.95,463.65,464.55,464.2,465.5,5696780,2655047091.6,133889
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-08,475.0,475.5,464.55,465.5,465.35,473.95,8003177,3743577082.0,162793
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-05,479.4,479.4,472.0,473.95,473.8,476.4,9209405,4374280743.7,191991
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-04,480.0,481.45,474.2,476.4,475.5,477.25,11786959,5641469823.9,145887
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-03,470.25,480.7,469.35,477.25,477.45,470.35,24036012,11474709723.9,270703
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-02,470.0,471.35,463.6,470.35,470.15,468.05,10519771,4926002186.85,159124
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2024-01-01,463.5,469.95,462.65,468.05,465.8,462.1,9346277,4366127498.3,167073
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2023-12-29,464.1,467.9,461.35,462.1,462.0,464.1,12888266,5987892520.95,195653
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2023-12-28,457.2,464.7,456.1,464.1,463.95,457.1,20696101,9553290485.3,219642
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2023-12-27,457.0,458.5,453.75,457.1,456.6,456.45,7543383,3439550563.55,141438
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2023-12-26,456.05,458.9,454.7,456.45,457.05,455.2,5871301,2682601608.85,133599
ITC Limited,INE154A01025,1995-08-23,EQ,ITC,2023-12-22,453.0,455.9,450.55,455.2,454.2,451.45,11026317,5008664858.2,189460
