StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-28,256.15,262.0,249.5,252.7,252.5,253.85,1770095,454094583.75,25685
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-27,254.0,260.0,251.6,253.85,252.7,252.65,1808337,462081512.4,29050
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-26,258.0,259.9,251.1,252.65,252.0,261.0,1536697,389148694.7,25143
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-22,252.3,264.85,252.3,261.0,260.5,256.1,1939846,504749929.25,33137
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-21,251.9,260.9,251.9,256.1,256.4,248.55,1540350,395125953.6,28409
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-20,253.9,256.5,245.4,248.55,247.7,251.75,1884617,473392507.4,40196
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-19,257.5,258.3,249.15,251.75,252.5,255.85,1337633,338272801.35,27267
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-18,259.95,271.0,252.3,255.85,255.35,259.95,4416096,1151287824.9,72938
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-15,269.8,274.4,249.05,259.95,259.5,276.55,5647031,1464691714.35,84835
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-14,233.55,280.0,226.55,276.55,272.3,233.75,9532753,2520576624.4,116360
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-13,259.0,262.45,230.0,233.75,232.9,261.45,2135085,522418844.45,49552
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-12,265.0,269.3,255.85,261.45,260.85,264.95,1371428,360828350.55,29144
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-11,280.95,281.1,263.05,264.95,264.8,280.25,1165019,315856082.55,24471
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-07,283.0,287.95,279.0,280.25,280.3,283.7,849717,239719932.5,17641
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-06,289.0,291.55,282.0,283.7,283.0,289.55,779745,222831625.25,18562
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-05,293.0,296.9,287.2,289.55,288.85,293.05,1032046,301424631.05,21874
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-04,296.5,299.0,290.8,293.05,292.5,295.2,1047439,307767148.95,21967
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-02,291.75,299.75,291.0,295.2,295.15,292.3,199777,59009135.15,4125
ITI Limited,INE248A01017,2003-09-15,EQ,ITI,2024-03-01,298.45,302.4,288.5,292.3,291.0,298.45,2111485,621606401.0,37632
