StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-28,4075.0,4109.0,4060.05,4076.15,4106.0,4054.3,127715,520594488.6,12182
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-27,4050.0,4109.35,4042.85,4054.3,4065.0,4046.0,101513,414614982.2,13913
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-26,4104.3,4110.0,4025.0,4046.0,4068.55,4103.6,220694,893629976.55,11620
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-22,4127.0,4142.0,4083.05,4103.6,4100.0,4107.25,89162,366042285.95,10869
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-21,4051.9,4115.0,4001.05,4107.25,4100.0,4025.0,252524,1026429381.75,24135
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-20,4048.1,4050.0,3976.65,4025.0,4029.45,4006.45,92987,374134664.2,13344
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-19,4067.55,4080.0,3981.3,4006.45,4000.0,4064.85,64769,259957788.45,9796
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-18,4097.75,4114.95,4049.0,4064.85,4069.5,4070.15,112610,458878585.15,19930
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-15,4122.15,4122.15,4010.05,4070.15,4051.65,4090.7,112930,458050315.6,21683
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-14,4090.0,4109.95,4041.3,4090.7,4075.05,4086.2,110644,451940471.1,19248
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-13,4171.95,4198.65,4051.05,4086.2,4090.3,4161.95,258244,1060281052.0,27426
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-12,4275.0,4309.5,4151.6,4161.95,4175.0,4219.95,229393,963804867.15,30161
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-11,4262.6,4262.6,4200.0,4219.95,4220.0,4262.6,120001,508172208.5,10758
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-07,4265.9,4328.0,4251.0,4262.6,4255.05,4296.9,92455,394977018.85,12441
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-06,4384.05,4395.0,4268.0,4296.9,4324.0,4400.85,93008,400681793.45,14979
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-05,4491.05,4494.6,4385.15,4400.85,4405.0,4463.9,95696,424656267.55,16691
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-04,4552.35,4552.35,4445.1,4463.9,4455.0,4514.4,63872,285682337.0,9638
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-02,4491.0,4575.0,4491.0,4514.4,4524.0,4501.0,3397,15365272.4,646
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-03-01,4534.05,4555.0,4489.8,4501.0,4515.0,4514.9,87589,395979597.35,13321
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-29,4446.7,4550.0,4422.0,4514.9,4500.4,4446.7,163545,734093363.3,20095
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-28,4510.05,4528.25,4396.0,4446.7,4425.0,4503.0,289665,1290045563.1,15779
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-27,4439.0,4550.0,4413.65,4503.0,4500.0,4396.0,273435,1232721723.2,30409
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-26,4370.0,4410.0,4343.65,4396.0,4395.0,4343.65,123152,539170275.15,14208
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-23,4289.95,4354.8,4280.0,4343.65,4340.0,4275.9,100334,434107994.8,12095
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-22,4269.8,4294.0,4205.0,4275.9,4282.45,4249.85,106154,450331421.45,15916
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-21,4226.85,4294.0,4204.6,4249.85,4246.0,4201.7,196563,836451440.8,21231
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-20,4206.1,4218.45,4146.9,4201.7,4201.05,4206.1,79921,334048141.55,10206
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-19,4249.95,4249.95,4181.0,4206.1,4197.1,4210.9,150672,633589765.4,16383
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-16,4140.0,4256.0,4140.0,4210.9,4213.0,4139.15,169086,713194050.55,22020
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-15,4230.0,4235.0,4096.0,4139.15,4135.0,4190.6,168681,698483495.05,18339
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-14,4215.0,4247.45,4156.85,4190.6,4200.0,4231.45,102024,428160425.45,10275
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-13,4234.8,4277.35,4155.0,4231.45,4220.2,4234.8,88384,374177850.4,16143
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-12,4250.0,4287.45,4196.2,4234.8,4222.3,4231.25,79254,335584885.15,13586
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-09,4257.5,4257.5,4133.3,4231.25,4222.0,4214.0,100175,422247337.0,14135
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-08,4360.0,4368.7,4202.5,4214.0,4227.0,4341.7,66828,284764887.8,11257
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-07,4341.0,4395.0,4300.0,4341.7,4332.1,4339.6,89413,388326812.65,17008
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-06,4350.0,4403.95,4317.3,4339.6,4343.95,4317.3,144256,631183800.05,27985
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-05,4366.4,4406.25,4292.75,4317.3,4301.0,4366.2,87366,381372764.95,12495
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-02,4437.85,4468.05,4355.0,4366.2,4371.0,4406.9,131550,579806926.35,14466
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-02-01,4403.85,4441.1,4360.0,4406.9,4402.0,4363.4,239930,1055904396.3,28681
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-31,4330.95,4410.0,4330.95,4363.4,4374.45,4330.95,211081,923066381.9,27737
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-30,4330.0,4418.25,4308.05,4330.95,4322.9,4306.2,234056,1020058332.4,22648
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-29,4275.0,4333.0,4205.0,4306.2,4307.25,4167.45,312673,1338326299.3,36919
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-25,4175.0,4240.0,4097.25,4167.45,4195.0,4138.0,218617,908958570.95,25919
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-24,4050.0,4154.85,3990.1,4138.0,4134.75,3948.15,475953,1948057425.95,48726
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-23,4020.0,4111.5,3933.25,3948.15,3966.0,3992.05,486197,1945124685.7,57723
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-20,4100.0,4211.25,3866.2,3992.05,3972.85,4053.25,960142,3952661193.6,65324
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-19,4044.0,4069.55,4012.6,4053.25,4052.95,3994.0,108210,437788608.3,15343
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-18,4035.6,4055.55,3949.9,3994.0,4009.6,4035.6,133513,532276859.7,17283
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-17,4083.2,4130.0,4025.25,4035.6,4040.0,4130.0,82923,337193037.85,14668
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-16,4122.0,4140.95,4081.0,4130.0,4132.0,4076.8,148785,612610393.5,22431
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-15,4031.0,4097.25,4018.0,4076.8,4085.35,4047.95,85342,345974290.15,6876
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-12,4045.55,4071.75,4028.05,4047.95,4035.05,4045.55,96568,390911413.25,5172
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-11,4077.0,4078.0,4024.6,4045.55,4044.2,4052.95,49277,199721332.55,6546
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-10,4029.2,4074.85,3996.0,4052.95,4064.95,4029.2,95936,388329029.75,18703
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-09,4041.3,4079.95,3995.45,4029.2,4022.1,4007.1,167588,673753789.5,16254
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-08,3954.95,4040.0,3898.35,4007.1,4014.0,3930.6,136123,544125770.5,20704
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-05,3915.0,3950.3,3894.1,3930.6,3935.8,3900.0,44675,175278692.25,7383
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-04,3847.25,3932.05,3822.8,3900.0,3898.0,3847.25,69306,269963574.5,11601
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-03,3850.0,3893.0,3829.0,3847.25,3854.0,3851.4,36876,142317856.0,7583
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-02,3845.0,3864.95,3740.0,3851.4,3864.0,3827.2,96592,365963523.4,11384
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2024-01-01,3788.25,3865.0,3776.5,3827.2,3796.0,3788.25,118855,453428516.35,12284
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-29,3795.0,3809.95,3764.45,3788.25,3779.2,3775.55,51083,193481325.15,6796
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-28,3788.15,3808.95,3764.0,3775.55,3774.65,3777.05,71002,268405468.05,7956
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-27,3767.0,3906.75,3762.5,3777.05,3773.8,3765.4,201992,767236756.0,18327
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-26,3780.0,3808.95,3735.0,3765.4,3773.0,3782.2,86485,326233468.3,9200
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-22,3849.5,3858.6,3774.3,3782.2,3792.0,3837.25,32692,124300026.95,5736
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-21,3760.9,3864.1,3715.4,3837.25,3849.5,3771.55,122303,468054688.1,23504
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-20,3934.15,3978.6,3750.0,3771.55,3761.0,3934.15,59065,228863028.2,11204
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-19,3927.85,3970.55,3875.0,3934.15,3928.9,3927.85,111329,437151127.15,24686
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-18,3921.85,3955.0,3900.4,3927.85,3936.0,3921.85,23300,91552306.3,4440
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-15,3935.0,3996.0,3887.35,3921.85,3942.05,3920.3,176549,695888677.9,26261
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-14,3895.0,3949.1,3878.0,3920.3,3940.0,3871.6,95558,373180356.55,13598
JK Cement Limited,INE823G01014,2006-03-14,EQ,JKCEMENT,2023-12-13,3835.0,3881.95,3792.25,3871.6,3878.5,3841.3,125800,482150577.9,16662
