StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-28,871.0,879.7,861.05,875.7,878.0,867.5,127654,111526301.65,14675
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-27,863.95,870.95,851.2,867.5,870.8,861.4,141670,122120720.2,12129
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-26,856.0,863.95,841.9,861.4,863.95,855.9,125978,107764669.6,10996
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-22,835.75,858.4,832.0,855.9,857.7,839.75,169334,143811800.15,19593
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-21,827.0,841.95,820.05,839.75,841.0,821.5,168455,140214508.15,11476
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-20,826.6,836.95,808.9,821.5,822.8,822.45,154144,126969890.35,14013
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-19,823.2,826.0,806.1,822.45,824.3,823.85,101567,82893913.7,11345
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-18,820.0,826.0,804.9,823.85,823.95,824.95,96849,79048564.85,10790
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-15,822.05,836.75,808.0,824.95,820.0,822.65,108881,89492124.8,13379
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-14,772.15,829.7,772.15,822.65,820.2,795.2,213677,172345355.0,23155
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-13,858.45,864.7,775.0,795.2,789.8,859.15,245387,201085628.65,24132
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-12,899.95,901.5,848.0,859.15,856.8,895.85,206643,180221594.7,17653
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-11,892.3,910.8,883.0,895.85,889.0,892.3,94223,84267444.55,9627
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-07,904.9,914.5,885.0,892.3,889.35,899.9,146875,131998858.65,11309
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-06,952.65,952.65,892.1,899.9,904.0,953.2,219112,198905249.65,18359
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-05,948.85,959.0,933.55,953.2,947.8,943.05,236285,224666697.35,18986
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-04,949.95,952.45,929.0,943.05,939.7,941.15,144234,135533115.6,15678
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-02,942.0,946.55,931.7,941.15,941.0,941.75,6867,6467225.2,728
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-03-01,937.85,950.0,921.6,941.75,941.8,918.9,183729,172702832.35,15466
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-29,906.95,929.0,902.55,918.9,920.0,906.75,384742,353376038.25,23670
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-28,943.8,946.85,895.0,906.75,901.8,943.9,255332,232972901.7,25356
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-27,931.0,953.6,928.0,943.9,941.0,932.65,163449,154510339.85,14830
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-26,941.05,950.1,927.0,932.65,936.9,944.05,88316,82807301.15,8341
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-23,943.3,960.0,930.1,944.05,940.15,938.6,145760,137194692.5,12074
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-22,967.3,968.7,932.1,938.6,938.0,959.1,225868,212758309.25,19867
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-21,948.0,975.0,944.5,959.1,960.0,942.0,394230,380346424.45,23023
JK Lakshmi Cement Limited,INE786A01032,2006-06-19,EQ,JKLAKSHMI,2024-02-20,968.0,968.0,938.65,942.0,944.5,963.35,194847,184986734.2,11881
