StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-28,247.55,255.3,244.1,245.35,245.45,247.55,6766151,1698579411.5,49669
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-27,239.9,250.7,239.9,247.55,246.5,239.35,8248561,2036159919.1,66512
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-26,242.45,245.7,238.25,239.35,239.3,239.05,5716285,1377273980.4,30266
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-22,237.0,244.4,236.5,239.05,239.5,236.45,4311445,1038375872.9,30544
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-21,241.0,242.6,234.75,236.45,237.8,233.95,3829864,913102551.8,45567
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-20,242.75,244.4,231.75,233.95,234.2,240.8,3897100,915981416.95,35506
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-19,246.95,248.8,239.2,240.8,241.5,246.95,3344834,811932001.2,31310
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-18,232.95,249.9,232.55,246.95,247.85,231.7,7927261,1932004348.6,61512
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-15,238.6,243.05,225.6,231.7,232.35,237.05,5604650,1298345811.55,52647
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-14,213.5,237.05,211.1,237.05,237.05,215.5,7319865,1663136558.35,69473
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-13,239.4,241.95,213.95,215.5,213.95,237.7,9238195,2113643206.1,70398
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-12,254.0,254.7,236.0,237.7,236.55,253.2,5712630,1391314506.25,49674
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-11,251.7,257.8,247.95,253.2,253.2,250.2,4319589,1092217600.55,40770
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-07,252.2,253.7,246.5,250.2,250.75,250.6,3368434,841515734.25,36733
JSW Infrastructure Limited,INE880J01026,2023-10-03,EQ,JSWINFRA,2024-03-06,255.0,255.85,247.1,250.6,252.0,256.3,4290383,1074986378.8,40438
